
Spine Time Index
 ==================== 
Spine Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,0,1,1,100000001,610000005064,
1,,Spine,0,1,1,100000001,610000005082,
1,,Spine,0,1,1,100000001,610000005095,
1,,Spine,4,3,1,100000001,610000005100,
1,,Spine,0,1,1,100000001,610000005112,
1,,Spine,4,3,1,100000001,610000005117,
1,,Spine,1,1,1,100000001,610000005121,
1,,Spine,4,3,1,100000001,610000005124,
1,,Spine,2,2,1,100000003,610000005131,
1,,Spine,2,2,1,100000003,610000005137,
1,,Spine,0,1,1,100000002,610000005144,
1,,Spine,0,1,1,100000001,610000005150,
1,,Spine,4,2,1,100000002,610000005153,
1,,Spine,5,2,1,100000003,610000005156,
1,,Spine,7,1,1,100000003,610000005158,
1,,Spine,0,1,1,100000000,610000005166,
1,,Spine,2,2,1,100000001,610000005169,
1,,Spine,6,3,1,100000002,610000005172,
1,,Spine,7,4,1,100000000,610000005175,
1,,Spine,11,5,1,100000002,610000005177,
1,,Spine,1,1,1,100000003,610000005181,
1,,Spine,3,2,1,100000001,610000005187,
1,,Spine,0,1,1,100000000,610000005191,
1,,Spine,0,1,1,100000002,610000005195,
1,,Spine,0,1,1,100000001,610000005197,
1,,Spine,1,2,1,100000000,610000005200,
1,,Spine,4,1,1,100000003,610000005206,
1,,Spine,2,2,1,100000002,610000005209,
1,,Spine,3,2,1,100000003,610000005215,
1,,Spine,5,1,1,100000003,610000005217,
1,,Spine,5,1,1,100000003,610000005220,
1,,Spine,0,1,1,100000000,610000005222,
1,,Spine,0,1,1,100000000,610000005226,
1,,Spine,7,3,1,100000002,610000005229,
1,,Spine,2,1,1,100000003,610000005233,
1,,Spine,5,3,1,100000001,610000005236,
1,,Spine,8,3,1,100000002,610000005239,
1,,Spine,4,3,1,100000002,610000005243,
1,,Spine,7,3,1,100000002,610000005245,
1,,Spine,4,3,1,100000001,610000005247,
1,,Spine,3,1,1,100000001,610000005251,
1,,Spine,0,1,1,100000000,610000005255,
1,,Spine,2,1,1,100000003,610000005257,
1,,Spine,0,1,1,100000000,610000005259,
1,,Spine,6,3,1,100000001,610000005261,
1,,Spine,0,1,1,100000000,610000005266,
1,,Spine,0,1,1,100000003,610000005268,
1,,Spine,1,2,1,100000000,610000005270,
1,,Spine,7,3,1,100000002,610000005272,
1,,Spine,7,3,1,100000002,610000005274,
1,,Spine,4,2,1,100000001,610000005276,
1,,Spine,4,2,1,100000000,610000005278,
1,,Spine,5,2,1,100000001,610000005282,
1,,Spine,3,2,1,100000001,610000005286,
1,,Spine,0,1,1,100000001,610000005288,
1,,Spine,3,1,1,100000003,610000005290,
1,,Spine,0,1,1,100000000,610000005300,
1,,Spine,4,1,1,100000003,610000005304,
1,,Spine,0,1,1,100000001,610000005306,
1,,Spine,0,1,1,100000002,610000005308,
1,,Spine,2,1,1,100000001,610000005310,
1,,Spine,1,2,1,100000002,610000005312,
1,,Spine,4,2,1,100000002,610000005316,
1,,Spine,3,1,1,100000003,610000005319,
1,,Spine,0,1,1,100000000,610000005321,
1,,Spine,8,4,1,100000002,610000005324,
1,,Spine,1,1,1,100000003,610000005327,
1,,Spine,3,1,1,100000003,610000005331,
1,,Spine,1,1,1,100000000,610000005333,
1,,Spine,3,2,1,100000001,610000005336,
1,,Spine,0,1,1,100000001,610000005340,
1,,Spine,3,2,1,100000003,610000005342,
1,,Spine,0,1,1,100000000,610000005344,
1,,Spine,6,1,1,100000003,610000005346,
1,,Spine,0,1,1,100000000,610000005349,
1,,Spine,2,2,1,100000001,610000005352,
1,,Spine,3,1,1,100000002,610000005357,
1,,Spine,3,2,1,100000002,610000005359,
1,,Spine,0,1,1,100000001,610000005361,
1,,Spine,0,1,1,100000002,610000005363,
1,,Spine,5,2,1,100000003,610000005366,
1,,Spine,6,1,1,100000003,610000005370,
1,,Spine,5,2,1,100000001,610000005372,
1,,Spine,3,2,1,100000001,610000005374,
1,,Spine,3,3,1,100000001,610000005376,
1,,Spine,4,1,1,100000003,610000005379,
1,,Spine,3,2,1,100000003,610000005382,
1,,Spine,0,1,1,100000001,610000005384,
