
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
145,,Segment,2,5,Image 1,6,1,100000000,510000000017,
166,,Segment,2,4,Image 1,5,1,100000000,510000000099,
144,,Segment,2,3,Image 1,4,1,100000000,510000000109,
144,,Segment,2,2,Image 1,3,1,100000000,510000000135,
142,,Segment,2,1,Image 1,2,1,100000000,510000000142,
197,,Segment,2,0,Image 1,1,1,100000000,510000000165,
150,,Segment,2,5,Image 1,5,1,100000000,510000000197,
53,,Segment,2,7,Image 1,5,1,100000001,510000000201,
52,,Segment,2,6,Image 1,4,1,100000001,510000000214,
173,,Segment,2,5,Image 1,3,1,100000001,510000000266,
74,,Segment,2,4,Image 1,3,1,100000001,510000000278,
151,,Segment,2,3,Image 1,2,1,100000001,510000000299,
151,,Segment,2,2,Image 1,2,1,100000001,510000000333,
108,,Segment,2,1,Image 1,2,1,100000001,510000000397,
95,,Segment,2,0,Image 1,1,1,100000001,510000000413,
154,,Segment,2,7,Image 1,3,1,100000001,510000000449,
110,,Segment,2,6,Image 1,3,1,100000001,510000000465,
176,,Segment,2,7,Image 1,4,1,100000001,510000000482,
39,,Segment,2,7,Image 1,4,1,100000001,510000000484,
130,,Segment,2,7,Image 1,3,1,100000001,510000000527,
160,,Segment,2,5,Image 1,3,1,100000001,510000000541,
99,,Segment,2,4,Image 1,2,1,100000001,510000000571,
47,,Segment,2,7,Image 1,4,1,100000001,510000000576,
103,,Segment,2,6,Image 1,4,1,100000001,510000000580,
123,,Segment,2,5,Image 1,2,1,100000001,510000000602,
127,,Segment,2,5,Image 1,4,1,100000001,510000000605,
151,,Segment,2,3,Image 1,3,1,100000001,510000000609,
95,,Segment,2,6,Image 1,3,1,100000001,510000000621,
173,,Segment,2,5,Image 1,2,1,100000001,510000000627,
139,,Segment,2,4,Image 1,2,1,100000001,510000000639,
89,,Segment,2,3,Image 1,2,1,100000001,510000000642,
166,,Segment,2,2,Image 1,1,1,100000001,510000000651,
135,,Segment,2,1,Image 1,1,1,100000001,510000000668,
82,,Segment,2,1,Image 1,1,1,100000001,510000000674,
131,,Segment,2,0,Image 1,1,1,100000001,510000000717,
147,,Segment,2,1,Image 1,2,1,100000001,510000000727,
110,,Segment,2,9,Image 1,3,1,100000001,510000000767,
81,,Segment,2,8,Image 1,3,1,100000001,510000000772,
116,,Segment,2,7,Image 1,3,1,100000001,510000000810,
163,,Segment,2,6,Image 1,3,1,100000001,510000000824,
153,,Segment,2,5,Image 1,3,1,100000001,510000000853,
42,,Segment,2,9,Image 1,5,1,100000001,510000000856,
114,,Segment,2,8,Image 1,4,1,100000001,510000000893,
156,,Segment,2,7,Image 1,4,1,100000001,510000000906,
169,,Segment,2,6,Image 1,4,1,100000001,510000000966,
178,,Segment,2,9,Image 1,5,1,100000001,510000000996,
114,,Segment,2,8,Image 1,5,1,100000001,510000001001,
50,,Segment,2,9,Image 1,6,1,100000001,510000001006,
69,,Segment,2,9,Image 1,4,1,100000001,510000001013,
134,,Segment,2,4,Image 1,4,1,100000000,510000001058,
167,,Segment,2,3,Image 1,3,1,100000000,510000001076,
81,,Segment,2,8,Image 1,4,1,100000001,510000001081,
157,,Segment,2,7,Image 1,5,1,100000000,510000001124,
163,,Segment,2,6,Image 1,5,1,100000000,510000001137,
122,,Segment,2,5,Image 1,4,1,100000000,510000001152,
119,,Segment,2,4,Image 1,4,1,100000000,510000001156,
141,,Segment,2,2,Image 1,1,1,100000002,510000001203,
168,,Segment,2,0,Image 1,1,1,100000002,510000001252,
146,,Segment,2,2,Image 1,2,1,100000002,510000001351,
169,,Segment,2,0,Image 1,1,1,100000002,510000001389,
152,,Segment,2,7,Image 1,5,1,100000001,510000001419,
45,,Segment,2,10,Image 1,3,1,100000002,510000001427,
113,,Segment,2,9,Image 1,2,1,100000002,510000001436,
110,,Segment,2,8,Image 1,2,1,100000002,510000001440,
142,,Segment,2,7,Image 1,2,1,100000002,510000001450,
183,,Segment,2,6,Image 1,2,1,100000002,510000001461,
156,,Segment,2,5,Image 1,2,1,100000002,510000001467,
150,,Segment,2,4,Image 1,1,1,100000002,510000001481,
176,,Segment,2,3,Image 1,1,1,100000002,510000001490,
132,,Segment,2,2,Image 1,1,1,100000002,510000001497,
127,,Segment,2,1,Image 1,1,1,100000002,510000001499,
162,,Segment,2,0,Image 1,1,1,100000002,510000001518,
165,,Segment,2,1,Image 1,2,1,100000002,510000001607,
136,,Segment,2,0,Image 1,1,1,100000002,510000001620,
154,,Segment,2,4,Image 1,3,1,100000002,510000001671,
140,,Segment,2,2,Image 1,3,1,100000002,510000001703,
140,,Segment,2,1,Image 1,2,1,100000002,510000001713,
109,,Segment,2,0,Image 1,1,1,100000002,510000001717,
90,,Segment,2,7,Image 1,6,1,100000000,510000001748,
114,,Segment,2,7,Image 1,4,1,100000000,510000001763,
138,,Segment,2,6,Image 1,4,1,100000000,510000001771,
146,,Segment,2,5,Image 1,3,1,100000000,510000001778,
159,,Segment,2,4,Image 1,3,1,100000000,510000001787,
95,,Segment,2,6,Image 1,4,1,100000001,510000001797,
137,,Segment,2,5,Image 1,3,1,100000001,510000001809,
162,,Segment,2,4,Image 1,3,1,100000001,510000001894,
96,,Segment,2,6,Image 1,3,1,100000001,510000001897,
129,,Segment,2,3,Image 1,3,1,100000002,510000001923,
88,,Segment,2,2,Image 1,3,1,100000002,510000001936,
143,,Segment,2,1,Image 1,2,1,100000002,510000001954,
103,,Segment,2,2,Image 1,3,1,100000002,510000001962,
164,,Segment,2,1,Image 1,2,1,100000002,510000001996,
168,,Segment,2,0,Image 1,1,1,100000002,510000002033,
89,,Segment,2,3,Image 1,4,1,100000002,510000002056,
114,,Segment,2,7,Image 1,5,1,100000000,510000002059,
96,,Segment,2,7,Image 1,4,1,100000001,510000002075,
99,,Segment,2,3,Image 1,4,1,100000002,510000002089,
104,,Segment,2,5,Image 1,4,1,100000001,510000002094,
102,,Segment,2,10,Image 1,2,1,100000002,510000002101,
109,,Segment,2,2,Image 1,2,1,100000002,510000002132,
177,,Segment,2,1,Image 1,1,1,100000002,510000002154,
169,,Segment,2,0,Image 1,1,1,100000002,510000002158,
124,,Segment,2,2,Image 1,2,1,100000002,510000002170,
65,,Segment,2,3,Image 1,3,1,100000002,510000002178,
73,,Segment,2,2,Image 1,2,1,100000002,510000002186,
53,,Segment,2,9,Image 1,3,1,100000002,510000002192,
102,,Segment,2,7,Image 1,3,1,100000002,510000002199,
71,,Segment,2,3,Image 1,2,1,100000002,510000002202,
62,,Segment,2,7,Image 1,4,1,100000000,510000002206,
43,,Segment,2,8,Image 1,3,1,100000002,510000002210,
134,,Segment,2,1,Image 1,2,1,100000002,510000002216,
98,,Segment,2,6,Image 1,5,1,100000000,510000002220,
163,,Segment,2,5,Image 1,4,1,100000000,510000002224,
155,,Segment,2,2,Image 1,2,1,100000001,510000002261,
152,,Segment,2,7,Image 1,5,1,100000000,510000002265,
157,,Segment,2,6,Image 1,4,1,100000000,510000002270,
125,,Segment,2,7,Image 1,4,1,100000000,510000002274,
93,,Segment,2,4,Image 1,4,1,100000002,510000002276,
63,,Segment,2,2,Image 1,2,1,100000002,510000002278,
180,,Segment,2,4,Image 1,2,1,100000001,510000002297,
130,,Segment,2,3,Image 1,1,1,100000001,510000002322,
90,,Segment,2,2,Image 1,2,1,100000002,510000002348,
109,,Segment,2,1,Image 1,1,1,100000002,510000002352,
166,,Segment,2,6,Image 1,3,1,100000000,510000002354,
109,,Segment,2,5,Image 1,5,1,100000000,510000002356,
168,,Segment,2,3,Image 1,2,1,100000002,510000002378,
152,,Segment,2,2,Image 1,1,1,100000002,510000002389,
150,,Segment,2,5,Image 1,1,1,100000002,510000002393,
108,,Segment,2,2,Image 1,1,1,100000002,510000002405,
135,,Segment,2,6,Image 1,3,1,100000002,510000002409,
178,,Segment,2,1,Image 1,1,1,100000002,510000002418,
109,,Segment,2,4,Image 1,1,1,100000001,510000002424,
129,,Segment,2,2,Image 1,2,1,100000000,510000002444,
117,,Segment,2,1,Image 1,1,1,100000000,510000002454,
141,,Segment,2,6,Image 1,2,1,100000001,510000002472,
132,,Segment,2,3,Image 1,2,1,100000002,510000002483,
165,,Segment,2,2,Image 1,2,1,100000002,510000002487,
103,,Segment,2,2,Image 1,1,1,100000002,510000002503,
150,,Segment,2,3,Image 1,2,1,100000002,510000002518,
188,,Segment,2,2,Image 1,1,1,100000002,510000002543,
187,,Segment,2,1,Image 1,1,1,100000002,510000002545,
137,,Segment,2,4,Image 1,2,1,100000002,510000002555,
154,,Segment,2,3,Image 1,3,1,100000002,510000002565,
132,,Segment,2,3,Image 1,2,1,100000002,510000002572,
145,,Segment,2,1,Image 1,2,1,100000002,510000002590,
88,,Segment,2,2,Image 1,2,1,100000002,510000002598,
150,,Segment,2,3,Image 1,1,1,100000002,510000002600,
187,,Segment,2,2,Image 1,2,1,100000002,510000002611,
146,,Segment,2,3,Image 1,2,1,100000002,510000002620,
182,,Segment,2,1,Image 1,1,1,100000002,510000002627,
182,,Segment,2,0,Image 1,1,1,100000002,510000002638,
117,,Segment,2,2,Image 1,3,1,100000002,510000002642,
188,,Segment,2,3,Image 1,1,1,100000002,510000002661,
129,,Segment,2,2,Image 1,1,1,100000000,510000002663,
104,,Segment,2,0,Image 1,1,1,100000002,510000002665,
100,,Segment,2,2,Image 1,2,1,100000002,510000002669,
128,,Segment,2,2,Image 1,2,1,100000000,510000002672,
143,,Segment,2,2,Image 1,2,1,100000002,510000002710,
152,,Segment,2,0,Image 1,1,1,100000002,510000002733,
182,,Segment,2,1,Image 1,2,1,100000002,510000002740,
89,,Segment,2,6,Image 1,4,1,100000000,510000002756,
62,,Segment,2,7,Image 1,5,1,100000000,510000002757,
47,,Segment,2,6,Image 1,3,1,100000001,510000002760,
127,,Segment,2,2,Image 1,3,1,100000001,510000002761,
54,,Segment,2,9,Image 1,4,1,100000001,510000002762,
134,,Segment,2,1,Image 1,1,1,100000002,510000002764,
93,,Segment,2,3,Image 1,3,1,100000002,510000002766,
143,,Segment,2,1,Image 1,1,1,100000002,510000002768,
104,,Segment,2,3,Image 1,1,1,100000002,510000002769,
127,,Segment,2,1,Image 1,2,1,100000002,510000002770,
111,,Segment,2,2,Image 1,1,1,100000002,510000002773,
