
Spine Terminal Pt Distance
 ==================== 
Spine Terminal Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
8.21309,µm,Spine,2,2,1,100000002,610000003007,
1.65852,µm,Spine,1,1,1,100000002,610000003013,
8.20959,µm,Spine,2,2,1,100000002,610000003016,
6.1592,µm,Spine,2,2,1,100000002,610000003018,
9.43064,µm,Spine,10,2,1,100000002,610000003020,
1.01248,µm,Spine,1,1,1,100000001,610000003024,
3.53955,µm,Spine,2,3,1,100000000,610000003027,
5.36649,µm,Spine,1,2,1,100000002,610000003029,
12.0913,µm,Spine,5,4,1,100000001,610000003031,
16.3111,µm,Spine,9,5,1,100000001,610000003033,
4.3364,µm,Spine,1,2,1,100000002,610000003037,
3.05888,µm,Spine,2,2,1,100000000,610000003040,
0.853311,µm,Spine,1,1,1,100000002,610000003049,
4.39103,µm,Spine,1,2,1,100000002,610000003052,
2.21261,µm,Spine,1,2,1,100000002,610000003055,
6.31978,µm,Spine,6,2,1,100000002,610000003058,
11.5574,µm,Spine,4,5,1,100000000,610000003060,
12.5022,µm,Spine,7,5,1,100000000,610000003063,
5.89037,µm,Spine,5,1,1,100000002,610000003067,
1.88669,µm,Spine,0,1,1,100000001,610000003071,
0.810425,µm,Spine,1,1,1,100000001,610000003073,
5.79281,µm,Spine,5,1,1,100000002,610000003076,
2.23873,µm,Spine,2,2,1,100000000,610000003079,
4.16867,µm,Spine,1,2,1,100000002,610000003081,
14.7582,µm,Spine,9,5,1,100000001,610000003088,
1.654,µm,Spine,1,2,1,100000001,610000003097,
3.04935,µm,Spine,3,2,1,100000002,610000003101,
5.84143,µm,Spine,6,2,1,100000002,610000003108,
8.39434,µm,Spine,6,4,1,100000001,610000003118,
9.52205,µm,Spine,3,2,1,100000001,610000003123,
4.91037,µm,Spine,4,1,1,100000002,610000003128,
3.99922,µm,Spine,4,1,1,100000002,610000003130,
1.54319,µm,Spine,1,2,1,100000001,610000003133,
3.208,µm,Spine,3,2,1,100000002,610000003140,
4.01667,µm,Spine,1,2,1,100000002,610000003147,
1.5989,µm,Spine,1,2,1,100000000,610000003153,
2.47689,µm,Spine,2,2,1,100000002,610000003155,
4.66983,µm,Spine,3,2,1,100000002,610000003158,
1.83383,µm,Spine,2,1,1,100000002,610000003165,
4.67993,µm,Spine,4,1,1,100000002,610000003170,
5.7056,µm,Spine,6,2,1,100000002,610000003187,
1.61935,µm,Spine,2,1,1,100000002,610000003214,
12.3899,µm,Spine,5,5,1,100000000,610000003225,
10.7253,µm,Spine,4,5,1,100000000,610000003226,
9.61575,µm,Spine,7,5,1,100000000,610000003227,
7.21306,µm,Spine,4,4,1,100000000,610000003228,
8.57574,µm,Spine,6,4,1,100000000,610000003229,
3.04266,µm,Spine,2,3,1,100000000,610000003230,
17.8323,µm,Spine,7,5,1,100000001,610000003231,
17.9196,µm,Spine,7,3,1,100000001,610000003232,
16.7956,µm,Spine,6,3,1,100000001,610000003233,
11.4229,µm,Spine,4,3,1,100000001,610000003234,
9.00772,µm,Spine,3,2,1,100000001,610000003235,
15.3751,µm,Spine,9,5,1,100000001,610000003236,
14.3486,µm,Spine,9,5,1,100000001,610000003237,
10.6661,µm,Spine,6,4,1,100000001,610000003238,
3.82706,µm,Spine,4,2,1,100000001,610000003239,
11.3217,µm,Spine,6,3,1,100000001,610000003240,
4.68887,µm,Spine,3,1,1,100000001,610000003241,
3.97996,µm,Spine,3,1,1,100000001,610000003242,
2.20713,µm,Spine,2,1,1,100000001,610000003243,
1.57769,µm,Spine,0,1,1,100000001,610000003244,
7.67338,µm,Spine,2,1,1,100000002,610000003245,
5.79732,µm,Spine,2,1,1,100000002,610000003246,
5.35373,µm,Spine,3,4,1,100000002,610000003247,
3.25773,µm,Spine,2,3,1,100000002,610000003248,
2.9185,µm,Spine,3,2,1,100000002,610000003249,
7.96325,µm,Spine,2,3,1,100000002,610000003250,
6.5493,µm,Spine,1,2,1,100000002,610000003251,
1.18308,µm,Spine,0,1,1,100000002,610000003253,
1.36662,µm,Spine,1,2,1,100000002,610000003257,
8.2724,µm,Spine,9,2,1,100000002,610000003262,
7.74139,µm,Spine,8,2,1,100000002,610000003263,
6.30394,µm,Spine,6,2,1,100000002,610000003264,
6.14654,µm,Spine,6,2,1,100000002,610000003265,
4.46346,µm,Spine,4,1,1,100000002,610000003266,
2.39181,µm,Spine,2,2,1,100000002,610000003267,
1.57866,µm,Spine,0,1,1,100000002,610000003268,
5.5903,µm,Spine,1,2,1,100000002,610000003275,
3.80501,µm,Spine,1,2,1,100000002,610000003276,
3.04696,µm,Spine,2,1,1,100000002,610000003277,
2.34876,µm,Spine,2,1,1,100000002,610000003278,
1.54173,µm,Spine,2,1,1,100000002,610000003279,
2.05553,µm,Spine,3,2,1,100000002,610000003280,
