
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.874648,,Segment,17,8,1,100000003,510000000015,
0.983478,,Segment,16,8,1,100000003,510000000019,
0.987893,,Segment,15,8,1,100000003,510000000024,
0.934379,,Segment,14,7,1,100000003,510000000040,
0.985423,,Segment,13,7,1,100000003,510000000042,
0.820897,,Segment,12,7,1,100000003,510000000131,
0.900487,,Segment,11,6,1,100000003,510000000144,
0.963507,,Segment,10,5,1,100000003,510000000154,
0.9806,,Segment,9,4,1,100000003,510000000172,
0.97883,,Segment,8,3,1,100000003,510000000188,
0.95787,,Segment,7,3,1,100000003,510000000200,
0.982946,,Segment,6,3,1,100000003,510000000205,
0.974526,,Segment,5,3,1,100000003,510000000220,
0.986972,,Segment,4,2,1,100000003,510000000227,
0.97972,,Segment,3,2,1,100000003,510000000241,
0.981358,,Segment,2,1,1,100000003,510000000251,
0.994546,,Segment,1,1,1,100000003,510000000260,
0.983284,,Segment,0,1,1,100000003,510000000272,
0.99742,,Segment,17,9,1,100000003,510000000299,
0.971857,,Segment,16,9,1,100000003,510000000304,
0.990444,,Segment,14,8,1,100000003,510000000308,
0.997239,,Segment,15,7,1,100000003,510000000310,
0.922047,,Segment,13,8,1,100000003,510000000324,
0.994867,,Segment,6,3,1,100000003,510000000334,
0.898945,,Segment,5,3,1,100000003,510000000387,
0.97422,,Segment,4,3,1,100000003,510000000404,
0.960533,,Segment,3,2,1,100000003,510000000417,
0.992359,,Segment,2,2,1,100000003,510000000427,
0.992053,,Segment,6,4,1,100000003,510000000430,
0.984247,,Segment,5,4,1,100000003,510000000433,
0.986146,,Segment,9,6,1,100000001,510000000440,
0.988662,,Segment,8,5,1,100000001,510000000442,
0.965689,,Segment,7,5,1,100000001,510000000452,
0.950057,,Segment,6,5,1,100000001,510000000460,
0.97819,,Segment,5,4,1,100000001,510000000466,
0.860586,,Segment,4,3,1,100000001,510000000491,
0.99223,,Segment,3,2,1,100000001,510000000497,
0.936687,,Segment,2,2,1,100000001,510000000530,
0.795238,,Segment,1,1,1,100000001,510000000631,
0.989562,,Segment,0,1,1,100000001,510000000660,
0.947074,,Segment,8,6,1,100000001,510000000666,
0.982356,,Segment,9,5,1,100000001,510000000668,
0.953853,,Segment,7,6,1,100000001,510000000671,
0.99291,,Segment,5,3,1,100000001,510000000680,
0.983218,,Segment,6,4,1,100000001,510000000682,
0.668769,,Segment,9,4,1,100000003,510000000704,
0.862598,,Segment,8,4,1,100000003,510000000760,
0.964648,,Segment,7,4,1,100000003,510000000762,
0.964745,,Segment,6,4,1,100000003,510000000775,
0.867697,,Segment,5,3,1,100000003,510000000798,
0.991812,,Segment,4,2,1,100000003,510000000806,
0.968366,,Segment,3,2,1,100000003,510000000828,
0.92928,,Segment,1,1,1,100000003,510000000845,
0.930431,,Segment,0,1,1,100000003,510000000864,
0.984904,,Segment,9,5,1,100000003,510000000901,
0.804228,,Segment,7,5,1,100000003,510000000925,
0.997436,,Segment,8,5,1,100000003,510000000928,
0.809984,,Segment,6,3,1,100000003,510000000961,
0.670136,,Segment,5,2,1,100000003,510000001005,
0.857695,,Segment,4,1,1,100000003,510000001014,
0.965605,,Segment,3,1,1,100000003,510000001044,
0.999734,,Segment,8,4,1,100000003,510000001046,
0.944916,,Segment,7,3,1,100000003,510000001048,
0.982784,,Segment,6,2,1,100000003,510000001053,
0.994471,,Segment,7,2,1,100000003,510000001055,
0.993561,,Segment,3,2,1,100000002,510000001060,
0.618505,,Segment,2,1,1,100000002,510000001122,
0.996229,,Segment,1,1,1,100000002,510000001124,
0.916826,,Segment,0,1,1,100000002,510000001158,
0.972235,,Segment,3,1,1,100000002,510000001173,
0.948381,,Segment,2,2,1,100000002,510000001187,
0.992249,,Segment,1,2,1,100000002,510000001190,
0.803721,,Segment,3,2,1,100000002,510000001215,
0.977779,,Segment,2,1,1,100000002,510000001237,
0.783127,,Segment,1,1,1,100000002,510000001249,
0.956867,,Segment,0,1,1,100000002,510000001262,
0.933038,,Segment,3,2,1,100000002,510000001287,
0.975677,,Segment,2,2,1,100000002,510000001308,
0.968129,,Segment,1,2,1,100000002,510000001315,
0.931931,,Segment,3,1,1,100000002,510000001321,
0.984417,,Segment,2,2,1,100000002,510000001352,
0.93218,,Segment,3,3,1,100000002,510000001358,
0.992629,,Segment,2,3,1,100000002,510000001361,
0.93861,,Segment,7,3,1,100000001,510000001404,
0.945776,,Segment,6,3,1,100000001,510000001415,
0.990671,,Segment,5,2,1,100000001,510000001426,
0.860041,,Segment,4,2,1,100000001,510000001446,
0.989596,,Segment,2,2,1,100000001,510000001451,
0.91791,,Segment,1,2,1,100000001,510000001463,
0.975954,,Segment,0,1,1,100000001,510000001466,
0.967035,,Segment,7,4,1,100000001,510000001495,
0.9955,,Segment,6,2,1,100000001,510000001498,
0.970704,,Segment,13,7,1,100000003,510000001505,
0.912241,,Segment,13,6,1,100000003,510000001508,
0.681407,,Segment,11,5,1,100000003,510000001515,
0.98165,,Segment,4,2,1,100000001,510000001521,
0.987458,,Segment,3,3,1,100000001,510000001525,
0.985888,,Segment,4,2,1,100000001,510000001528,
0.961358,,Segment,3,1,1,100000001,510000001539,
0.905589,,Segment,3,2,1,100000001,510000001551,
0.897877,,Segment,8,6,1,100000003,510000001580,
0.957363,,Segment,7,5,1,100000003,510000001605,
0.9909,,Segment,6,4,1,100000003,510000001621,
0.968767,,Segment,5,4,1,100000003,510000001656,
0.784136,,Segment,4,3,1,100000003,510000001736,
0.94105,,Segment,3,2,1,100000003,510000001754,
0.989637,,Segment,2,2,1,100000003,510000001756,
0.978079,,Segment,1,2,1,100000003,510000001769,
0.98823,,Segment,9,6,1,100000003,510000001772,
0.959099,,Segment,8,5,1,100000003,510000001783,
0.981573,,Segment,9,5,1,100000003,510000001786,
0.971714,,Segment,8,4,1,100000003,510000001792,
0.976172,,Segment,7,4,1,100000003,510000001799,
0.912499,,Segment,8,5,1,100000003,510000001805,
0.919537,,Segment,18,4,1,100000000,510000001818,
0.999866,,Segment,17,4,1,100000000,510000001820,
0.770829,,Segment,16,4,1,100000000,510000001833,
0.998881,,Segment,15,3,1,100000000,510000001835,
0.942637,,Segment,14,3,1,100000000,510000001842,
0.957945,,Segment,13,3,1,100000000,510000001857,
0.995495,,Segment,11,3,1,100000000,510000001865,
0.986355,,Segment,10,3,1,100000000,510000001891,
0.978951,,Segment,9,3,1,100000000,510000001899,
0.997521,,Segment,8,3,1,100000000,510000001904,
0.989038,,Segment,7,3,1,100000000,510000001920,
0.946566,,Segment,5,3,1,100000000,510000001943,
0.950825,,Segment,4,2,1,100000000,510000001963,
0.968043,,Segment,3,1,1,100000000,510000001973,
0.99495,,Segment,2,1,1,100000000,510000001975,
0.955461,,Segment,1,1,1,100000000,510000001980,
0.985657,,Segment,0,1,1,100000000,510000001987,
0.993831,,Segment,6,5,1,100000003,510000002021,
0.96882,,Segment,18,5,1,100000000,510000002024,
0.988728,,Segment,17,5,1,100000000,510000002026,
0.972308,,Segment,5,3,1,100000003,510000002031,
0.917858,,Segment,12,5,1,100000000,510000002037,
0.90638,,Segment,11,4,1,100000000,510000002093,
0.99398,,Segment,16,3,1,100000000,510000002096,
0.992799,,Segment,15,4,1,100000000,510000002100,
0.940774,,Segment,10,4,1,100000000,510000002110,
0.997909,,Segment,9,3,1,100000000,510000002112,
0.994613,,Segment,8,3,1,100000000,510000002115,
0.974208,,Segment,6,3,1,100000000,510000002125,
0.967341,,Segment,5,2,1,100000000,510000002127,
0.956452,,Segment,4,2,1,100000000,510000002145,
0.956779,,Segment,3,1,1,100000000,510000002150,
0.894691,,Segment,2,1,1,100000000,510000002183,
0.982466,,Segment,1,1,1,100000000,510000002198,
0.967585,,Segment,0,1,1,100000000,510000002231,
0.778877,,Segment,14,4,1,100000000,510000002242,
0.946361,,Segment,8,4,1,100000000,510000002247,
0.891867,,Segment,10,4,1,100000003,510000002255,
0.971098,,Segment,5,3,1,100000003,510000002269,
0.957289,,Segment,4,2,1,100000003,510000002289,
0.994586,,Segment,12,4,1,100000000,510000002291,
0.998313,,Segment,10,3,1,100000000,510000002293,
0.976077,,Segment,9,4,1,100000000,510000002297,
0.978945,,Segment,1,2,1,100000000,510000002306,
0.720081,,Segment,0,1,1,100000000,510000002364,
0.843979,,Segment,7,3,1,100000003,510000002390,
0.979924,,Segment,6,3,1,100000003,510000002404,
0.951035,,Segment,5,1,1,100000003,510000002412,
0.843854,,Segment,5,3,1,100000000,510000002422,
0.992338,,Segment,7,4,1,100000003,510000002424,
0.997548,,Segment,9,3,1,100000003,510000002428,
0.993088,,Segment,7,4,1,100000000,510000002430,
0.949383,,Segment,2,2,1,100000000,510000002440,
0.975931,,Segment,1,1,1,100000000,510000002445,
0.903192,,Segment,5,2,1,100000003,510000002450,
0.960207,,Segment,10,4,1,100000000,510000002470,
0.960438,,Segment,2,2,1,100000002,510000002487,
0.906111,,Segment,1,2,1,100000002,510000002538,
0.979711,,Segment,0,1,1,100000002,510000002542,
0.999675,,Segment,8,4,1,100000003,510000002561,
0.963909,,Segment,6,2,1,100000000,510000002565,
0.983916,,Segment,9,4,1,100000000,510000002573,
0.889618,,Segment,4,1,1,100000000,510000002590,
0.912556,,Segment,5,2,1,100000003,510000002604,
0.972597,,Segment,2,3,1,100000002,510000002617,
0.993816,,Segment,7,4,1,100000003,510000002619,
0.97187,,Segment,4,2,1,100000003,510000002631,
0.985373,,Segment,6,2,1,100000003,510000002637,
0.965822,,Segment,5,2,1,100000003,510000002647,
0.927298,,Segment,2,3,1,100000003,510000002676,
0.947406,,Segment,6,3,1,100000003,510000002684,
0.958312,,Segment,4,2,1,100000003,510000002700,
0.995795,,Segment,6,4,1,100000003,510000002702,
0.99833,,Segment,8,4,1,100000000,510000002705,
0.980917,,Segment,4,3,1,100000003,510000002715,
0.930418,,Segment,3,2,1,100000000,510000002723,
0.999907,,Segment,3,2,1,100000000,510000002725,
0.983004,,Segment,6,3,1,100000000,510000002735,
0.950297,,Segment,5,2,1,100000000,510000002751,
0.974757,,Segment,7,3,1,100000000,510000002761,
0.936491,,Segment,6,2,1,100000000,510000002773,
0.968961,,Segment,7,2,1,100000000,510000002787,
0.96365,,Segment,2,2,1,100000003,510000002792,
0.998504,,Segment,4,3,1,100000003,510000002794,
0.992594,,Segment,3,3,1,100000003,510000002796,
0.979225,,Segment,7,4,1,100000000,510000002801,
0.968258,,Segment,5,3,1,100000002,510000002813,
0.984361,,Segment,4,2,1,100000002,510000002819,
0.972542,,Segment,3,2,1,100000002,510000002825,
0.973029,,Segment,2,1,1,100000002,510000002874,
0.98181,,Segment,1,1,1,100000002,510000002881,
0.999178,,Segment,6,4,1,100000000,510000002884,
0.926294,,Segment,3,2,1,100000002,510000002913,
0.996112,,Segment,2,2,1,100000002,510000002916,
0.996206,,Segment,3,1,1,100000003,510000002918,
0.854166,,Segment,2,2,1,100000000,510000002939,
0.987441,,Segment,3,3,1,100000003,510000002943,
0.979257,,Segment,5,2,1,100000002,510000002950,
0.944382,,Segment,1,2,1,100000000,510000002966,
0.857723,,Segment,1,1,1,100000000,510000002995,
0.971419,,Segment,0,1,1,100000000,510000003015,
0.963406,,Segment,1,2,1,100000003,510000003023,
0.873354,,Segment,0,1,1,100000003,510000003043,
0.955959,,Segment,3,1,1,100000002,510000003047,
0.990592,,Segment,1,2,1,100000001,510000003057,
0.919594,,Segment,0,1,1,100000001,510000003139,
0.97929,,Segment,4,3,1,100000000,510000003145,
0.903226,,Segment,1,2,1,100000000,510000003168,
0.98458,,Segment,2,2,1,100000001,510000003174,
0.959319,,Segment,1,1,1,100000001,510000003180,
0.948286,,Segment,4,2,1,100000000,510000003184,
0.961716,,Segment,2,1,1,100000001,510000003187,
0.924529,,Segment,1,1,1,100000003,510000003190,
0.988816,,Segment,4,3,1,100000001,510000003194,
0.985679,,Segment,2,3,1,100000000,510000003198,
0.830293,,Segment,1,2,1,100000003,510000003210,
0.92833,,Segment,5,1,1,100000000,510000003223,
0.983758,,Segment,3,3,1,100000000,510000003228,
0.962037,,Segment,1,2,1,100000003,510000003231,
0.983214,,Segment,0,1,1,100000003,510000003242,
0.933922,,Segment,2,3,1,100000001,510000003272,
0.969693,,Segment,1,2,1,100000001,510000003289,
0.906015,,Segment,0,1,1,100000001,510000003296,
0.960076,,Segment,5,2,1,100000000,510000003300,
0.982568,,Segment,2,3,1,100000001,510000003309,
0.976036,,Segment,1,1,1,100000000,510000003315,
0.941841,,Segment,0,1,1,100000000,510000003339,
0.943637,,Segment,1,1,1,100000001,510000003372,
0.98996,,Segment,1,2,1,100000000,510000003374,
0.996068,,Segment,1,2,1,100000000,510000003376,
0.980098,,Segment,1,1,1,100000003,510000003379,
0.968891,,Segment,0,1,1,100000003,510000003387,
0.99722,,Segment,3,3,1,100000002,510000003390,
0.917631,,Segment,1,1,1,100000002,510000003424,
0.98571,,Segment,0,1,1,100000002,510000003430,
0.936757,,Segment,3,2,1,100000000,510000003462,
0.949186,,Segment,2,2,1,100000000,510000003471,
0.982522,,Segment,2,2,1,100000001,510000003474,
0.834158,,Segment,1,2,1,100000001,510000003495,
0.997059,,Segment,1,2,1,100000002,510000003498,
0.999831,,Segment,0,1,1,100000002,510000003501,
0.90554,,Segment,1,1,1,100000001,510000003503,
0.997987,,Segment,0,1,1,100000001,510000003551,
1,,Segment,0,1,1,100000002,510000003569,
1,,Segment,6,3,1,100000000,510000003585,
1,,Segment,12,3,1,100000000,510000003586,
1,,Segment,13,4,1,100000000,510000003587,
1,,Segment,12,4,1,100000000,510000003588,
1,,Segment,4,1,1,100000000,510000003589,
1,,Segment,2,2,1,100000000,510000003590,
1,,Segment,3,2,1,100000000,510000003591,
1,,Segment,7,3,1,100000000,510000003593,
1,,Segment,2,1,1,100000000,510000003594,
1,,Segment,2,1,1,100000001,510000003596,
1,,Segment,4,1,1,100000001,510000003597,
1,,Segment,3,2,1,100000001,510000003599,
1,,Segment,5,3,1,100000001,510000003600,
1,,Segment,3,3,1,100000001,510000003601,
1,,Segment,4,3,1,100000002,510000003604,
1,,Segment,12,6,1,100000003,510000003606,
1,,Segment,8,3,1,100000003,510000003607,
1,,Segment,2,1,1,100000003,510000003609,
