
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
38.7203,°,Segment,9,5,1,100000000,510000000012,
37.336,°,Segment,8,4,1,100000000,510000000027,
4.09275,°,Segment,7,3,1,100000000,510000000053,
18.4207,°,Segment,5,3,1,100000000,510000000090,
7.94095,°,Segment,4,2,1,100000000,510000000113,
5.65444,°,Segment,3,1,1,100000000,510000000127,
3.43524,°,Segment,2,1,1,100000000,510000000146,
8.54511,°,Segment,1,1,1,100000000,510000000158,
0,°,Segment,0,1,1,100000000,510000000161,
39.6928,°,Segment,9,4,1,100000000,510000000190,
41.0309,°,Segment,8,3,1,100000000,510000000201,
87.3176,°,Segment,6,4,1,100000000,510000000204,
79.7334,°,Segment,7,4,1,100000000,510000000206,
4.35055,°,Segment,9,6,1,100000000,510000000221,
6.36409,°,Segment,8,5,1,100000000,510000000229,
9.26158,°,Segment,7,5,1,100000000,510000000234,
5.01083,°,Segment,5,4,1,100000000,510000000243,
23.8023,°,Segment,4,3,1,100000000,510000000254,
28.9281,°,Segment,3,2,1,100000000,510000000286,
9.06319,°,Segment,2,2,1,100000000,510000000325,
39.8114,°,Segment,1,2,1,100000000,510000000343,
0,°,Segment,0,1,1,100000000,510000000380,
21.6928,°,Segment,10,6,1,100000000,510000000397,
5.66787,°,Segment,6,3,1,100000000,510000000425,
5.37549,°,Segment,5,3,1,100000000,510000000442,
26.2175,°,Segment,4,3,1,100000000,510000000444,
48.9812,°,Segment,3,3,1,100000000,510000000476,
78.1856,°,Segment,8,6,1,100000000,510000000478,
49.4751,°,Segment,6,4,1,100000000,510000000486,
83.1766,°,Segment,7,6,1,100000000,510000000488,
89.0666,°,Segment,6,4,1,100000000,510000000494,
91.4047,°,Segment,5,4,1,100000000,510000000497,
84.4899,°,Segment,5,4,1,100000000,510000000506,
87.7773,°,Segment,4,4,1,100000000,510000000510,
77.6342,°,Segment,5,3,1,100000000,510000000512,
