
Spine Intensity Max Ch=5 Img=1
 ==================== 
Spine Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,5,9,Image 1,3,1,100000000,610000002852,
0,,Spine,5,4,Image 1,1,1,100000000,610000002855,
0,,Spine,5,5,Image 1,4,1,100000000,610000002857,
0,,Spine,5,2,Image 1,2,1,100000002,610000002859,
0,,Spine,5,0,Image 1,1,1,100000001,610000002863,
0,,Spine,5,3,Image 1,2,1,100000000,610000002867,
0,,Spine,5,8,Image 1,4,1,100000000,610000002869,
0,,Spine,5,4,Image 1,3,1,100000001,610000002871,
0,,Spine,5,5,Image 1,4,1,100000000,610000002874,
0,,Spine,5,2,Image 1,1,1,100000000,610000002878,
0,,Spine,5,2,Image 1,2,1,100000002,610000002881,
0,,Spine,5,4,Image 1,3,1,100000001,610000002883,
0,,Spine,5,0,Image 1,1,1,100000000,610000002888,
0,,Spine,5,0,Image 1,1,1,100000000,610000002892,
0,,Spine,5,1,Image 1,2,1,100000000,610000002894,
0,,Spine,5,0,Image 1,1,1,100000000,610000002899,
0,,Spine,5,0,Image 1,1,1,100000000,610000002903,
0,,Spine,5,2,Image 1,2,1,100000000,610000002907,
0,,Spine,5,0,Image 1,1,1,100000000,610000002910,
0,,Spine,5,0,Image 1,1,1,100000000,610000002914,
0,,Spine,5,0,Image 1,1,1,100000000,610000002920,
0,,Spine,5,1,Image 1,1,1,100000000,610000002924,
0,,Spine,5,0,Image 1,1,1,100000000,610000002926,
0,,Spine,5,0,Image 1,1,1,100000000,610000002929,
0,,Spine,5,3,Image 1,1,1,100000001,610000002932,
0,,Spine,5,0,Image 1,1,1,100000002,610000002935,
0,,Spine,5,0,Image 1,1,1,100000000,610000002937,
150,,Spine,5,2,Image 1,2,1,100000000,610000002940,
0,,Spine,5,0,Image 1,1,1,100000000,610000002942,
0,,Spine,5,6,Image 1,1,1,100000000,610000002945,
0,,Spine,5,3,Image 1,1,1,100000001,610000002947,
0,,Spine,5,0,Image 1,1,1,100000000,610000002949,
0,,Spine,5,0,Image 1,1,1,100000002,610000002951,
0,,Spine,5,0,Image 1,1,1,100000000,610000002953,
0,,Spine,5,1,Image 1,1,1,100000001,610000002957,
0,,Spine,5,0,Image 1,1,1,100000000,610000002959,
24,,Spine,5,0,Image 1,1,1,100000000,610000002962,
0,,Spine,5,0,Image 1,1,1,100000000,610000002965,
0,,Spine,5,0,Image 1,1,1,100000000,610000002968,
0,,Spine,5,0,Image 1,1,1,100000000,610000002970,
26,,Spine,5,0,Image 1,1,1,100000000,610000002974,
0,,Spine,5,0,Image 1,1,1,100000000,610000002976,
0,,Spine,5,0,Image 1,1,1,100000000,610000002980,
0,,Spine,5,0,Image 1,1,1,100000000,610000002988,
0,,Spine,5,8,Image 1,3,1,100000000,610000003008,
0,,Spine,5,5,Image 1,2,1,100000000,610000003009,
0,,Spine,5,7,Image 1,2,1,100000000,610000003010,
0,,Spine,5,7,Image 1,2,1,100000000,610000003011,
0,,Spine,5,6,Image 1,1,1,100000000,610000003012,
0,,Spine,5,6,Image 1,2,1,100000000,610000003013,
0,,Spine,5,4,Image 1,1,1,100000000,610000003014,
0,,Spine,5,5,Image 1,4,1,100000000,610000003015,
0,,Spine,5,2,Image 1,2,1,100000000,610000003016,
0,,Spine,5,2,Image 1,2,1,100000000,610000003017,
0,,Spine,5,2,Image 1,2,1,100000000,610000003018,
0,,Spine,5,4,Image 1,2,1,100000000,610000003019,
0,,Spine,5,9,Image 1,6,1,100000000,610000003025,
0,,Spine,5,6,Image 1,4,1,100000000,610000003026,
0,,Spine,5,0,Image 1,1,1,100000000,610000003027,
0,,Spine,5,0,Image 1,1,1,100000000,610000003033,
0,,Spine,5,9,Image 1,3,1,100000000,610000003035,
0,,Spine,5,9,Image 1,3,1,100000000,610000003036,
0,,Spine,5,3,Image 1,2,1,100000000,610000003037,
0,,Spine,5,1,Image 1,2,1,100000000,610000003038,
0,,Spine,5,2,Image 1,1,1,100000001,610000003043,
0,,Spine,5,1,Image 1,1,1,100000001,610000003044,
0,,Spine,5,4,Image 1,2,1,100000001,610000003045,
0,,Spine,5,1,Image 1,2,1,100000001,610000003046,
0,,Spine,5,0,Image 1,1,1,100000001,610000003047,
0,,Spine,5,1,Image 1,1,1,100000001,610000003050,
0,,Spine,5,3,Image 1,2,1,100000002,610000003051,
0,,Spine,5,2,Image 1,2,1,100000002,610000003052,
0,,Spine,5,2,Image 1,2,1,100000002,610000003053,
0,,Spine,5,2,Image 1,2,1,100000002,610000003054,
0,,Spine,5,1,Image 1,2,1,100000002,610000003055,
