
Spine Terminal Pt Position Z
 ==================== 
Spine Terminal Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1441.49,µm,Spine,Spine Terminal Pt Position,9,3,1,100000000,610000002852,
1440.99,µm,Spine,Spine Terminal Pt Position,4,1,1,100000000,610000002855,
1439.38,µm,Spine,Spine Terminal Pt Position,5,4,1,100000000,610000002857,
1441.49,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000002859,
1443.09,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000002863,
1441.39,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000002867,
1441.59,µm,Spine,Spine Terminal Pt Position,8,4,1,100000000,610000002869,
1439.09,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000002871,
1441.69,µm,Spine,Spine Terminal Pt Position,5,4,1,100000000,610000002874,
1441.19,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000002878,
1441.99,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000002881,
1439.29,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000002883,
1442.19,µm,Spine,Spine Terminal Pt Position,,,1,,610000002890,
1440.29,µm,Spine,Spine Terminal Pt Position,1,2,1,100000000,610000002894,
1441.23,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002907,
1442.19,µm,Spine,Spine Terminal Pt Position,,,1,,610000002909,
1441.59,µm,Spine,Spine Terminal Pt Position,,,1,,610000002913,
1442.55,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002924,
1439.19,µm,Spine,Spine Terminal Pt Position,3,1,1,100000001,610000002932,
1442.69,µm,Spine,Spine Terminal Pt Position,0,1,1,100000002,610000002935,
1440.79,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002940,
1439.41,µm,Spine,Spine Terminal Pt Position,6,1,1,100000000,610000002945,
1439.09,µm,Spine,Spine Terminal Pt Position,3,1,1,100000001,610000002947,
1442.39,µm,Spine,Spine Terminal Pt Position,0,1,1,100000002,610000002951,
1440.62,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000002957,
1441.39,µm,Spine,Spine Terminal Pt Position,,,1,,610000002961,
1440.59,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002968,
1440.11,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003056,
1440.79,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000003056,
1439.79,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003057,
1440.39,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000003057,
1441.69,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003058,
1440.5,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003058,
1443.16,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003058,
1441.07,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000003059,
1442.96,µm,Spine,Spine Terminal Pt Position,5,4,1,,610000003059,
1441.39,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003060,
1439.59,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000003060,
1439.81,µm,Spine,Spine Terminal Pt Position,7,2,1,,610000003060,
1441.59,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000003061,
1439.97,µm,Spine,Spine Terminal Pt Position,7,2,1,,610000003061,
1439.65,µm,Spine,Spine Terminal Pt Position,6,1,1,,610000003062,
1440.2,µm,Spine,Spine Terminal Pt Position,6,2,1,,610000003063,
1440.89,µm,Spine,Spine Terminal Pt Position,4,1,1,,610000003064,
1440.79,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000003065,
1440.89,µm,Spine,Spine Terminal Pt Position,8,3,1,,610000003066,
1441.51,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003067,
1440.86,µm,Spine,Spine Terminal Pt Position,6,4,1,,610000003068,
1440.15,µm,Spine,Spine Terminal Pt Position,9,6,1,,610000003069,
1440.49,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000003070,
1439.89,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003071,
1441.19,µm,Spine,Spine Terminal Pt Position,9,3,1,,610000003072,
1440.99,µm,Spine,Spine Terminal Pt Position,9,3,1,,610000003073,
1439.29,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000003074,
1440.49,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003075,
1441.49,µm,Spine,Spine Terminal Pt Position,,,1,,610000003084,
1440.99,µm,Spine,Spine Terminal Pt Position,,,1,,610000003087,
