
Segment Center Intensity Min Ch=2 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
75,,Segment,2,7,Image 1,5,1,100000000,510000000027,
3,,Segment,2,6,Image 1,4,1,100000000,510000000054,
14,,Segment,2,5,Image 1,3,1,100000000,510000000091,
52,,Segment,2,4,Image 1,2,1,100000000,510000000103,
95,,Segment,2,3,Image 1,1,1,100000000,510000000121,
63,,Segment,2,2,Image 1,1,1,100000000,510000000134,
9,,Segment,2,1,Image 1,1,1,100000000,510000000159,
122,,Segment,2,0,Image 1,1,1,100000000,510000000199,
79,,Segment,2,7,Image 1,4,1,100000000,510000000286,
25,,Segment,2,4,Image 1,3,1,100000000,510000000347,
2,,Segment,2,3,Image 1,2,1,100000000,510000000404,
107,,Segment,2,2,Image 1,2,1,100000000,510000000422,
111,,Segment,2,1,Image 1,1,1,100000000,510000000429,
65,,Segment,2,0,Image 1,1,1,100000000,510000000455,
35,,Segment,2,4,Image 1,2,1,100000000,510000000462,
5,,Segment,2,0,Image 1,1,1,100000000,510000000602,
11,,Segment,2,2,Image 1,2,1,100000002,510000000670,
8,,Segment,2,1,Image 1,1,1,100000002,510000000703,
113,,Segment,2,0,Image 1,1,1,100000002,510000000741,
8,,Segment,2,4,Image 1,2,1,100000003,510000000792,
38,,Segment,2,3,Image 1,1,1,100000003,510000000809,
52,,Segment,2,2,Image 1,1,1,100000003,510000000833,
61,,Segment,2,1,Image 1,1,1,100000003,510000000846,
41,,Segment,2,0,Image 1,1,1,100000003,510000000876,
7,,Segment,2,4,Image 1,1,1,100000001,510000001009,
75,,Segment,2,3,Image 1,1,1,100000001,510000001031,
110,,Segment,2,2,Image 1,1,1,100000001,510000001058,
59,,Segment,2,1,Image 1,1,1,100000001,510000001069,
34,,Segment,2,0,Image 1,1,1,100000001,510000001078,
4,,Segment,2,2,Image 1,2,1,100000001,510000001165,
18,,Segment,2,6,Image 1,3,1,100000001,510000001218,
7,,Segment,2,5,Image 1,3,1,100000001,510000001227,
76,,Segment,2,4,Image 1,2,1,100000001,510000001234,
63,,Segment,2,3,Image 1,2,1,100000001,510000001285,
128,,Segment,2,2,Image 1,2,1,100000001,510000001296,
37,,Segment,2,1,Image 1,2,1,100000001,510000001300,
52,,Segment,2,6,Image 1,4,1,100000001,510000001323,
37,,Segment,2,4,Image 1,2,1,100000001,510000001348,
27,,Segment,2,5,Image 1,2,1,100000001,510000001359,
62,,Segment,2,4,Image 1,3,1,100000001,510000001376,
5,,Segment,2,3,Image 1,3,1,100000001,510000001384,
86,,Segment,2,3,Image 1,2,1,100000001,510000001391,
134,,Segment,2,2,Image 1,3,1,100000001,510000001398,
7,,Segment,2,0,Image 1,1,1,100000003,510000001454,
13,,Segment,2,3,Image 1,1,1,100000000,510000001538,
102,,Segment,2,2,Image 1,1,1,100000000,510000001570,
18,,Segment,2,3,Image 1,3,1,100000000,510000001615,
35,,Segment,2,2,Image 1,2,1,100000000,510000001631,
10,,Segment,2,3,Image 1,3,1,100000002,510000001639,
40,,Segment,2,2,Image 1,2,1,100000002,510000001656,
56,,Segment,2,1,Image 1,1,1,100000002,510000001681,
89,,Segment,2,0,Image 1,1,1,100000002,510000001705,
6,,Segment,2,4,Image 1,2,1,100000001,510000001775,
46,,Segment,2,3,Image 1,1,1,100000001,510000001781,
53,,Segment,2,2,Image 1,1,1,100000001,510000001788,
62,,Segment,2,1,Image 1,1,1,100000001,510000001800,
25,,Segment,2,0,Image 1,1,1,100000001,510000001815,
7,,Segment,2,1,Image 1,2,1,100000002,510000001904,
11,,Segment,2,7,Image 1,2,1,100000002,510000001945,
32,,Segment,2,6,Image 1,2,1,100000002,510000001954,
66,,Segment,2,5,Image 1,2,1,100000002,510000001975,
59,,Segment,2,4,Image 1,1,1,100000002,510000001994,
25,,Segment,2,3,Image 1,1,1,100000002,510000002055,
68,,Segment,2,2,Image 1,1,1,100000002,510000002066,
4,,Segment,2,6,Image 1,3,1,100000000,510000002088,
9,,Segment,2,5,Image 1,3,1,100000002,510000002122,
16,,Segment,2,4,Image 1,3,1,100000002,510000002139,
17,,Segment,2,3,Image 1,2,1,100000002,510000002178,
10,,Segment,2,5,Image 1,3,1,100000002,510000002238,
16,,Segment,2,7,Image 1,3,1,100000002,510000002249,
7,,Segment,2,5,Image 1,4,1,100000002,510000002262,
9,,Segment,2,5,Image 1,3,1,100000002,510000002278,
18,,Segment,2,4,Image 1,2,1,100000002,510000002305,
36,,Segment,2,6,Image 1,3,1,100000002,510000002318,
70,,Segment,2,5,Image 1,2,1,100000002,510000002337,
17,,Segment,2,3,Image 1,2,1,100000002,510000002434,
17,,Segment,2,4,Image 1,1,1,100000001,510000002492,
18,,Segment,2,6,Image 1,3,1,100000000,510000002533,
27,,Segment,2,5,Image 1,2,1,100000000,510000002548,
66,,Segment,2,4,Image 1,2,1,100000000,510000002551,
30,,Segment,2,3,Image 1,2,1,100000000,510000002577,
46,,Segment,2,2,Image 1,2,1,100000000,510000002593,
53,,Segment,2,1,Image 1,2,1,100000000,510000002605,
39,,Segment,2,5,Image 1,1,1,100000002,510000002621,
17,,Segment,2,4,Image 1,1,1,100000003,510000002663,
28,,Segment,2,5,Image 1,2,1,100000000,510000002699,
47,,Segment,2,4,Image 1,1,1,100000000,510000002727,
39,,Segment,2,5,Image 1,2,1,100000002,510000002734,
23,,Segment,2,5,Image 1,1,1,100000000,510000002784,
24,,Segment,2,3,Image 1,2,1,100000000,510000002877,
26,,Segment,2,6,Image 1,2,1,100000000,510000002886,
7,,Segment,2,5,Image 1,3,1,100000000,510000002898,
56,,Segment,2,4,Image 1,2,1,100000000,510000002904,
13,,Segment,2,3,Image 1,2,1,100000000,510000002914,
15,,Segment,2,0,Image 1,1,1,100000001,510000002963,
12,,Segment,2,5,Image 1,2,1,100000000,510000002981,
75,,Segment,2,2,Image 1,1,1,100000002,510000002999,
13,,Segment,2,4,Image 1,3,1,100000000,510000003008,
52,,Segment,2,5,Image 1,2,1,100000000,510000003027,
14,,Segment,2,1,Image 1,2,1,100000001,510000003049,
7,,Segment,2,3,Image 1,2,1,100000003,510000003081,
12,,Segment,2,4,Image 1,3,1,100000000,510000003092,
22,,Segment,2,3,Image 1,2,1,100000000,510000003097,
22,,Segment,2,5,Image 1,3,1,100000000,510000003105,
54,,Segment,2,1,Image 1,2,1,100000001,510000003141,
67,,Segment,2,0,Image 1,1,1,100000001,510000003164,
23,,Segment,2,3,Image 1,2,1,100000001,510000003176,
41,,Segment,2,0,Image 1,1,1,100000001,510000003220,
13,,Segment,2,3,Image 1,3,1,100000000,510000003254,
20,,Segment,2,2,Image 1,2,1,100000001,510000003264,
65,,Segment,2,1,Image 1,1,1,100000001,510000003273,
42,,Segment,2,2,Image 1,2,1,100000001,510000003292,
31,,Segment,2,2,Image 1,2,1,100000001,510000003300,
26,,Segment,2,3,Image 1,3,1,100000000,510000003321,
16,,Segment,2,0,Image 1,1,1,100000003,510000003364,
6,,Segment,2,2,Image 1,3,1,100000000,510000003389,
16,,Segment,2,1,Image 1,2,1,100000000,510000003412,
22,,Segment,2,2,Image 1,2,1,100000003,510000003424,
39,,Segment,2,1,Image 1,2,1,100000002,510000003439,
97,,Segment,2,0,Image 1,1,1,100000001,510000003466,
69,,Segment,2,1,Image 1,2,1,100000003,510000003474,
43,,Segment,2,0,Image 1,1,1,100000003,510000003586,
78,,Segment,2,2,Image 1,1,1,100000001,510000003627,
61,,Segment,2,4,Image 1,2,1,100000002,510000003630,
