
Spine Position X
 ==================== 
Spine Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-438.613,µm,Spine,Spine Position,2,2,1,100000000,610000003852,
-417.651,µm,Spine,Spine Position,5,3,1,100000002,610000003859,
-417.638,µm,Spine,Spine Position,5,3,1,100000002,610000003866,
-417.634,µm,Spine,Spine Position,5,3,1,100000002,610000003872,
-427.029,µm,Spine,Spine Position,1,2,1,100000002,610000003878,
-433.666,µm,Spine,Spine Position,7,5,1,100000000,610000003882,
-420.669,µm,Spine,Spine Position,2,2,1,100000002,610000003886,
-440.929,µm,Spine,Spine Position,0,1,1,100000000,610000003912,
-434.622,µm,Spine,Spine Position,5,3,1,100000000,610000003914,
-422.706,µm,Spine,Spine Position,5,3,1,100000002,610000003925,
-444.746,µm,Spine,Spine Position,3,3,1,100000000,610000003929,
-439.569,µm,Spine,Spine Position,1,1,1,100000000,610000003931,
-421.819,µm,Spine,Spine Position,1,2,1,100000002,610000003936,
-418.515,µm,Spine,Spine Position,3,2,1,100000002,610000003938,
-435.118,µm,Spine,Spine Position,2,1,1,100000001,610000003942,
-440.7,µm,Spine,Spine Position,0,1,1,100000000,610000003960,
-409.89,µm,Spine,Spine Position,0,1,1,100000003,610000003967,
-422.657,µm,Spine,Spine Position,5,3,1,100000002,610000003975,
-423.127,µm,Spine,Spine Position,5,3,1,100000002,610000003984,
-443.599,µm,Spine,Spine Position,0,1,1,100000000,610000003994,
-411.465,µm,Spine,Spine Position,4,2,1,100000003,610000003996,
-437.585,µm,Spine,Spine Position,2,3,1,100000001,610000003999,
-440.615,µm,Spine,Spine Position,0,1,1,100000000,610000004014,
-414.356,µm,Spine,Spine Position,4,1,1,100000003,610000004017,
-436.103,µm,Spine,Spine Position,4,1,1,100000000,610000004021,
-420.506,µm,Spine,Spine Position,2,2,1,100000002,610000004024,
-447.107,µm,Spine,Spine Position,3,2,1,100000000,610000004026,
-407.67,µm,Spine,Spine Position,0,1,1,100000003,610000004028,
-421.801,µm,Spine,Spine Position,1,2,1,100000002,610000004032,
-442.785,µm,Spine,Spine Position,0,1,1,100000000,610000004043,
-444.938,µm,Spine,Spine Position,4,2,1,100000001,610000004046,
-438.536,µm,Spine,Spine Position,2,2,1,100000000,610000004050,
-408.01,µm,Spine,Spine Position,0,1,1,100000003,610000004053,
-443.382,µm,Spine,Spine Position,0,1,1,100000000,610000004062,
-447.311,µm,Spine,Spine Position,3,2,1,100000000,610000004065,
-414.972,µm,Spine,Spine Position,4,1,1,100000003,610000004067,
-438.932,µm,Spine,Spine Position,0,1,1,100000001,610000004072,
-437.543,µm,Spine,Spine Position,3,3,1,100000000,610000004074,
-413.951,µm,Spine,Spine Position,5,2,1,100000002,610000004077,
-440.516,µm,Spine,Spine Position,0,1,1,100000000,610000004089,
-411.876,µm,Spine,Spine Position,0,1,1,100000003,610000004093,
-433.34,µm,Spine,Spine Position,6,3,1,100000001,610000004095,
-435.961,µm,Spine,Spine Position,2,1,1,100000001,610000004098,
-423.211,µm,Spine,Spine Position,5,3,1,100000002,610000004105,
-436.33,µm,Spine,Spine Position,2,1,1,100000001,610000004107,
-409.825,µm,Spine,Spine Position,0,1,1,100000003,610000004112,
-408.042,µm,Spine,Spine Position,0,1,1,100000003,610000004119,
-442.905,µm,Spine,Spine Position,1,2,1,100000001,610000004121,
-422.877,µm,Spine,Spine Position,0,1,1,100000002,610000004124,
-443.581,µm,Spine,Spine Position,0,1,1,100000000,610000004132,
-451.784,µm,Spine,Spine Position,3,1,1,100000000,610000004135,
-413.387,µm,Spine,Spine Position,3,1,1,100000003,610000004137,
-438.27,µm,Spine,Spine Position,0,1,1,100000001,610000004140,
-423.289,µm,Spine,Spine Position,5,3,1,100000002,610000004145,
-443.212,µm,Spine,Spine Position,0,1,1,100000000,610000004149,
-439.081,µm,Spine,Spine Position,0,1,1,100000001,610000004151,
-443.291,µm,Spine,Spine Position,0,1,1,100000000,610000004155,
-443.295,µm,Spine,Spine Position,0,1,1,100000000,610000004163,
-439.936,µm,Spine,Spine Position,0,1,1,100000000,610000004167,
