
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-2.108,1.8347,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.972,7.7001,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.836,21.4568,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.7,45.627,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.564,83.1298,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.428,129.512,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.292,188.303,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.156,263.059,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.02,343.595,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.884,434.98,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.748,542.82,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.612,652.83,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.476,773.023,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.34,908.638,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.204,1038.81,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.0680001,1167.32,µm^3,Cumulative Volume Inside,Image 1,1,,
