
Pt Time Type=Segment Branch
 ==================== 
Pt Time,Unit,Category,Depth,Time,Type,FilamentID,ID,
0,s,Point,2,1,Segment Branch,100000000,800000003,
0,s,Point,1,1,Segment Branch,100000000,800000004,
0,s,Point,0,1,Segment Branch,100000000,800000005,
0,s,Point,13,1,Segment Branch,100000000,800000009,
0,s,Point,12,1,Segment Branch,100000000,800000010,
0,s,Point,11,1,Segment Branch,100000000,800000011,
0,s,Point,10,1,Segment Branch,100000000,800000012,
0,s,Point,9,1,Segment Branch,100000000,800000013,
0,s,Point,8,1,Segment Branch,100000000,800000014,
0,s,Point,7,1,Segment Branch,100000000,800000015,
0,s,Point,6,1,Segment Branch,100000000,800000016,
0,s,Point,5,1,Segment Branch,100000000,800000017,
0,s,Point,4,1,Segment Branch,100000000,800000018,
0,s,Point,3,1,Segment Branch,100000000,800000019,
0,s,Point,2,1,Segment Branch,100000000,800000020,
0,s,Point,1,1,Segment Branch,100000000,800000021,
0,s,Point,0,1,Segment Branch,100000000,800000022,
0,s,Point,8,1,Segment Branch,100000000,800000024,
0,s,Point,7,1,Segment Branch,100000000,800000025,
0,s,Point,6,1,Segment Branch,100000000,800000026,
0,s,Point,5,1,Segment Branch,100000000,800000027,
0,s,Point,4,1,Segment Branch,100000000,800000028,
0,s,Point,3,1,Segment Branch,100000000,800000043,
0,s,Point,2,1,Segment Branch,100000000,800000044,
0,s,Point,4,1,Segment Branch,100000000,800000046,
0,s,Point,3,1,Segment Branch,100000000,800000047,
0,s,Point,0,1,Segment Branch,100000000,800000056,
0,s,Point,1,1,Segment Branch,100000000,800000058,
0,s,Point,1,1,Segment Branch,100000000,800000061,
0,s,Point,0,1,Segment Branch,100000000,800000062,
0,s,Point,1,1,Segment Branch,100000001,800000068,
0,s,Point,0,1,Segment Branch,100000001,800000069,
0,s,Point,8,1,Segment Branch,100000001,800000072,
0,s,Point,7,1,Segment Branch,100000001,800000073,
0,s,Point,6,1,Segment Branch,100000001,800000074,
0,s,Point,5,1,Segment Branch,100000001,800000075,
0,s,Point,4,1,Segment Branch,100000001,800000076,
0,s,Point,3,1,Segment Branch,100000001,800000077,
0,s,Point,2,1,Segment Branch,100000001,800000078,
0,s,Point,1,1,Segment Branch,100000001,800000079,
0,s,Point,0,1,Segment Branch,100000001,800000080,
0,s,Point,6,1,Segment Branch,100000001,800000083,
0,s,Point,1,1,Segment Branch,100000001,800000092,
0,s,Point,2,1,Segment Branch,100000001,800000094,
0,s,Point,4,1,Segment Branch,100000001,800000097,
0,s,Point,3,1,Segment Branch,100000001,800000098,
0,s,Point,2,1,Segment Branch,100000001,800000099,
0,s,Point,1,1,Segment Branch,100000001,800000100,
0,s,Point,0,1,Segment Branch,100000001,800000101,
0,s,Point,12,1,Segment Branch,100000001,800000107,
0,s,Point,11,1,Segment Branch,100000001,800000108,
0,s,Point,10,1,Segment Branch,100000001,800000109,
0,s,Point,9,1,Segment Branch,100000001,800000110,
0,s,Point,8,1,Segment Branch,100000001,800000111,
0,s,Point,7,1,Segment Branch,100000001,800000112,
0,s,Point,6,1,Segment Branch,100000001,800000113,
0,s,Point,5,1,Segment Branch,100000001,800000114,
0,s,Point,4,1,Segment Branch,100000001,800000115,
0,s,Point,3,1,Segment Branch,100000001,800000116,
0,s,Point,2,1,Segment Branch,100000001,800000117,
0,s,Point,1,1,Segment Branch,100000001,800000118,
0,s,Point,0,1,Segment Branch,100000001,800000119,
0,s,Point,3,1,Segment Branch,100000001,800000129,
0,s,Point,2,1,Segment Branch,100000001,800000130,
0,s,Point,4,1,Segment Branch,100000001,800000134,
0,s,Point,3,1,Segment Branch,100000001,800000135,
0,s,Point,2,1,Segment Branch,100000001,800000136,
0,s,Point,1,1,Segment Branch,100000001,800000137,
0,s,Point,4,1,Segment Branch,100000001,800000140,
0,s,Point,3,1,Segment Branch,100000001,800000141,
0,s,Point,2,1,Segment Branch,100000001,800000142,
0,s,Point,1,1,Segment Branch,100000001,800000144,
0,s,Point,0,1,Segment Branch,100000001,800000145,
0,s,Point,3,1,Segment Branch,100000001,800000153,
0,s,Point,2,1,Segment Branch,100000001,800000154,
0,s,Point,1,1,Segment Branch,100000001,800000160,
0,s,Point,0,1,Segment Branch,100000001,800000164,
0,s,Point,0,1,Segment Branch,100000001,800000174,
0,s,Point,0,1,Segment Branch,100000001,800000176,
