
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
836,,Segment,4,3,Image 1,2,1,100000000,510000000019,
936,,Segment,4,2,Image 1,1,1,100000000,510000000037,
4708,,Segment,4,1,Image 1,1,1,100000000,510000000099,
1822,,Segment,4,0,Image 1,1,1,100000000,510000000121,
97,,Segment,4,3,Image 1,1,1,100000000,510000000138,
313,,Segment,4,2,Image 1,2,1,100000000,510000000145,
3314,,Segment,4,2,Image 1,2,1,100000001,510000000196,
2952,,Segment,4,1,Image 1,1,1,100000001,510000000236,
1178,,Segment,4,0,Image 1,1,1,100000001,510000000256,
173,,Segment,4,2,Image 1,1,1,100000001,510000000275,
1028,,Segment,4,9,Image 1,4,1,100000001,510000000291,
2965,,Segment,4,8,Image 1,3,1,100000001,510000000317,
742,,Segment,4,7,Image 1,3,1,100000001,510000000327,
310,,Segment,4,5,Image 1,3,1,100000001,510000000335,
892,,Segment,4,4,Image 1,3,1,100000001,510000000351,
1371,,Segment,4,3,Image 1,2,1,100000001,510000000367,
3049,,Segment,4,2,Image 1,2,1,100000001,510000000415,
2619,,Segment,4,1,Image 1,2,1,100000001,510000000461,
234,,Segment,4,0,Image 1,1,1,100000001,510000000463,
1153,,Segment,4,9,Image 1,3,1,100000001,510000000491,
502,,Segment,4,7,Image 1,4,1,100000001,510000000503,
287,,Segment,4,6,Image 1,4,1,100000001,510000000508,
1009,,Segment,4,8,Image 1,4,1,100000001,510000000519,
295,,Segment,4,7,Image 1,5,1,100000001,510000000522,
158,,Segment,4,4,Image 1,2,1,100000001,510000000526,
660,,Segment,4,3,Image 1,3,1,100000001,510000000534,
534,,Segment,4,2,Image 1,3,1,100000001,510000000546,
1369,,Segment,4,2,Image 1,3,1,100000001,510000000572,
969,,Segment,4,1,Image 1,2,1,100000001,510000000587,
1171,,Segment,4,3,Image 1,2,1,100000001,510000000605,
522,,Segment,4,3,Image 1,3,1,100000001,510000000614,
800,,Segment,4,14,Image 1,2,1,100000000,510000000634,
174,,Segment,4,13,Image 1,2,1,100000000,510000000636,
1007,,Segment,4,12,Image 1,2,1,100000000,510000000649,
1424,,Segment,4,11,Image 1,2,1,100000000,510000000665,
103,,Segment,4,10,Image 1,2,1,100000000,510000000667,
1690,,Segment,4,9,Image 1,2,1,100000000,510000000695,
1431,,Segment,4,8,Image 1,1,1,100000000,510000000708,
400,,Segment,4,7,Image 1,1,1,100000000,510000000710,
979,,Segment,4,6,Image 1,1,1,100000000,510000000722,
494,,Segment,4,5,Image 1,1,1,100000000,510000000725,
1577,,Segment,4,4,Image 1,1,1,100000000,510000000738,
1686,,Segment,4,3,Image 1,1,1,100000000,510000000750,
