
Segment Intensity Mean Ch=1 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2.4058,,Segment,1,3,Image 1,2,1,100000000,510000000019,
2.43404,,Segment,1,2,Image 1,1,1,100000000,510000000037,
2.80615,,Segment,1,1,Image 1,1,1,100000000,510000000099,
1.63125,,Segment,1,0,Image 1,1,1,100000000,510000000121,
2.38554,,Segment,1,3,Image 1,1,1,100000000,510000000138,
1.84713,,Segment,1,2,Image 1,2,1,100000000,510000000145,
1.46934,,Segment,1,2,Image 1,2,1,100000001,510000000196,
1.51929,,Segment,1,1,Image 1,1,1,100000001,510000000236,
1.77299,,Segment,1,0,Image 1,1,1,100000001,510000000256,
1.22867,,Segment,1,2,Image 1,1,1,100000001,510000000275,
1.9798,,Segment,1,9,Image 1,4,1,100000001,510000000291,
1.97806,,Segment,1,8,Image 1,3,1,100000001,510000000317,
1.98128,,Segment,1,7,Image 1,3,1,100000001,510000000327,
1.66452,,Segment,1,5,Image 1,3,1,100000001,510000000335,
2.08586,,Segment,1,4,Image 1,3,1,100000001,510000000351,
2.06734,,Segment,1,3,Image 1,2,1,100000001,510000000367,
2.03412,,Segment,1,2,Image 1,2,1,100000001,510000000415,
2.31422,,Segment,1,1,Image 1,2,1,100000001,510000000461,
2.95484,,Segment,1,0,Image 1,1,1,100000001,510000000463,
16.2659,,Segment,1,9,Image 1,3,1,100000001,510000000491,
2.11556,,Segment,1,7,Image 1,4,1,100000001,510000000503,
1.89147,,Segment,1,6,Image 1,4,1,100000001,510000000508,
2.06701,,Segment,1,8,Image 1,4,1,100000001,510000000519,
2.07339,,Segment,1,7,Image 1,5,1,100000001,510000000522,
2.1358,,Segment,1,4,Image 1,2,1,100000001,510000000526,
2.00465,,Segment,1,3,Image 1,3,1,100000001,510000000534,
1.96296,,Segment,1,2,Image 1,3,1,100000001,510000000546,
3.88007,,Segment,1,2,Image 1,3,1,100000001,510000000572,
1.8652,,Segment,1,1,Image 1,2,1,100000001,510000000587,
1.78358,,Segment,1,3,Image 1,2,1,100000001,510000000605,
1.89732,,Segment,1,3,Image 1,3,1,100000001,510000000614,
2.12981,,Segment,1,14,Image 1,2,1,100000000,510000000634,
1.50769,,Segment,1,13,Image 1,2,1,100000000,510000000636,
1.8801,,Segment,1,12,Image 1,2,1,100000000,510000000649,
1.92557,,Segment,1,11,Image 1,2,1,100000000,510000000665,
1.76923,,Segment,1,10,Image 1,2,1,100000000,510000000667,
2.26431,,Segment,1,9,Image 1,2,1,100000000,510000000695,
2.11446,,Segment,1,8,Image 1,1,1,100000000,510000000708,
2.3617,,Segment,1,7,Image 1,1,1,100000000,510000000710,
2.12896,,Segment,1,6,Image 1,1,1,100000000,510000000722,
1.83544,,Segment,1,5,Image 1,1,1,100000000,510000000725,
1.77594,,Segment,1,4,Image 1,1,1,100000000,510000000738,
1.97245,,Segment,1,3,Image 1,1,1,100000000,510000000750,
2.23845,,Segment,1,2,Image 1,1,1,100000000,510000000759,
2.09584,,Segment,1,1,Image 1,1,1,100000000,510000000767,
1.98148,,Segment,1,0,Image 1,1,1,100000000,510000000812,
1.76344,,Segment,1,9,Image 1,3,1,100000000,510000000818,
1.81595,,Segment,1,8,Image 1,3,1,100000000,510000000831,
2.23333,,Segment,1,7,Image 1,2,1,100000000,510000000851,
2.35079,,Segment,1,6,Image 1,2,1,100000000,510000000858,
2.28968,,Segment,1,5,Image 1,2,1,100000000,510000000881,
1.93704,,Segment,1,4,Image 1,2,1,100000000,510000000889,
1.875,,Segment,1,9,Image 1,4,1,100000000,510000000893,
1.93162,,Segment,1,13,Image 1,3,1,100000000,510000000900,
1.5836,,Segment,1,11,Image 1,3,1,100000000,510000000918,
1.51389,,Segment,1,14,Image 1,3,1,100000000,510000000920,
1.80365,,Segment,1,12,Image 1,3,1,100000000,510000000933,
2.26316,,Segment,1,8,Image 1,2,1,100000000,510000000937,
7.12025,,Segment,1,10,Image 1,3,1,100000000,510000000942,
1.93103,,Segment,1,7,Image 1,3,1,100000000,510000000948,
2.20867,,Segment,1,7,Image 1,2,1,100000000,510000000983,
2.11765,,Segment,1,6,Image 1,3,1,100000000,510000000990,
2.41606,,Segment,1,9,Image 1,1,1,100000000,510000000992,
1.73311,,Segment,1,6,Image 1,2,1,100000000,510000001003,
2.29114,,Segment,1,8,Image 1,2,1,100000000,510000001010,
1.95349,,Segment,1,4,Image 1,4,1,100000000,510000001022,
2.67368,,Segment,1,3,Image 1,3,1,100000000,510000001025,
2.34028,,Segment,1,2,Image 1,2,1,100000000,510000001049,
1.72067,,Segment,1,5,Image 1,4,1,100000000,510000001067,
2.30317,,Segment,1,4,Image 1,3,1,100000000,510000001076,
3.14286,,Segment,1,3,Image 1,2,1,100000000,510000001079,
1.712,,Segment,1,5,Image 1,3,1,100000000,510000001084,
