
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.068,128.102,µm^3,Volume Outside,Image 1,1,,
0.204,115.35,µm^3,Volume Outside,Image 1,1,,
0.34,116.621,µm^3,Volume Outside,Image 1,1,,
0.476,107.203,µm^3,Volume Outside,Image 1,1,,
0.612,106.288,µm^3,Volume Outside,Image 1,1,,
0.748,110.024,µm^3,Volume Outside,Image 1,1,,
0.884,105.315,µm^3,Volume Outside,Image 1,1,,
1.02,105.321,µm^3,Volume Outside,Image 1,1,,
1.156,107.228,µm^3,Volume Outside,Image 1,1,,
1.292,103.398,µm^3,Volume Outside,Image 1,1,,
1.428,101.96,µm^3,Volume Outside,Image 1,1,,
1.564,101.24,µm^3,Volume Outside,Image 1,1,,
1.7,98.7908,µm^3,Volume Outside,Image 1,1,,
1.836,96.4036,µm^3,Volume Outside,Image 1,1,,
1.972,93.3239,µm^3,Volume Outside,Image 1,1,,
2.108,90.916,µm^3,Volume Outside,Image 1,1,,
2.244,89.0783,µm^3,Volume Outside,Image 1,1,,
2.38,86.7464,µm^3,Volume Outside,Image 1,1,,
2.516,84.4551,µm^3,Volume Outside,Image 1,1,,
2.652,81.9936,µm^3,Volume Outside,Image 1,1,,
2.788,79.8293,µm^3,Volume Outside,Image 1,1,,
2.924,77.5092,µm^3,Volume Outside,Image 1,1,,
3.06,75.7066,µm^3,Volume Outside,Image 1,1,,
3.196,73.6815,µm^3,Volume Outside,Image 1,1,,
3.332,71.8856,µm^3,Volume Outside,Image 1,1,,
3.468,70.9005,µm^3,Volume Outside,Image 1,1,,
3.604,69.945,µm^3,Volume Outside,Image 1,1,,
3.74,69.0823,µm^3,Volume Outside,Image 1,1,,
3.876,68.6792,µm^3,Volume Outside,Image 1,1,,
4.012,68.1728,µm^3,Volume Outside,Image 1,1,,
4.148,67.8701,µm^3,Volume Outside,Image 1,1,,
4.284,67.511,µm^3,Volume Outside,Image 1,1,,
4.42,67.1096,µm^3,Volume Outside,Image 1,1,,
4.556,67.2628,µm^3,Volume Outside,Image 1,1,,
4.692,67.4814,µm^3,Volume Outside,Image 1,1,,
4.828,67.3827,µm^3,Volume Outside,Image 1,1,,
4.964,67.2527,µm^3,Volume Outside,Image 1,1,,
5.1,67.0125,µm^3,Volume Outside,Image 1,1,,
5.236,66.7086,µm^3,Volume Outside,Image 1,1,,
5.372,67.0838,µm^3,Volume Outside,Image 1,1,,
5.508,67.4392,µm^3,Volume Outside,Image 1,1,,
5.644,67.4548,µm^3,Volume Outside,Image 1,1,,
5.78,67.3831,µm^3,Volume Outside,Image 1,1,,
5.916,67.1324,µm^3,Volume Outside,Image 1,1,,
6.052,67.6013,µm^3,Volume Outside,Image 1,1,,
6.188,67.9309,µm^3,Volume Outside,Image 1,1,,
6.324,67.9756,µm^3,Volume Outside,Image 1,1,,
6.46,67.8722,µm^3,Volume Outside,Image 1,1,,
6.596,67.6422,µm^3,Volume Outside,Image 1,1,,
6.732,68.0719,µm^3,Volume Outside,Image 1,1,,
6.868,68.5387,µm^3,Volume Outside,Image 1,1,,
7.004,68.8561,µm^3,Volume Outside,Image 1,1,,
7.14,69.057,µm^3,Volume Outside,Image 1,1,,
7.276,68.8333,µm^3,Volume Outside,Image 1,1,,
7.412,68.5235,µm^3,Volume Outside,Image 1,1,,
7.548,69.1456,µm^3,Volume Outside,Image 1,1,,
7.684,69.6888,µm^3,Volume Outside,Image 1,1,,
7.82,69.9661,µm^3,Volume Outside,Image 1,1,,
7.956,69.9973,µm^3,Volume Outside,Image 1,1,,
8.092,69.3769,µm^3,Volume Outside,Image 1,1,,
8.228,69.5103,µm^3,Volume Outside,Image 1,1,,
8.364,70.4802,µm^3,Volume Outside,Image 1,1,,
