
Spine Center Intensity StdDev Ch=3 Img=1
 ==================== 
Spine Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
22.6316,,Spine,3,0,Image 1,1,1,100000001,610000002912,
28.8409,,Spine,3,0,Image 1,1,1,100000001,610000002926,
31.7205,,Spine,3,0,Image 1,1,1,100000001,610000002929,
47.222,,Spine,3,0,Image 1,1,1,100000001,610000002946,
15.1493,,Spine,3,0,Image 1,1,1,100000001,610000002953,
37.3791,,Spine,3,2,Image 1,2,1,100000000,610000002957,
13.9226,,Spine,3,0,Image 1,1,1,100000001,610000002966,
11.4673,,Spine,3,11,Image 1,4,1,100000001,610000002969,
12.126,,Spine,3,0,Image 1,1,1,100000001,610000002973,
32.8205,,Spine,3,1,Image 1,1,1,100000001,610000002976,
41.1466,,Spine,3,1,Image 1,2,1,100000000,610000002980,
46.333,,Spine,3,5,Image 1,2,1,100000001,610000002983,
27.7769,,Spine,3,3,Image 1,1,1,100000001,610000002985,
52.4934,,Spine,3,7,Image 1,2,1,100000001,610000002987,
26.2524,,Spine,3,0,Image 1,1,1,100000001,610000002991,
23.622,,Spine,3,5,Image 1,3,1,100000001,610000002993,
36.8814,,Spine,3,2,Image 1,2,1,100000000,610000002997,
41.3461,,Spine,3,4,Image 1,1,1,100000001,610000003000,
41.5594,,Spine,3,2,Image 1,1,1,100000000,610000003003,
23.3291,,Spine,3,5,Image 1,2,1,100000001,610000003009,
38.0329,,Spine,3,2,Image 1,2,1,100000000,610000003014,
33.5095,,Spine,3,3,Image 1,3,1,100000001,610000003016,
34.0221,,Spine,3,2,Image 1,2,1,100000000,610000003019,
77.5093,,Spine,3,6,Image 1,2,1,100000001,610000003026,
54.7015,,Spine,3,2,Image 1,2,1,100000000,610000003029,
32.437,,Spine,3,1,Image 1,1,1,100000001,610000003033,
44.6811,,Spine,3,0,Image 1,1,1,100000001,610000003037,
19.5879,,Spine,3,0,Image 1,1,1,100000001,610000003042,
50.7228,,Spine,3,3,Image 1,1,1,100000001,610000003046,
24.5357,,Spine,3,1,Image 1,1,1,100000000,610000003048,
37.3452,,Spine,3,0,Image 1,1,1,100000000,610000003050,
14.3062,,Spine,3,8,Image 1,3,1,100000001,610000003053,
50.8746,,Spine,3,2,Image 1,2,1,100000001,610000003056,
15.6915,,Spine,3,0,Image 1,1,1,100000000,610000003060,
16.9967,,Spine,3,2,Image 1,2,1,100000000,610000003062,
15.1822,,Spine,3,1,Image 1,1,1,100000001,610000003065,
8.41427,,Spine,3,0,Image 1,1,1,100000001,610000003069,
24.0555,,Spine,3,2,Image 1,2,1,100000000,610000003073,
13.2749,,Spine,3,0,Image 1,1,1,100000001,610000003076,
16.0156,,Spine,3,0,Image 1,1,1,100000001,610000003082,
6.49519,,Spine,3,0,Image 1,1,1,100000001,610000003086,
7.5,,Spine,3,0,Image 1,1,1,100000001,610000003088,
13,,Spine,3,0,Image 1,1,1,100000000,610000003091,
18,,Spine,3,0,Image 1,1,1,100000000,610000003093,
6,,Spine,3,0,Image 1,1,1,100000000,610000003095,
24.0815,,Spine,3,4,Image 1,2,1,100000001,610000003100,
23.5199,,Spine,3,2,Image 1,2,1,100000000,610000003105,
17.7394,,Spine,3,0,Image 1,1,1,100000001,610000003109,
35.0526,,Spine,3,5,Image 1,2,1,100000001,610000003115,
39.37,,Spine,3,7,Image 1,3,1,100000001,610000003117,
49.6053,,Spine,3,0,Image 1,1,1,100000001,610000003120,
21.9292,,Spine,3,2,Image 1,2,1,100000000,610000003123,
57.5386,,Spine,3,3,Image 1,1,1,100000001,610000003126,
31.3723,,Spine,3,7,Image 1,4,1,100000001,610000003128,
13.1993,,Spine,3,4,Image 1,1,1,100000001,610000003131,
32.4606,,Spine,3,2,Image 1,2,1,100000000,610000003134,
18.5,,Spine,3,0,Image 1,1,1,100000001,610000003136,
4,,Spine,3,0,Image 1,1,1,100000000,610000003140,
36.4448,,Spine,3,0,Image 1,1,1,100000001,610000003142,
17.1537,,Spine,3,1,Image 1,1,1,100000001,610000003145,
16.9902,,Spine,3,2,Image 1,2,1,100000000,610000003149,
21.7919,,Spine,3,0,Image 1,1,1,100000001,610000003151,
14.2361,,Spine,3,1,Image 1,2,1,100000000,610000003155,
41.668,,Spine,3,1,Image 1,1,1,100000001,610000003157,
17.7451,,Spine,3,3,Image 1,1,1,100000001,610000003160,
17.0163,,Spine,3,0,Image 1,1,1,100000001,610000003164,
19.5,,Spine,3,0,Image 1,1,1,100000001,610000003167,
1.5,,Spine,3,0,Image 1,1,1,100000001,610000003170,
23.0988,,Spine,3,0,Image 1,1,1,100000001,610000003176,
22.9928,,Spine,3,2,Image 1,1,1,100000000,610000003178,
5.5,,Spine,3,0,Image 1,1,1,100000001,610000003182,
4.54606,,Spine,3,0,Image 1,1,1,100000000,610000003189,
5,,Spine,3,0,Image 1,1,1,100000000,610000003199,
8.5,,Spine,3,1,Image 1,1,1,100000000,610000003210,
2,,Spine,3,1,Image 1,1,1,100000000,610000003211,
2.5,,Spine,3,3,Image 1,4,1,100000000,610000003214,
37,,Spine,3,2,Image 1,2,1,100000000,610000003215,
34.5,,Spine,3,2,Image 1,2,1,100000000,610000003216,
10,,Spine,3,2,Image 1,2,1,100000000,610000003217,
6,,Spine,3,3,Image 1,3,1,100000000,610000003218,
15.5,,Spine,3,3,Image 1,2,1,100000000,610000003219,
2,,Spine,3,2,Image 1,1,1,100000000,610000003220,
27,,Spine,3,2,Image 1,2,1,100000000,610000003221,
33.5,,Spine,3,2,Image 1,2,1,100000000,610000003222,
20.5,,Spine,3,0,Image 1,1,1,100000000,610000003223,
15.5,,Spine,3,3,Image 1,4,1,100000000,610000003225,
34,,Spine,3,3,Image 1,4,1,100000000,610000003226,
6,,Spine,3,3,Image 1,3,1,100000000,610000003227,
7,,Spine,3,2,Image 1,2,1,100000000,610000003228,
21.5,,Spine,3,0,Image 1,1,1,100000000,610000003229,
3,,Spine,3,4,Image 1,3,1,100000001,610000003230,
9,,Spine,3,4,Image 1,3,1,100000001,610000003231,
14,,Spine,3,5,Image 1,2,1,100000001,610000003232,
35,,Spine,3,5,Image 1,2,1,100000001,610000003233,
14,,Spine,3,4,Image 1,3,1,100000001,610000003234,
0.5,,Spine,3,8,Image 1,4,1,100000001,610000003235,
0,,Spine,3,8,Image 1,5,1,100000001,610000003236,
2,,Spine,3,8,Image 1,5,1,100000001,610000003237,
55,,Spine,3,6,Image 1,3,1,100000001,610000003238,
3,,Spine,3,5,Image 1,2,1,100000001,610000003239,
22.5,,Spine,3,5,Image 1,3,1,100000001,610000003240,
7.5,,Spine,3,4,Image 1,2,1,100000001,610000003241,
11,,Spine,3,4,Image 1,2,1,100000001,610000003242,
1,,Spine,3,3,Image 1,1,1,100000001,610000003243,
23.5,,Spine,3,3,Image 1,1,1,100000001,610000003244,
34,,Spine,3,3,Image 1,1,1,100000001,610000003245,
5.5,,Spine,3,0,Image 1,1,1,100000001,610000003246,
40,,Spine,3,0,Image 1,1,1,100000001,610000003247,
43,,Spine,3,7,Image 1,4,1,100000001,610000003252,
0.5,,Spine,3,7,Image 1,4,1,100000001,610000003253,
14,,Spine,3,5,Image 1,2,1,100000001,610000003254,
20,,Spine,3,4,Image 1,1,1,100000001,610000003255,
51,,Spine,3,0,Image 1,1,1,100000001,610000003256,
33.5,,Spine,3,1,Image 1,1,1,100000001,610000003258,
3.5,,Spine,3,1,Image 1,2,1,100000001,610000003264,
8.5,,Spine,3,1,Image 1,2,1,100000001,610000003265,
66,,Spine,3,1,Image 1,2,1,100000001,610000003266,
62.5,,Spine,3,1,Image 1,2,1,100000001,610000003267,
46.5,,Spine,3,0,Image 1,1,1,100000001,610000003268,
9,,Spine,3,0,Image 1,1,1,100000001,610000003269,
