
Spine Center Number of Voxel Ch=4 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
5,,Spine,4,2,Image 1,1,1,100000001,610000003445,
4,,Spine,4,2,Image 1,3,1,100000001,610000003448,
3,,Spine,4,2,Image 1,3,1,100000001,610000003450,
3,,Spine,4,0,Image 1,1,1,100000002,610000003452,
3,,Spine,4,2,Image 1,1,1,100000001,610000003454,
5,,Spine,4,5,Image 1,4,1,100000001,610000003459,
3,,Spine,4,6,Image 1,4,1,100000001,610000003461,
8,,Spine,4,5,Image 1,3,1,100000001,610000003469,
4,,Spine,4,2,Image 1,2,1,100000001,610000003472,
3,,Spine,4,2,Image 1,2,1,100000002,610000003474,
4,,Spine,4,5,Image 1,4,1,100000001,610000003477,
3,,Spine,4,7,Image 1,4,1,100000001,610000003479,
3,,Spine,4,7,Image 1,5,1,100000001,610000003482,
9,,Spine,4,6,Image 1,5,1,100000000,610000003490,
5,,Spine,4,1,Image 1,1,1,100000000,610000003495,
3,,Spine,4,6,Image 1,2,1,100000001,610000003498,
3,,Spine,4,7,Image 1,3,1,100000000,610000003500,
4,,Spine,4,0,Image 1,1,1,100000002,610000003505,
3,,Spine,4,8,Image 1,6,1,100000000,610000003507,
4,,Spine,4,5,Image 1,3,1,100000001,610000003510,
3,,Spine,4,1,Image 1,2,1,100000001,610000003512,
7,,Spine,4,6,Image 1,5,1,100000000,610000003518,
3,,Spine,4,2,Image 1,2,1,100000000,610000003521,
4,,Spine,4,1,Image 1,1,1,100000001,610000003524,
3,,Spine,4,9,Image 1,5,1,100000000,610000003526,
3,,Spine,4,4,Image 1,3,1,100000001,610000003528,
5,,Spine,4,2,Image 1,2,1,100000001,610000003533,
3,,Spine,4,2,Image 1,3,1,100000001,610000003535,
3,,Spine,4,7,Image 1,3,1,100000000,610000003537,
4,,Spine,4,0,Image 1,1,1,100000001,610000003542,
4,,Spine,4,2,Image 1,2,1,100000001,610000003547,
3,,Spine,4,4,Image 1,3,1,100000001,610000003549,
5,,Spine,4,1,Image 1,1,1,100000001,610000003553,
4,,Spine,4,7,Image 1,5,1,100000000,610000003556,
3,,Spine,4,4,Image 1,3,1,100000000,610000003558,
4,,Spine,4,5,Image 1,4,1,100000000,610000003561,
4,,Spine,4,10,Image 1,4,1,100000000,610000003564,
