
Spine Intensity Mean Ch=1 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3.18644,,Spine,1,2,Image 1,1,1,100000001,610000003445,
4.98305,,Spine,1,2,Image 1,3,1,100000001,610000003448,
3.96667,,Spine,1,2,Image 1,3,1,100000001,610000003450,
2.82222,,Spine,1,0,Image 1,1,1,100000002,610000003452,
3.50909,,Spine,1,2,Image 1,1,1,100000001,610000003454,
2.75,,Spine,1,5,Image 1,4,1,100000001,610000003459,
2.46939,,Spine,1,6,Image 1,4,1,100000001,610000003461,
2.92327,,Spine,1,5,Image 1,3,1,100000001,610000003469,
2.125,,Spine,1,2,Image 1,2,1,100000001,610000003472,
3.23214,,Spine,1,2,Image 1,2,1,100000002,610000003474,
2.64384,,Spine,1,5,Image 1,4,1,100000001,610000003477,
3.23913,,Spine,1,7,Image 1,4,1,100000001,610000003479,
3.47458,,Spine,1,7,Image 1,5,1,100000001,610000003482,
3.76562,,Spine,1,6,Image 1,5,1,100000000,610000003490,
2.73939,,Spine,1,1,Image 1,1,1,100000000,610000003495,
1.95745,,Spine,1,6,Image 1,2,1,100000001,610000003498,
2.86364,,Spine,1,7,Image 1,3,1,100000000,610000003500,
2.6822,,Spine,1,0,Image 1,1,1,100000002,610000003505,
2.31034,,Spine,1,8,Image 1,6,1,100000000,610000003507,
2.7767,,Spine,1,5,Image 1,3,1,100000001,610000003510,
3.89726,,Spine,1,1,Image 1,2,1,100000001,610000003512,
4.11538,,Spine,1,6,Image 1,5,1,100000000,610000003518,
4.46552,,Spine,1,2,Image 1,2,1,100000000,610000003521,
3.88112,,Spine,1,1,Image 1,1,1,100000001,610000003524,
4,,Spine,1,9,Image 1,5,1,100000000,610000003526,
3.90385,,Spine,1,4,Image 1,3,1,100000001,610000003528,
2.10284,,Spine,1,2,Image 1,2,1,100000001,610000003533,
3.13846,,Spine,1,2,Image 1,3,1,100000001,610000003535,
2.86982,,Spine,1,7,Image 1,3,1,100000000,610000003537,
2.67587,,Spine,1,0,Image 1,1,1,100000001,610000003542,
1.95896,,Spine,1,2,Image 1,2,1,100000001,610000003547,
4.05385,,Spine,1,4,Image 1,3,1,100000001,610000003549,
3.88172,,Spine,1,1,Image 1,1,1,100000001,610000003553,
4,,Spine,1,7,Image 1,5,1,100000000,610000003556,
3.01754,,Spine,1,4,Image 1,3,1,100000000,610000003558,
3.92523,,Spine,1,5,Image 1,4,1,100000000,610000003561,
3.77019,,Spine,1,10,Image 1,4,1,100000000,610000003564,
3.44118,,Spine,1,2,Image 1,2,1,100000001,610000003570,
5.27273,,Spine,1,2,Image 1,1,1,100000000,610000003572,
4.46226,,Spine,1,1,Image 1,2,1,100000001,610000003574,
3.34783,,Spine,1,5,Image 1,4,1,100000001,610000003576,
2.80769,,Spine,1,5,Image 1,3,1,100000001,610000003582,
2.54921,,Spine,1,0,Image 1,1,1,100000001,610000003584,
1.98066,,Spine,1,2,Image 1,2,1,100000001,610000003587,
2.83516,,Spine,1,1,Image 1,1,1,100000000,610000003590,
3.26506,,Spine,1,2,Image 1,3,1,100000001,610000003592,
2.13208,,Spine,1,2,Image 1,2,1,100000001,610000003594,
2.19608,,Spine,1,2,Image 1,2,1,100000001,610000003596,
3.76923,,Spine,1,1,Image 1,1,1,100000001,610000003599,
1.8169,,Spine,1,3,Image 1,2,1,100000000,610000003601,
3.89944,,Spine,1,5,Image 1,4,1,100000000,610000003603,
6.63194,,Spine,1,6,Image 1,4,1,100000000,610000003605,
2.62048,,Spine,1,2,Image 1,2,1,100000001,610000003610,
3.17241,,Spine,1,2,Image 1,2,1,100000001,610000003612,
2.69298,,Spine,1,0,Image 1,1,1,100000002,610000003614,
4.53659,,Spine,1,6,Image 1,5,1,100000000,610000003617,
2.34694,,Spine,1,0,Image 1,1,1,100000001,610000003619,
2.77973,,Spine,1,0,Image 1,1,1,100000001,610000003622,
4.46875,,Spine,1,6,Image 1,5,1,100000000,610000003624,
2.14797,,Spine,1,2,Image 1,2,1,100000001,610000003626,
2.5878,,Spine,1,0,Image 1,1,1,100000001,610000003628,
3.42857,,Spine,1,0,Image 1,1,1,100000001,610000003632,
3.96377,,Spine,1,0,Image 1,1,1,100000001,610000003634,
2.11538,,Spine,1,2,Image 1,2,1,100000001,610000003637,
2.625,,Spine,1,7,Image 1,4,1,100000001,610000003642,
2.85766,,Spine,1,2,Image 1,2,1,100000001,610000003647,
2.53488,,Spine,1,0,Image 1,1,1,100000001,610000003651,
4.76087,,Spine,1,2,Image 1,1,1,100000000,610000003654,
2.10088,,Spine,1,2,Image 1,2,1,100000001,610000003658,
2.69828,,Spine,1,2,Image 1,2,1,100000001,610000003660,
4.58571,,Spine,1,2,Image 1,1,1,100000000,610000003664,
3.44163,,Spine,1,0,Image 1,1,1,100000002,610000003667,
2.22293,,Spine,1,2,Image 1,2,1,100000001,610000003669,
2.46552,,Spine,1,0,Image 1,1,1,100000000,610000003676,
2.6619,,Spine,1,1,Image 1,2,1,100000001,610000003680,
4.08649,,Spine,1,1,Image 1,1,1,100000001,610000003685,
4.664,,Spine,1,2,Image 1,1,1,100000000,610000003687,
3.14232,,Spine,1,10,Image 1,4,1,100000000,610000003706,
2.85517,,Spine,1,9,Image 1,4,1,100000000,610000003707,
3.425,,Spine,1,9,Image 1,5,1,100000000,610000003708,
