
Spine Number of Voxel Ch=2 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
59,,Spine,2,2,Image 1,1,1,100000001,610000003445,
59,,Spine,2,2,Image 1,3,1,100000001,610000003448,
90,,Spine,2,2,Image 1,3,1,100000001,610000003450,
45,,Spine,2,0,Image 1,1,1,100000002,610000003452,
55,,Spine,2,2,Image 1,1,1,100000001,610000003454,
76,,Spine,2,5,Image 1,4,1,100000001,610000003459,
49,,Spine,2,6,Image 1,4,1,100000001,610000003461,
391,,Spine,2,5,Image 1,3,1,100000001,610000003469,
128,,Spine,2,2,Image 1,2,1,100000001,610000003472,
56,,Spine,2,2,Image 1,2,1,100000002,610000003474,
73,,Spine,2,5,Image 1,4,1,100000001,610000003477,
46,,Spine,2,7,Image 1,4,1,100000001,610000003479,
59,,Spine,2,7,Image 1,5,1,100000001,610000003482,
64,,Spine,2,6,Image 1,5,1,100000000,610000003490,
165,,Spine,2,1,Image 1,1,1,100000000,610000003495,
47,,Spine,2,6,Image 1,2,1,100000001,610000003498,
154,,Spine,2,7,Image 1,3,1,100000000,610000003500,
236,,Spine,2,0,Image 1,1,1,100000002,610000003505,
58,,Spine,2,8,Image 1,6,1,100000000,610000003507,
206,,Spine,2,5,Image 1,3,1,100000001,610000003510,
146,,Spine,2,1,Image 1,2,1,100000001,610000003512,
52,,Spine,2,6,Image 1,5,1,100000000,610000003518,
58,,Spine,2,2,Image 1,2,1,100000000,610000003521,
143,,Spine,2,1,Image 1,1,1,100000001,610000003524,
63,,Spine,2,9,Image 1,5,1,100000000,610000003526,
104,,Spine,2,4,Image 1,3,1,100000001,610000003528,
282,,Spine,2,2,Image 1,2,1,100000001,610000003533,
65,,Spine,2,2,Image 1,3,1,100000001,610000003535,
169,,Spine,2,7,Image 1,3,1,100000000,610000003537,
543,,Spine,2,0,Image 1,1,1,100000001,610000003542,
268,,Spine,2,2,Image 1,2,1,100000001,610000003547,
130,,Spine,2,4,Image 1,3,1,100000001,610000003549,
186,,Spine,2,1,Image 1,1,1,100000001,610000003553,
115,,Spine,2,7,Image 1,5,1,100000000,610000003556,
114,,Spine,2,4,Image 1,3,1,100000000,610000003558,
214,,Spine,2,5,Image 1,4,1,100000000,610000003561,
161,,Spine,2,10,Image 1,4,1,100000000,610000003564,
34,,Spine,2,2,Image 1,2,1,100000001,610000003570,
319,,Spine,2,2,Image 1,1,1,100000000,610000003572,
106,,Spine,2,1,Image 1,2,1,100000001,610000003574,
69,,Spine,2,5,Image 1,4,1,100000001,610000003576,
364,,Spine,2,5,Image 1,3,1,100000001,610000003582,
508,,Spine,2,0,Image 1,1,1,100000001,610000003584,
362,,Spine,2,2,Image 1,2,1,100000001,610000003587,
182,,Spine,2,1,Image 1,1,1,100000000,610000003590,
83,,Spine,2,2,Image 1,3,1,100000001,610000003592,
265,,Spine,2,2,Image 1,2,1,100000001,610000003594,
255,,Spine,2,2,Image 1,2,1,100000001,610000003596,
169,,Spine,2,1,Image 1,1,1,100000001,610000003599,
71,,Spine,2,3,Image 1,2,1,100000000,610000003601,
179,,Spine,2,5,Image 1,4,1,100000000,610000003603,
144,,Spine,2,6,Image 1,4,1,100000000,610000003605,
332,,Spine,2,2,Image 1,2,1,100000001,610000003610,
29,,Spine,2,2,Image 1,2,1,100000001,610000003612,
114,,Spine,2,0,Image 1,1,1,100000002,610000003614,
41,,Spine,2,6,Image 1,5,1,100000000,610000003617,
343,,Spine,2,0,Image 1,1,1,100000001,610000003619,
513,,Spine,2,0,Image 1,1,1,100000001,610000003622,
32,,Spine,2,6,Image 1,5,1,100000000,610000003624,
642,,Spine,2,2,Image 1,2,1,100000001,610000003626,
410,,Spine,2,0,Image 1,1,1,100000001,610000003628,
126,,Spine,2,0,Image 1,1,1,100000001,610000003632,
138,,Spine,2,0,Image 1,1,1,100000001,610000003634,
208,,Spine,2,2,Image 1,2,1,100000001,610000003637,
144,,Spine,2,7,Image 1,4,1,100000001,610000003642,
274,,Spine,2,2,Image 1,2,1,100000001,610000003647,
473,,Spine,2,0,Image 1,1,1,100000001,610000003651,
92,,Spine,2,2,Image 1,1,1,100000000,610000003654,
228,,Spine,2,2,Image 1,2,1,100000001,610000003658,
116,,Spine,2,2,Image 1,2,1,100000001,610000003660,
70,,Spine,2,2,Image 1,1,1,100000000,610000003664,
514,,Spine,2,0,Image 1,1,1,100000002,610000003667,
157,,Spine,2,2,Image 1,2,1,100000001,610000003669,
406,,Spine,2,0,Image 1,1,1,100000000,610000003676,
210,,Spine,2,1,Image 1,2,1,100000001,610000003680,
185,,Spine,2,1,Image 1,1,1,100000001,610000003685,
125,,Spine,2,2,Image 1,1,1,100000000,610000003687,
267,,Spine,2,10,Image 1,4,1,100000000,610000003706,
145,,Spine,2,9,Image 1,4,1,100000000,610000003707,
40,,Spine,2,9,Image 1,5,1,100000000,610000003708,
62,,Spine,2,6,Image 1,4,1,100000000,610000003709,
152,,Spine,2,5,Image 1,4,1,100000000,610000003710,
133,,Spine,2,5,Image 1,4,1,100000000,610000003711,
152,,Spine,2,5,Image 1,4,1,100000000,610000003712,
206,,Spine,2,5,Image 1,4,1,100000000,610000003713,
65,,Spine,2,3,Image 1,2,1,100000000,610000003714,
63,,Spine,2,3,Image 1,2,1,100000000,610000003715,
30,,Spine,2,1,Image 1,2,1,100000000,610000003716,
50,,Spine,2,2,Image 1,2,1,100000000,610000003717,
243,,Spine,2,4,Image 1,3,1,100000000,610000003718,
109,,Spine,2,6,Image 1,4,1,100000001,610000003719,
109,,Spine,2,7,Image 1,4,1,100000001,610000003720,
30,,Spine,2,6,Image 1,3,1,100000001,610000003721,
324,,Spine,2,5,Image 1,3,1,100000001,610000003722,
213,,Spine,2,5,Image 1,3,1,100000001,610000003723,
129,,Spine,2,4,Image 1,3,1,100000001,610000003724,
38,,Spine,2,2,Image 1,3,1,100000001,610000003725,
160,,Spine,2,1,Image 1,2,1,100000001,610000003726,
15,,Spine,2,6,Image 1,4,1,100000001,610000003732,
23,,Spine,2,6,Image 1,4,1,100000001,610000003733,
73,,Spine,2,6,Image 1,2,1,100000001,610000003734,
77,,Spine,2,4,Image 1,2,1,100000001,610000003735,
84,,Spine,2,4,Image 1,3,1,100000001,610000003736,
106,,Spine,2,4,Image 1,4,1,100000001,610000003737,
92,,Spine,2,4,Image 1,3,1,100000001,610000003738,
175,,Spine,2,4,Image 1,3,1,100000001,610000003739,
180,,Spine,2,4,Image 1,3,1,100000001,610000003740,
142,,Spine,2,3,Image 1,3,1,100000001,610000003741,
122,,Spine,2,3,Image 1,3,1,100000001,610000003742,
41,,Spine,2,7,Image 1,4,1,100000001,610000003743,
44,,Spine,2,7,Image 1,4,1,100000001,610000003744,
169,,Spine,2,7,Image 1,3,1,100000001,610000003745,
69,,Spine,2,7,Image 1,2,1,100000001,610000003746,
52,,Spine,2,1,Image 1,2,1,100000001,610000003749,
89,,Spine,2,0,Image 1,1,1,100000001,610000003750,
77,,Spine,2,3,Image 1,3,1,100000001,610000003751,
19,,Spine,2,2,Image 1,2,1,100000001,610000003752,
44,,Spine,2,2,Image 1,2,1,100000001,610000003753,
32,,Spine,2,7,Image 1,3,1,100000001,610000003757,
52,,Spine,2,2,Image 1,1,1,100000001,610000003758,
154,,Spine,2,1,Image 1,1,1,100000001,610000003759,
46,,Spine,2,3,Image 1,2,1,100000001,610000003760,
78,,Spine,2,1,Image 1,2,1,100000001,610000003761,
85,,Spine,2,1,Image 1,1,1,100000001,610000003762,
124,,Spine,2,1,Image 1,1,1,100000001,610000003763,
35,,Spine,2,3,Image 1,2,1,100000002,610000003764,
26,,Spine,2,2,Image 1,2,1,100000002,610000003765,
64,,Spine,2,0,Image 1,1,1,100000002,610000003766,
65,,Spine,2,3,Image 1,2,1,100000002,610000003767,
76,,Spine,2,3,Image 1,2,1,100000002,610000003768,
357,,Spine,2,0,Image 1,1,1,100000002,610000003769,
