
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.217668,0.1625,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000003452,
0.200586,0.563764,0.316735,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000003505,
0.639677,0.318863,0.59226,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003542,
0.581478,0.491498,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003584,
0.349313,0.433881,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000003614,
0.476605,0.182812,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003619,
0.545207,0.563441,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003622,
0.55124,0.502609,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003628,
0.344607,0.182812,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003632,
0.335739,0.261939,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003634,
0.539272,0.614859,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003651,
0.666645,0.73125,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000003667,
0.554337,0.332007,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003676,
0.323246,0.285433,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003750,
0.248377,0.187085,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000003766,
0.540586,0.56875,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000003769,
0.364207,0.203125,0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000003495,
0.340651,0.1625,0.1625,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003524,
0.469017,0.361499,0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003553,
0.424993,0.352336,0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000003590,
0.46331,0.301266,0.400537,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003599,
0.477362,0.452327,0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003685,
0.413946,0.43011,0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003759,
0.342214,0.210136,0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003762,
0.402922,0.331551,0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003763,
0.389808,0.182381,0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000003512,
0.329664,0.1625,0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000003574,
0.4361,0.264831,0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000003680,
0.207252,0.1625,0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000003716,
0.350018,0.225977,0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000003726,
0.234635,0.1625,0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000003749,
0.256991,0.182812,0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000003761,
0.342066,0.171638,0.195252,µm,Spine,Spine Part Mean Diameter,10,4,1,100000000,610000003564,
0.486164,0.498904,0,µm,Spine,Spine Part Mean Diameter,10,4,1,100000000,610000003706,
0.201852,0.1625,0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000003445,
0.234623,0.1625,0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000003454,
0.497344,0.1625,0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003572,
0.389413,0.1625,0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003654,
0.325,0.346285,0.325,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003664,
0.393495,0.371622,0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003687,
0.239549,0.178531,0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000003758,
0.334946,0.181766,0.21456,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000003472,
0.229821,0.205702,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000003474,
0.285943,0.226656,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003521,
0.189489,0.202811,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000003570,
0.183299,0.201869,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000003612,
0.283082,0.294531,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003717,
0.1625,0.1625,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000003752,
0.242308,0.238492,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000003753,
0.170937,0.1625,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000003765,
0.215987,0.172279,0.20463,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000003448,
0.24375,0.24375,0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000003450,
0.274686,0.168675,0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000003535,
0.316185,0.1625,0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000003592,
0.203125,0.1625,0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000003725,
0.339448,0.466626,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003533,
0.447022,0.477344,0.433707,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003547,
0.479711,0.33488,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003587,
0.430059,0.284103,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003594,
0.519724,0.489189,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003596,
0.246544,0.218124,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003601,
