
Spine Attachment Pt Branching Angle
 ==================== 
Spine Attachment Pt Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
61.4211,°,Spine,9,6,1,100000000,610000007214,
86.4571,°,Spine,6,6,1,100000003,610000007229,
80.8054,°,Spine,6,2,1,100000002,610000007238,
80.7769,°,Spine,16,8,1,100000000,610000007266,
85.0749,°,Spine,3,2,1,100000002,610000007277,
82.0071,°,Spine,4,2,1,100000002,610000007293,
91.1793,°,Spine,10,6,1,100000000,610000007305,
99.2877,°,Spine,11,3,1,100000001,610000007318,
88.4477,°,Spine,2,2,1,100000003,610000007349,
88.0554,°,Spine,5,2,1,100000002,610000007354,
81.6946,°,Spine,4,2,1,100000002,610000007361,
87.7348,°,Spine,2,3,1,100000001,610000007387,
81.6683,°,Spine,4,3,1,100000003,610000007398,
79.9094,°,Spine,8,5,1,100000000,610000007452,
86.7462,°,Spine,5,3,1,100000002,610000007458,
95.6064,°,Spine,12,7,1,100000000,610000007484,
90.9184,°,Spine,2,3,1,100000001,610000007503,
98.1032,°,Spine,5,4,1,100000001,610000007519,
67.5604,°,Spine,3,3,1,100000002,610000007522,
86.3545,°,Spine,5,4,1,100000001,610000007525,
86.1857,°,Spine,0,1,1,100000003,610000007534,
87.1786,°,Spine,3,3,1,100000001,610000007538,
79.3906,°,Spine,10,6,1,100000000,610000007556,
83.8351,°,Spine,1,1,1,100000000,610000007579,
87.9901,°,Spine,8,3,1,100000003,610000007585,
74.6974,°,Spine,16,6,1,100000001,610000007619,
89.6052,°,Spine,0,1,1,100000003,610000007629,
84.2613,°,Spine,5,2,1,100000002,610000007634,
87.301,°,Spine,2,2,1,100000000,610000007644,
89.6028,°,Spine,3,1,1,100000002,610000007650,
74.9182,°,Spine,4,2,1,100000000,610000007659,
78.1735,°,Spine,15,7,1,100000000,610000007664,
89.9225,°,Spine,1,1,1,100000003,610000007681,
72.0593,°,Spine,16,7,1,100000000,610000007690,
86.5632,°,Spine,17,7,1,100000000,610000007707,
88.4225,°,Spine,17,9,1,100000000,610000007749,
68.9703,°,Spine,1,2,1,100000003,610000007761,
71.4962,°,Spine,5,2,1,100000003,610000007768,
82.4199,°,Spine,24,10,1,100000000,610000007822,
74.4535,°,Spine,21,9,1,100000000,610000007823,
97.9953,°,Spine,21,9,1,100000000,610000007824,
83.7818,°,Spine,20,8,1,100000000,610000007825,
71.4859,°,Spine,20,8,1,100000000,610000007826,
76.5955,°,Spine,23,8,1,100000000,610000007827,
91.3794,°,Spine,19,9,1,100000000,610000007829,
23.4507,°,Spine,15,8,1,100000000,610000007830,
58.1081,°,Spine,15,8,1,100000000,610000007831,
108.846,°,Spine,12,5,1,100000000,610000007832,
130.306,°,Spine,12,4,1,100000000,610000007833,
79.8677,°,Spine,15,6,1,100000000,610000007834,
61.6193,°,Spine,12,5,1,100000000,610000007838,
91.0537,°,Spine,12,5,1,100000000,610000007839,
94.1732,°,Spine,12,5,1,100000000,610000007840,
61.7705,°,Spine,12,7,1,100000000,610000007841,
76.0954,°,Spine,12,6,1,100000000,610000007842,
82.0878,°,Spine,8,4,1,100000000,610000007848,
93.7756,°,Spine,12,6,1,100000000,610000007850,
84.6192,°,Spine,9,6,1,100000000,610000007851,
62.1692,°,Spine,8,5,1,100000000,610000007852,
48.5221,°,Spine,7,4,1,100000000,610000007853,
103.456,°,Spine,11,6,1,100000000,610000007854,
83.293,°,Spine,8,4,1,100000000,610000007855,
83.1328,°,Spine,8,4,1,100000000,610000007856,
46.2331,°,Spine,9,6,1,100000000,610000007857,
89.364,°,Spine,6,4,1,100000000,610000007858,
58.477,°,Spine,3,2,1,100000000,610000007859,
93.3526,°,Spine,3,2,1,100000000,610000007860,
51.4711,°,Spine,2,2,1,100000000,610000007861,
78.1001,°,Spine,3,1,1,100000000,610000007862,
104.216,°,Spine,3,1,1,100000000,610000007863,
93.7393,°,Spine,0,1,1,100000000,610000007866,
74.7953,°,Spine,21,7,1,100000001,610000007870,
55.3235,°,Spine,20,6,1,100000001,610000007871,
73.8305,°,Spine,20,6,1,100000001,610000007872,
101.743,°,Spine,17,6,1,100000001,610000007873,
73.6669,°,Spine,11,5,1,100000001,610000007877,
76.1102,°,Spine,3,3,1,100000001,610000007878,
97.51,°,Spine,3,4,1,100000001,610000007879,
85.9688,°,Spine,2,3,1,100000001,610000007881,
84.505,°,Spine,3,2,1,100000002,610000007885,
75.6156,°,Spine,0,1,1,100000002,610000007886,
90.2016,°,Spine,5,2,1,100000002,610000007887,
49.5225,°,Spine,1,2,1,100000002,610000007888,
58.3889,°,Spine,3,1,1,100000002,610000007891,
78.4784,°,Spine,3,2,1,100000002,610000007894,
83.8263,°,Spine,0,1,1,100000002,610000007895,
82.5887,°,Spine,2,3,1,100000003,610000007897,
68.7972,°,Spine,5,4,1,100000003,610000007905,
112.69,°,Spine,9,5,1,100000003,610000007906,
71.8267,°,Spine,0,1,1,100000003,610000007907,
80.8828,°,Spine,0,1,1,100000003,610000007909,
96.9788,°,Spine,7,3,1,100000003,610000007912,
50.9501,°,Spine,4,3,1,100000003,610000007913,
103.623,°,Spine,8,4,1,100000003,610000007915,
82.2521,°,Spine,7,3,1,100000003,610000007916,
58.7861,°,Spine,4,2,1,100000003,610000007918,
