
Spine Center Intensity Max Ch=2 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6,,Spine,2,9,Image 1,6,1,100000000,610000007214,
9,,Spine,2,6,Image 1,6,1,100000003,610000007229,
8,,Spine,2,6,Image 1,2,1,100000002,610000007238,
9,,Spine,2,4,Image 1,4,1,100000001,610000007254,
5,,Spine,2,16,Image 1,8,1,100000000,610000007266,
8,,Spine,2,3,Image 1,2,1,100000002,610000007277,
11,,Spine,2,4,Image 1,2,1,100000002,610000007293,
10,,Spine,2,10,Image 1,6,1,100000000,610000007305,
152,,Spine,2,11,Image 1,3,1,100000001,610000007318,
9,,Spine,2,1,Image 1,2,1,100000002,610000007327,
9,,Spine,2,1,Image 1,2,1,100000002,610000007336,
5,,Spine,2,4,Image 1,4,1,100000001,610000007342,
6,,Spine,2,2,Image 1,2,1,100000003,610000007349,
6,,Spine,2,5,Image 1,2,1,100000002,610000007354,
5,,Spine,2,4,Image 1,2,1,100000002,610000007361,
8,,Spine,2,1,Image 1,1,1,100000003,610000007379,
5,,Spine,2,2,Image 1,3,1,100000001,610000007387,
5,,Spine,2,3,Image 1,2,1,100000000,610000007393,
4,,Spine,2,4,Image 1,3,1,100000003,610000007398,
6,,Spine,2,5,Image 1,2,1,100000002,610000007406,
5,,Spine,2,5,Image 1,2,1,100000002,610000007413,
6,,Spine,2,1,Image 1,1,1,100000003,610000007421,
6,,Spine,2,1,Image 1,1,1,100000003,610000007429,
6,,Spine,2,1,Image 1,1,1,100000003,610000007435,
13,,Spine,2,3,Image 1,4,1,100000001,610000007442,
13,,Spine,2,3,Image 1,4,1,100000001,610000007448,
7,,Spine,2,8,Image 1,5,1,100000000,610000007452,
17,,Spine,2,12,Image 1,6,1,100000000,610000007455,
6,,Spine,2,5,Image 1,3,1,100000002,610000007458,
40,,Spine,2,1,Image 1,2,1,100000002,610000007469,
40,,Spine,2,1,Image 1,2,1,100000002,610000007474,
7,,Spine,2,23,Image 1,8,1,100000000,610000007481,
9,,Spine,2,12,Image 1,7,1,100000000,610000007484,
5,,Spine,2,1,Image 1,1,1,100000003,610000007488,
6,,Spine,2,1,Image 1,1,1,100000003,610000007491,
12,,Spine,2,3,Image 1,3,1,100000002,610000007495,
11,,Spine,2,3,Image 1,3,1,100000002,610000007499,
4,,Spine,2,2,Image 1,3,1,100000001,610000007503,
4,,Spine,2,4,Image 1,2,1,100000000,610000007508,
4,,Spine,2,4,Image 1,2,1,100000000,610000007513,
4,,Spine,2,4,Image 1,2,1,100000000,610000007517,
5,,Spine,2,5,Image 1,4,1,100000001,610000007519,
117,,Spine,2,3,Image 1,3,1,100000002,610000007522,
131,,Spine,2,5,Image 1,4,1,100000001,610000007525,
3,,Spine,2,3,Image 1,2,1,100000000,610000007527,
4,,Spine,2,0,Image 1,1,1,100000003,610000007534,
30,,Spine,2,3,Image 1,3,1,100000001,610000007538,
5,,Spine,2,0,Image 1,1,1,100000003,610000007545,
4,,Spine,2,0,Image 1,1,1,100000000,610000007554,
118,,Spine,2,10,Image 1,6,1,100000000,610000007556,
4,,Spine,2,2,Image 1,1,1,100000003,610000007558,
9,,Spine,2,0,Image 1,1,1,100000000,610000007569,
3,,Spine,2,1,Image 1,2,1,100000002,610000007575,
6,,Spine,2,1,Image 1,1,1,100000000,610000007579,
2,,Spine,2,7,Image 1,4,1,100000003,610000007583,
8,,Spine,2,8,Image 1,3,1,100000003,610000007585,
9,,Spine,2,0,Image 1,1,1,100000000,610000007594,
7,,Spine,2,6,Image 1,1,1,100000002,610000007597,
4,,Spine,2,0,Image 1,1,1,100000003,610000007603,
4,,Spine,2,3,Image 1,4,1,100000001,610000007606,
2,,Spine,2,0,Image 1,1,1,100000003,610000007610,
5,,Spine,2,0,Image 1,1,1,100000000,610000007617,
2,,Spine,2,16,Image 1,6,1,100000001,610000007619,
9,,Spine,2,0,Image 1,1,1,100000000,610000007627,
1,,Spine,2,0,Image 1,1,1,100000003,610000007629,
5,,Spine,2,7,Image 1,2,1,100000003,610000007631,
6,,Spine,2,5,Image 1,2,1,100000002,610000007634,
9,,Spine,2,4,Image 1,3,1,100000003,610000007637,
9,,Spine,2,4,Image 1,1,1,100000002,610000007640,
5,,Spine,2,2,Image 1,2,1,100000000,610000007644,
3,,Spine,2,0,Image 1,1,1,100000003,610000007648,
4,,Spine,2,3,Image 1,1,1,100000002,610000007650,
8,,Spine,2,2,Image 1,1,1,100000002,610000007657,
4,,Spine,2,4,Image 1,2,1,100000000,610000007659,
3,,Spine,2,5,Image 1,2,1,100000003,610000007662,
5,,Spine,2,15,Image 1,7,1,100000000,610000007664,
8,,Spine,2,0,Image 1,1,1,100000000,610000007668,
3,,Spine,2,1,Image 1,2,1,100000002,610000007670,
2,,Spine,2,0,Image 1,1,1,100000003,610000007674,
5,,Spine,2,0,Image 1,1,1,100000000,610000007677,
5,,Spine,2,1,Image 1,1,1,100000003,610000007681,
19,,Spine,2,1,Image 1,2,1,100000002,610000007688,
2,,Spine,2,16,Image 1,7,1,100000000,610000007690,
3,,Spine,2,0,Image 1,1,1,100000000,610000007694,
2,,Spine,2,0,Image 1,1,1,100000000,610000007698,
6,,Spine,2,14,Image 1,6,1,100000000,610000007701,
5,,Spine,2,17,Image 1,7,1,100000000,610000007707,
3,,Spine,2,0,Image 1,1,1,100000000,610000007713,
2,,Spine,2,4,Image 1,4,1,100000001,610000007715,
5,,Spine,2,0,Image 1,1,1,100000000,610000007721,
4,,Spine,2,0,Image 1,1,1,100000000,610000007725,
4,,Spine,2,0,Image 1,1,1,100000000,610000007730,
1,,Spine,2,0,Image 1,1,1,100000000,610000007734,
7,,Spine,2,9,Image 1,5,1,100000000,610000007742,
5,,Spine,2,0,Image 1,1,1,100000000,610000007747,
6,,Spine,2,17,Image 1,9,1,100000000,610000007749,
5,,Spine,2,0,Image 1,1,1,100000000,610000007751,
4,,Spine,2,1,Image 1,2,1,100000002,610000007754,
10,,Spine,2,2,Image 1,2,1,100000002,610000007759,
4,,Spine,2,1,Image 1,2,1,100000003,610000007761,
4,,Spine,2,0,Image 1,1,1,100000000,610000007765,
3,,Spine,2,5,Image 1,2,1,100000003,610000007768,
4,,Spine,2,0,Image 1,1,1,100000000,610000007782,
2,,Spine,2,0,Image 1,1,1,100000003,610000007797,
7,,Spine,2,24,Image 1,10,1,100000000,610000007822,
9,,Spine,2,21,Image 1,9,1,100000000,610000007823,
4,,Spine,2,21,Image 1,9,1,100000000,610000007824,
3,,Spine,2,20,Image 1,8,1,100000000,610000007825,
8,,Spine,2,20,Image 1,8,1,100000000,610000007826,
3,,Spine,2,23,Image 1,8,1,100000000,610000007827,
2,,Spine,2,23,Image 1,8,1,100000000,610000007828,
74,,Spine,2,19,Image 1,9,1,100000000,610000007829,
8,,Spine,2,15,Image 1,8,1,100000000,610000007830,
8,,Spine,2,15,Image 1,8,1,100000000,610000007831,
8,,Spine,2,12,Image 1,5,1,100000000,610000007832,
6,,Spine,2,12,Image 1,4,1,100000000,610000007833,
84,,Spine,2,15,Image 1,6,1,100000000,610000007834,
3,,Spine,2,15,Image 1,6,1,100000000,610000007835,
3,,Spine,2,15,Image 1,6,1,100000000,610000007836,
3,,Spine,2,14,Image 1,6,1,100000000,610000007837,
4,,Spine,2,12,Image 1,5,1,100000000,610000007838,
3,,Spine,2,12,Image 1,5,1,100000000,610000007839,
8,,Spine,2,12,Image 1,5,1,100000000,610000007840,
3,,Spine,2,12,Image 1,7,1,100000000,610000007841,
4,,Spine,2,12,Image 1,6,1,100000000,610000007842,
8,,Spine,2,10,Image 1,5,1,100000000,610000007843,
12,,Spine,2,10,Image 1,5,1,100000000,610000007844,
5,,Spine,2,10,Image 1,5,1,100000000,610000007845,
5,,Spine,2,9,Image 1,5,1,100000000,610000007846,
5,,Spine,2,9,Image 1,5,1,100000000,610000007847,
6,,Spine,2,8,Image 1,4,1,100000000,610000007848,
22,,Spine,2,12,Image 1,6,1,100000000,610000007849,
19,,Spine,2,12,Image 1,6,1,100000000,610000007850,
5,,Spine,2,9,Image 1,6,1,100000000,610000007851,
16,,Spine,2,8,Image 1,5,1,100000000,610000007852,
177,,Spine,2,7,Image 1,4,1,100000000,610000007853,
5,,Spine,2,11,Image 1,6,1,100000000,610000007854,
7,,Spine,2,8,Image 1,4,1,100000000,610000007855,
7,,Spine,2,8,Image 1,4,1,100000000,610000007856,
4,,Spine,2,9,Image 1,6,1,100000000,610000007857,
4,,Spine,2,6,Image 1,4,1,100000000,610000007858,
5,,Spine,2,3,Image 1,2,1,100000000,610000007859,
3,,Spine,2,3,Image 1,2,1,100000000,610000007860,
3,,Spine,2,2,Image 1,2,1,100000000,610000007861,
3,,Spine,2,3,Image 1,1,1,100000000,610000007862,
4,,Spine,2,3,Image 1,1,1,100000000,610000007863,
163,,Spine,2,0,Image 1,1,1,100000000,610000007866,
6,,Spine,2,21,Image 1,7,1,100000001,610000007870,
4,,Spine,2,20,Image 1,6,1,100000001,610000007871,
3,,Spine,2,20,Image 1,6,1,100000001,610000007872,
4,,Spine,2,17,Image 1,6,1,100000001,610000007873,
4,,Spine,2,11,Image 1,6,1,100000001,610000007874,
3,,Spine,2,6,Image 1,4,1,100000001,610000007875,
3,,Spine,2,6,Image 1,4,1,100000001,610000007876,
3,,Spine,2,11,Image 1,5,1,100000001,610000007877,
3,,Spine,2,3,Image 1,3,1,100000001,610000007878,
4,,Spine,2,3,Image 1,4,1,100000001,610000007879,
1,,Spine,2,3,Image 1,4,1,100000001,610000007880,
1,,Spine,2,2,Image 1,3,1,100000001,610000007881,
3,,Spine,2,4,Image 1,4,1,100000001,610000007882,
3,,Spine,2,6,Image 1,1,1,100000002,610000007883,
9,,Spine,2,4,Image 1,1,1,100000002,610000007884,
7,,Spine,2,3,Image 1,2,1,100000002,610000007885,
3,,Spine,2,0,Image 1,1,1,100000002,610000007886,
2,,Spine,2,5,Image 1,2,1,100000002,610000007887,
6,,Spine,2,1,Image 1,2,1,100000002,610000007888,
4,,Spine,2,3,Image 1,1,1,100000002,610000007891,
5,,Spine,2,3,Image 1,1,1,100000002,610000007892,
7,,Spine,2,2,Image 1,2,1,100000002,610000007893,
1,,Spine,2,3,Image 1,2,1,100000002,610000007894,
