
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1.10089,0.668751,0.720836,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007534,
0.455729,0.416667,0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007545,
1.11799,1.13764,1.49507,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007554,
0.416667,0.651608,1.02246,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007569,
0.864037,0.651608,0.733507,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007594,
0.416667,0.416667,0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007603,
0.557454,0.432943,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007610,
0.90757,0.769079,0.501275,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007617,
1.01316,0.769079,0.627894,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007627,
0.871754,0.7252,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007629,
0.416667,2.55276,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007648,
1.23089,2.12585,1.63155,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007668,
0.416667,0.416667,0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007674,
0.416667,0.416667,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007677,
1.07511,1.26268,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007694,
0.416667,0.416667,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007698,
0.627894,0.769079,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007713,
1.29069,1.51779,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007721,
0.6316,1.78887,1.53016,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007725,
1.32324,1.51779,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007730,
1.38509,1.38346,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007734,
1.12796,1.25673,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007747,
0.944453,0.840567,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007751,
1.41679,2.12585,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007765,
1.24914,1.27814,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007782,
0.774983,1.1333,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007797,
0.858462,0.893515,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007866,
1.2371,1.01628,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007886,
1.0859,0.464804,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007895,
1.81058,1.63534,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007907,
1.1847,1.18594,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007909,
0.816098,0.662366,0.441716,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000007379,
0.6282,0.673115,0.49036,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000007421,
