
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-2.244,3.36649,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.108,13.9155,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.972,38.5378,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.836,82.0712,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.7,139.675,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.564,214.355,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.428,298.181,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.292,396.801,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.156,516.237,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.02,643.004,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.884,784.103,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.748,947.274,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.612,1114.8,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.476,1298.09,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.34,1503.77,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.204,1705.77,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.0680001,1912,µm^3,Cumulative Volume Inside,Image 1,1,,
