
Segment Center Intensity Median Ch=4 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
63.0625,,Segment,4,29,Image 1,11,1,100000002,510000000023,
99.0625,,Segment,4,28,Image 1,10,1,100000002,510000000034,
62.0312,,Segment,4,27,Image 1,9,1,100000002,510000000038,
2.0625,,Segment,4,26,Image 1,9,1,100000002,510000000061,
63.0625,,Segment,4,25,Image 1,8,1,100000002,510000000108,
34.125,,Segment,4,24,Image 1,7,1,100000002,510000000136,
119.062,,Segment,4,23,Image 1,6,1,100000002,510000000152,
9.125,,Segment,4,22,Image 1,6,1,100000002,510000000173,
45.0625,,Segment,4,21,Image 1,6,1,100000002,510000000179,
71.0625,,Segment,4,20,Image 1,5,1,100000002,510000000201,
58.0625,,Segment,4,19,Image 1,5,1,100000002,510000000205,
128.531,,Segment,4,16,Image 1,5,1,100000002,510000000214,
114.031,,Segment,4,15,Image 1,5,1,100000002,510000000220,
171.562,,Segment,4,14,Image 1,5,1,100000002,510000000237,
147.562,,Segment,4,13,Image 1,5,1,100000002,510000000252,
174.125,,Segment,4,12,Image 1,5,1,100000002,510000000272,
65.125,,Segment,4,11,Image 1,5,1,100000002,510000000288,
111.062,,Segment,4,10,Image 1,4,1,100000002,510000000290,
152.562,,Segment,4,9,Image 1,4,1,100000002,510000000315,
73.125,,Segment,4,8,Image 1,4,1,100000002,510000000335,
193.031,,Segment,4,7,Image 1,3,1,100000002,510000000346,
134.125,,Segment,4,6,Image 1,2,1,100000002,510000000360,
146.062,,Segment,4,5,Image 1,2,1,100000002,510000000366,
96.625,,Segment,4,3,Image 1,1,1,100000002,510000000382,
167.016,,Segment,4,2,Image 1,1,1,100000002,510000000385,
144.625,,Segment,4,1,Image 1,1,1,100000002,510000000402,
38.625,,Segment,4,0,Image 1,1,1,100000002,510000000423,
81.0625,,Segment,4,29,Image 1,10,1,100000002,510000000453,
51.0625,,Segment,4,27,Image 1,10,1,100000002,510000000467,
35.625,,Segment,4,17,Image 1,8,1,100000002,510000000485,
170.125,,Segment,4,16,Image 1,7,1,100000002,510000000513,
145.125,,Segment,4,15,Image 1,7,1,100000002,510000000523,
86.125,,Segment,4,13,Image 1,6,1,100000002,510000000542,
63.125,,Segment,4,12,Image 1,6,1,100000002,510000000570,
129.562,,Segment,4,11,Image 1,5,1,100000002,510000000603,
117.125,,Segment,4,10,Image 1,5,1,100000002,510000000631,
110.125,,Segment,4,17,Image 1,7,1,100000002,510000000668,
100.125,,Segment,4,17,Image 1,8,1,100000002,510000000682,
187.125,,Segment,4,16,Image 1,8,1,100000002,510000000690,
56.125,,Segment,4,15,Image 1,7,1,100000002,510000000698,
171.031,,Segment,4,14,Image 1,6,1,100000002,510000000724,
66.125,,Segment,4,17,Image 1,9,1,100000002,510000000740,
136.625,,Segment,4,15,Image 1,6,1,100000002,510000000749,
154.125,,Segment,4,15,Image 1,8,1,100000002,510000000755,
32.0625,,Segment,4,13,Image 1,7,1,100000002,510000000759,
58.0625,,Segment,4,26,Image 1,8,1,100000002,510000000797,
132.031,,Segment,4,25,Image 1,7,1,100000002,510000000801,
112.125,,Segment,4,25,Image 1,8,1,100000002,510000000815,
128.062,,Segment,4,24,Image 1,7,1,100000002,510000000827,
111.062,,Segment,4,23,Image 1,7,1,100000002,510000000839,
146.031,,Segment,4,25,Image 1,7,1,100000002,510000000845,
42.5625,,Segment,4,24,Image 1,8,1,100000002,510000000848,
85.0312,,Segment,4,24,Image 1,6,1,100000002,510000000852,
18.0625,,Segment,4,4,Image 1,4,1,100000000,510000000858,
63.0625,,Segment,4,3,Image 1,3,1,100000000,510000000873,
53.0625,,Segment,4,2,Image 1,3,1,100000000,510000000883,
80.625,,Segment,4,1,Image 1,2,1,100000000,510000000950,
44.625,,Segment,4,0,Image 1,1,1,100000000,510000000987,
65.0625,,Segment,4,4,Image 1,3,1,100000000,510000001002,
63.125,,Segment,4,2,Image 1,2,1,100000000,510000001034,
21.0312,,Segment,4,3,Image 1,4,1,100000000,510000001037,
79.625,,Segment,4,4,Image 1,3,1,100000001,510000001083,
121.562,,Segment,4,3,Image 1,2,1,100000001,510000001092,
122.562,,Segment,4,2,Image 1,1,1,100000001,510000001121,
129.125,,Segment,4,0,Image 1,1,1,100000001,510000001153,
26.0625,,Segment,4,5,Image 1,5,1,100000001,510000001187,
54.625,,Segment,4,4,Image 1,4,1,100000001,510000001214,
149.062,,Segment,4,3,Image 1,3,1,100000001,510000001225,
167.062,,Segment,4,2,Image 1,2,1,100000001,510000001231,
41.0312,,Segment,4,5,Image 1,4,1,100000001,510000001238,
