
Segment Intensity Median Ch=4 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
46.125,,Segment,4,29,Image 1,11,1,100000002,510000000023,
72.125,,Segment,4,28,Image 1,10,1,100000002,510000000034,
62.125,,Segment,4,27,Image 1,9,1,100000002,510000000038,
42.125,,Segment,4,26,Image 1,9,1,100000002,510000000061,
45.125,,Segment,4,25,Image 1,8,1,100000002,510000000108,
56.125,,Segment,4,24,Image 1,7,1,100000002,510000000136,
74.125,,Segment,4,23,Image 1,6,1,100000002,510000000152,
20.125,,Segment,4,22,Image 1,6,1,100000002,510000000173,
40.125,,Segment,4,21,Image 1,6,1,100000002,510000000179,
49.125,,Segment,4,20,Image 1,5,1,100000002,510000000201,
46.125,,Segment,4,19,Image 1,5,1,100000002,510000000205,
90.125,,Segment,4,16,Image 1,5,1,100000002,510000000214,
84.125,,Segment,4,15,Image 1,5,1,100000002,510000000220,
110.125,,Segment,4,14,Image 1,5,1,100000002,510000000237,
99.125,,Segment,4,13,Image 1,5,1,100000002,510000000252,
108.125,,Segment,4,12,Image 1,5,1,100000002,510000000272,
57.125,,Segment,4,11,Image 1,5,1,100000002,510000000288,
83.125,,Segment,4,10,Image 1,4,1,100000002,510000000290,
105.125,,Segment,4,9,Image 1,4,1,100000002,510000000315,
59.125,,Segment,4,8,Image 1,4,1,100000002,510000000335,
151.625,,Segment,4,7,Image 1,3,1,100000002,510000000346,
114.125,,Segment,4,6,Image 1,2,1,100000002,510000000360,
105.125,,Segment,4,5,Image 1,2,1,100000002,510000000366,
86.125,,Segment,4,3,Image 1,1,1,100000002,510000000382,
119.125,,Segment,4,2,Image 1,1,1,100000002,510000000385,
79.125,,Segment,4,1,Image 1,1,1,100000002,510000000402,
85.125,,Segment,4,0,Image 1,1,1,100000002,510000000423,
61.125,,Segment,4,29,Image 1,10,1,100000002,510000000453,
51.125,,Segment,4,27,Image 1,10,1,100000002,510000000467,
30.125,,Segment,4,17,Image 1,8,1,100000002,510000000485,
105.125,,Segment,4,16,Image 1,7,1,100000002,510000000513,
74.125,,Segment,4,15,Image 1,7,1,100000002,510000000523,
60.125,,Segment,4,13,Image 1,6,1,100000002,510000000542,
53.625,,Segment,4,12,Image 1,6,1,100000002,510000000570,
85.125,,Segment,4,11,Image 1,5,1,100000002,510000000603,
83.125,,Segment,4,10,Image 1,5,1,100000002,510000000631,
71.125,,Segment,4,17,Image 1,7,1,100000002,510000000668,
72.625,,Segment,4,17,Image 1,8,1,100000002,510000000682,
106.625,,Segment,4,16,Image 1,8,1,100000002,510000000690,
50.125,,Segment,4,15,Image 1,7,1,100000002,510000000698,
114.125,,Segment,4,14,Image 1,6,1,100000002,510000000724,
80.125,,Segment,4,17,Image 1,9,1,100000002,510000000740,
104.125,,Segment,4,15,Image 1,6,1,100000002,510000000749,
89.125,,Segment,4,15,Image 1,8,1,100000002,510000000755,
47.125,,Segment,4,13,Image 1,7,1,100000002,510000000759,
42.0625,,Segment,4,26,Image 1,8,1,100000002,510000000797,
89.125,,Segment,4,25,Image 1,7,1,100000002,510000000801,
79.125,,Segment,4,25,Image 1,8,1,100000002,510000000815,
97.125,,Segment,4,24,Image 1,7,1,100000002,510000000827,
75.625,,Segment,4,23,Image 1,7,1,100000002,510000000839,
97.625,,Segment,4,25,Image 1,7,1,100000002,510000000845,
75.125,,Segment,4,24,Image 1,8,1,100000002,510000000848,
67.125,,Segment,4,24,Image 1,6,1,100000002,510000000852,
43.0625,,Segment,4,4,Image 1,4,1,100000000,510000000858,
38.0625,,Segment,4,3,Image 1,3,1,100000000,510000000873,
46.125,,Segment,4,2,Image 1,3,1,100000000,510000000883,
51.125,,Segment,4,1,Image 1,2,1,100000000,510000000950,
92.125,,Segment,4,0,Image 1,1,1,100000000,510000000987,
46.0625,,Segment,4,4,Image 1,3,1,100000000,510000001002,
50.125,,Segment,4,2,Image 1,2,1,100000000,510000001034,
13.0625,,Segment,4,3,Image 1,4,1,100000000,510000001037,
65.125,,Segment,4,4,Image 1,3,1,100000001,510000001083,
83.125,,Segment,4,3,Image 1,2,1,100000001,510000001092,
87.125,,Segment,4,2,Image 1,1,1,100000001,510000001121,
92.125,,Segment,4,0,Image 1,1,1,100000001,510000001153,
24.0625,,Segment,4,5,Image 1,5,1,100000001,510000001187,
42.125,,Segment,4,4,Image 1,4,1,100000001,510000001214,
109.125,,Segment,4,3,Image 1,3,1,100000001,510000001225,
102.125,,Segment,4,2,Image 1,2,1,100000001,510000001231,
27.0625,,Segment,4,5,Image 1,4,1,100000001,510000001238,
54.125,,Segment,4,5,Image 1,3,1,100000001,510000001250,
92.125,,Segment,4,4,Image 1,2,1,100000001,510000001274,
93.125,,Segment,4,3,Image 1,2,1,100000001,510000001309,
36.625,,Segment,4,5,Image 1,2,1,100000001,510000001312,
55.125,,Segment,4,4,Image 1,2,1,100000001,510000001326,
68.125,,Segment,4,5,Image 1,3,1,100000001,510000001328,
57.125,,Segment,4,5,Image 1,2,1,100000001,510000001348,
83.625,,Segment,4,4,Image 1,3,1,100000001,510000001373,
94.125,,Segment,4,4,Image 1,1,1,100000001,510000001386,
93.625,,Segment,4,3,Image 1,1,1,100000001,510000001390,
22.0625,,Segment,4,2,Image 1,2,1,100000001,510000001396,
60.125,,Segment,4,1,Image 1,2,1,100000001,510000001413,
46.125,,Segment,4,2,Image 1,3,1,100000001,510000001427,
84.625,,Segment,4,4,Image 1,2,1,100000001,510000001430,
55.125,,Segment,4,5,Image 1,4,1,100000001,510000001445,
62.125,,Segment,4,4,Image 1,3,1,100000001,510000001447,
57.125,,Segment,4,3,Image 1,2,1,100000002,510000001473,
61.625,,Segment,4,2,Image 1,2,1,100000002,510000001484,
77.0625,,Segment,4,1,Image 1,2,1,100000002,510000001487,
81.125,,Segment,4,0,Image 1,1,1,100000002,510000001512,
13.125,,Segment,4,4,Image 1,3,1,100000002,510000001540,
68.125,,Segment,4,3,Image 1,3,1,100000002,510000001550,
32.125,,Segment,4,2,Image 1,3,1,100000002,510000001553,
40.625,,Segment,4,1,Image 1,1,1,100000002,510000001556,
43.0625,,Segment,4,2,Image 1,2,1,100000000,510000001571,
45.125,,Segment,4,1,Image 1,1,1,100000000,510000001616,
50.125,,Segment,4,3,Image 1,1,1,100000000,510000001623,
52.0625,,Segment,4,2,Image 1,1,1,100000000,510000001626,
35.0625,,Segment,4,3,Image 1,2,1,100000000,510000001630,
27.0625,,Segment,4,5,Image 1,2,1,100000004,510000001637,
25.0625,,Segment,4,4,Image 1,2,1,100000004,510000001639,
32.125,,Segment,4,3,Image 1,2,1,100000004,510000001675,
18.0625,,Segment,4,2,Image 1,1,1,100000004,510000001688,
69.0625,,Segment,4,1,Image 1,1,1,100000004,510000001690,
81.125,,Segment,4,0,Image 1,1,1,100000004,510000001704,
37.0625,,Segment,4,4,Image 1,3,1,100000004,510000001738,
25.0625,,Segment,4,5,Image 1,3,1,100000004,510000001743,
60.625,,Segment,4,3,Image 1,1,1,100000004,510000001746,
38.0625,,Segment,4,13,Image 1,5,1,100000002,510000001753,
55.125,,Segment,4,12,Image 1,5,1,100000002,510000001760,
86.125,,Segment,4,11,Image 1,4,1,100000002,510000001790,
35.125,,Segment,4,12,Image 1,4,1,100000002,510000001801,
47.625,,Segment,4,13,Image 1,6,1,100000002,510000001806,
20.0625,,Segment,4,22,Image 1,6,1,100000002,510000001811,
46.625,,Segment,4,21,Image 1,5,1,100000002,510000001821,
31.0625,,Segment,4,22,Image 1,5,1,100000002,510000001827,
49.125,,Segment,4,20,Image 1,6,1,100000002,510000001870,
40.0625,,Segment,4,22,Image 1,7,1,100000002,510000001872,
43.125,,Segment,4,17,Image 1,7,1,100000002,510000001897,
88.125,,Segment,4,16,Image 1,6,1,100000002,510000001909,
96.625,,Segment,4,15,Image 1,6,1,100000002,510000001931,
26.625,,Segment,4,15,Image 1,7,1,100000002,510000001940,
91.125,,Segment,4,14,Image 1,7,1,100000002,510000001945,
73.625,,Segment,4,13,Image 1,6,1,100000002,510000001968,
79.125,,Segment,4,12,Image 1,6,1,100000002,510000001979,
59.125,,Segment,4,15,Image 1,8,1,100000002,510000001987,
62.125,,Segment,4,18,Image 1,6,1,100000002,510000001989,
57.125,,Segment,4,14,Image 1,6,1,100000002,510000002004,
59.125,,Segment,4,17,Image 1,6,1,100000002,510000002010,
30.125,,Segment,4,16,Image 1,6,1,100000002,510000002017,
69.625,,Segment,4,19,Image 1,6,1,100000002,510000002022,
58.125,,Segment,4,17,Image 1,6,1,100000002,510000002024,
33.125,,Segment,4,13,Image 1,7,1,100000002,510000002028,
91.125,,Segment,4,12,Image 1,6,1,100000002,510000002044,
91.125,,Segment,4,11,Image 1,6,1,100000002,510000002053,
79.625,,Segment,4,10,Image 1,5,1,100000002,510000002062,
55.125,,Segment,4,9,Image 1,5,1,100000002,510000002099,
119.125,,Segment,4,15,Image 1,6,1,100000002,510000002103,
52.125,,Segment,4,14,Image 1,6,1,100000002,510000002106,
69.125,,Segment,4,13,Image 1,6,1,100000002,510000002120,
40.625,,Segment,4,12,Image 1,5,1,100000002,510000002123,
32.125,,Segment,4,12,Image 1,7,1,100000002,510000002126,
41.125,,Segment,4,10,Image 1,6,1,100000002,510000002131,
82.625,,Segment,4,11,Image 1,5,1,100000002,510000002133,
67.125,,Segment,4,11,Image 1,6,1,100000002,510000002137,
62.125,,Segment,4,12,Image 1,6,1,100000002,510000002140,
106.125,,Segment,4,8,Image 1,3,1,100000002,510000002143,
177.125,,Segment,4,7,Image 1,2,1,100000002,510000002154,
26.125,,Segment,4,5,Image 1,1,1,100000002,510000002158,
54.125,,Segment,4,6,Image 1,3,1,100000002,510000002160,
76.125,,Segment,4,4,Image 1,2,1,100000002,510000002162,
14.0625,,Segment,4,3,Image 1,3,1,100000001,510000002171,
33.125,,Segment,4,2,Image 1,2,1,100000001,510000002180,
77.125,,Segment,4,1,Image 1,1,1,100000001,510000002185,
80.625,,Segment,4,0,Image 1,1,1,100000001,510000002196,
18.5625,,Segment,4,3,Image 1,2,1,100000001,510000002213,
67.125,,Segment,4,2,Image 1,2,1,100000001,510000002253,
59.125,,Segment,4,1,Image 1,2,1,100000001,510000002272,
25.0625,,Segment,4,3,Image 1,4,1,100000001,510000002276,
49.0625,,Segment,4,2,Image 1,3,1,100000001,510000002283,
57.125,,Segment,4,3,Image 1,2,1,100000001,510000002309,
22.0625,,Segment,4,3,Image 1,3,1,100000001,510000002314,
18.625,,Segment,4,2,Image 1,1,1,100000001,510000002316,
89.125,,Segment,4,3,Image 1,2,1,100000002,510000002326,
111.125,,Segment,4,2,Image 1,2,1,100000002,510000002335,
72.625,,Segment,4,1,Image 1,2,1,100000002,510000002339,
38.0625,,Segment,4,10,Image 1,3,1,100000001,510000002351,
29.0625,,Segment,4,9,Image 1,2,1,100000001,510000002360,
20.0625,,Segment,4,8,Image 1,2,1,100000001,510000002363,
36.125,,Segment,4,7,Image 1,2,1,100000001,510000002373,
48.125,,Segment,4,6,Image 1,2,1,100000001,510000002384,
60.125,,Segment,4,5,Image 1,2,1,100000001,510000002405,
57.125,,Segment,4,4,Image 1,2,1,100000001,510000002410,
42.125,,Segment,4,3,Image 1,2,1,100000001,510000002450,
75.125,,Segment,4,1,Image 1,1,1,100000001,510000002462,
71.625,,Segment,4,0,Image 1,1,1,100000001,510000002562,
31.125,,Segment,4,11,Image 1,3,1,100000001,510000002590,
29.125,,Segment,4,11,Image 1,2,1,100000001,510000002594,
18.5625,,Segment,4,9,Image 1,3,1,100000001,510000002596,
24.0625,,Segment,4,8,Image 1,5,1,100000001,510000002603,
42.125,,Segment,4,6,Image 1,3,1,100000001,510000002617,
44.125,,Segment,4,5,Image 1,3,1,100000001,510000002647,
37.0625,,Segment,4,8,Image 1,3,1,100000001,510000002652,
38.0625,,Segment,4,9,Image 1,4,1,100000001,510000002658,
65.125,,Segment,4,8,Image 1,3,1,100000001,510000002663,
64.125,,Segment,4,7,Image 1,3,1,100000001,510000002674,
49.125,,Segment,4,9,Image 1,3,1,100000001,510000002689,
27.0625,,Segment,4,8,Image 1,4,1,100000001,510000002693,
43.125,,Segment,4,8,Image 1,4,1,100000001,510000002696,
17.125,,Segment,4,7,Image 1,3,1,100000001,510000002698,
30.0625,,Segment,4,7,Image 1,3,1,100000001,510000002717,
27.0625,,Segment,4,6,Image 1,4,1,100000001,510000002723,
40,,Segment,4,7,Image 1,4,1,100000001,510000002725,
62.125,,Segment,4,5,Image 1,3,1,100000001,510000002729,
45.125,,Segment,4,5,Image 1,4,1,100000001,510000002734,
82.125,,Segment,4,1,Image 1,2,1,100000001,510000002757,
51.125,,Segment,4,2,Image 1,2,1,100000001,510000002762,
43.625,,Segment,4,3,Image 1,1,1,100000001,510000002764,
29.625,,Segment,4,4,Image 1,3,1,100000000,510000002785,
50.125,,Segment,4,3,Image 1,2,1,100000000,510000002824,
59.125,,Segment,4,2,Image 1,1,1,100000000,510000002862,
80.125,,Segment,4,1,Image 1,1,1,100000000,510000002888,
95.125,,Segment,4,0,Image 1,1,1,100000000,510000002933,
49.125,,Segment,4,9,Image 1,3,1,100000001,510000002958,
50.5625,,Segment,4,8,Image 1,3,1,100000001,510000002964,
50.0625,,Segment,4,7,Image 1,3,1,100000001,510000002978,
45.0625,,Segment,4,6,Image 1,3,1,100000001,510000002997,
66.125,,Segment,4,5,Image 1,2,1,100000001,510000003035,
88.5,,Segment,4,4,Image 1,1,1,100000001,510000003037,
93.625,,Segment,4,3,Image 1,1,1,100000001,510000003039,
81.125,,Segment,4,2,Image 1,1,1,100000001,510000003065,
102.125,,Segment,4,1,Image 1,1,1,100000001,510000003067,
89.125,,Segment,4,0,Image 1,1,1,100000001,510000003083,
29.125,,Segment,4,2,Image 1,1,1,100000000,510000003087,
34.125,,Segment,4,1,Image 1,1,1,100000000,510000003122,
65.125,,Segment,4,0,Image 1,1,1,100000000,510000003197,
43.125,,Segment,4,2,Image 1,2,1,100000000,510000003201,
64.125,,Segment,4,9,Image 1,4,1,100000001,510000003213,
58.625,,Segment,4,4,Image 1,2,1,100000000,510000003219,
99.125,,Segment,4,6,Image 1,2,1,100000000,510000003248,
84.125,,Segment,4,5,Image 1,2,1,100000000,510000003266,
83.125,,Segment,4,4,Image 1,2,1,100000000,510000003271,
50.125,,Segment,4,3,Image 1,2,1,100000000,510000003278,
67.125,,Segment,4,2,Image 1,2,1,100000000,510000003288,
79.125,,Segment,4,1,Image 1,2,1,100000000,510000003310,
