
Spine Intensity Sum Ch=4 Img=1
 ==================== 
Spine Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2129,,Spine,4,2,Image 1,2,1,100000001,610000005273,
8883,,Spine,4,2,Image 1,2,1,100000001,610000005276,
17223,,Spine,4,23,Image 1,6,1,100000002,610000005281,
11067,,Spine,4,4,Image 1,2,1,100000001,610000005283,
13747,,Spine,4,0,Image 1,1,1,100000000,610000005287,
12687,,Spine,4,8,Image 1,3,1,100000002,610000005293,
2743,,Spine,4,1,Image 1,1,1,100000000,610000005296,
4522,,Spine,4,2,Image 1,2,1,100000000,610000005300,
11300,,Spine,4,4,Image 1,2,1,100000003,610000005303,
4031,,Spine,4,1,Image 1,1,1,100000001,610000005306,
15268,,Spine,4,0,Image 1,1,1,100000004,610000005309,
3893,,Spine,4,3,Image 1,2,1,100000003,610000005311,
4284,,Spine,4,3,Image 1,2,1,100000004,610000005314,
2494,,Spine,4,0,Image 1,1,1,100000003,610000005323,
7448,,Spine,4,6,Image 1,1,1,100000001,610000005327,
15695,,Spine,4,15,Image 1,7,1,100000002,610000005330,
4387,,Spine,4,0,Image 1,1,1,100000002,610000005337,
12656,,Spine,4,0,Image 1,1,1,100000004,610000005340,
3612,,Spine,4,0,Image 1,1,1,100000002,610000005348,
24266,,Spine,4,0,Image 1,1,1,100000002,610000005355,
21234,,Spine,4,0,Image 1,1,1,100000002,610000005363,
16662,,Spine,4,1,Image 1,1,1,100000000,610000005369,
2375,,Spine,4,4,Image 1,3,1,100000004,610000005371,
6863,,Spine,4,1,Image 1,1,1,100000000,610000005374,
17358,,Spine,4,1,Image 1,1,1,100000000,610000005379,
3441,,Spine,4,0,Image 1,1,1,100000002,610000005383,
5619,,Spine,4,0,Image 1,1,1,100000002,610000005388,
11975,,Spine,4,13,Image 1,5,1,100000002,610000005391,
8029,,Spine,4,0,Image 1,1,1,100000000,610000005394,
13896,,Spine,4,6,Image 1,2,1,100000000,610000005401,
39050,,Spine,4,6,Image 1,1,1,100000001,610000005404,
2096,,Spine,4,1,Image 1,2,1,100000004,610000005406,
5655,,Spine,4,17,Image 1,6,1,100000002,610000005409,
7548,,Spine,4,0,Image 1,1,1,100000001,610000005412,
6302,,Spine,4,13,Image 1,6,1,100000002,610000005414,
3595,,Spine,4,17,Image 1,7,1,100000002,610000005416,
9657,,Spine,4,0,Image 1,1,1,100000003,610000005420,
8483,,Spine,4,3,Image 1,1,1,100000004,610000005423,
15945,,Spine,4,9,Image 1,4,1,100000002,610000005425,
78136,,Spine,4,0,Image 1,1,1,100000002,610000005432,
15021,,Spine,4,4,Image 1,1,1,100000001,610000005434,
10643,,Spine,4,0,Image 1,1,1,100000002,610000005440,
16812,,Spine,4,0,Image 1,1,1,100000003,610000005443,
9986,,Spine,4,0,Image 1,1,1,100000002,610000005445,
8075,,Spine,4,5,Image 1,2,1,100000001,610000005447,
2158,,Spine,4,3,Image 1,1,1,100000004,610000005449,
5448,,Spine,4,20,Image 1,5,1,100000002,610000005454,
4603,,Spine,4,0,Image 1,1,1,100000000,610000005457,
14420,,Spine,4,17,Image 1,9,1,100000002,610000005460,
36790,,Spine,4,14,Image 1,6,1,100000002,610000005464,
9403,,Spine,4,3,Image 1,1,1,100000004,610000005466,
13934,,Spine,4,0,Image 1,1,1,100000002,610000005471,
5686,,Spine,4,5,Image 1,3,1,100000001,610000005474,
3286,,Spine,4,8,Image 1,3,1,100000001,610000005476,
16188,,Spine,4,0,Image 1,1,1,100000003,610000005480,
2870,,Spine,4,3,Image 1,3,1,100000001,610000005483,
8328,,Spine,4,0,Image 1,1,1,100000004,610000005486,
28068,,Spine,4,1,Image 1,1,1,100000002,610000005488,
159723,,Spine,4,1,Image 1,1,1,100000000,610000005492,
9854,,Spine,4,3,Image 1,2,1,100000001,610000005496,
10983,,Spine,4,8,Image 1,4,1,100000002,610000005499,
5307,,Spine,4,1,Image 1,1,1,100000000,610000005502,
34434,,Spine,4,0,Image 1,1,1,100000002,610000005507,
25333,,Spine,4,1,Image 1,1,1,100000000,610000005511,
2657,,Spine,4,0,Image 1,1,1,100000003,610000005515,
17320,,Spine,4,16,Image 1,7,1,100000002,610000005517,
7675,,Spine,4,3,Image 1,2,1,100000001,610000005519,
1736,,Spine,4,0,Image 1,1,1,100000003,610000005523,
9670,,Spine,4,0,Image 1,1,1,100000002,610000005527,
17768,,Spine,4,12,Image 1,6,1,100000002,610000005529,
11874,,Spine,4,16,Image 1,6,1,100000002,610000005533,
2735,,Spine,4,6,Image 1,1,1,100000001,610000005535,
24136,,Spine,4,1,Image 1,2,1,100000000,610000005538,
9255,,Spine,4,7,Image 1,2,1,100000003,610000005540,
11368,,Spine,4,0,Image 1,1,1,100000002,610000005547,
14341,,Spine,4,1,Image 1,1,1,100000000,610000005551,
51153,,Spine,4,0,Image 1,1,1,100000002,610000005555,
5052,,Spine,4,0,Image 1,1,1,100000003,610000005557,
4067,,Spine,4,0,Image 1,1,1,100000002,610000005561,
41641,,Spine,4,0,Image 1,1,1,100000001,610000005566,
36310,,Spine,4,1,Image 1,1,1,100000000,610000005571,
16453,,Spine,4,12,Image 1,6,1,100000002,610000005574,
15324,,Spine,4,1,Image 1,1,1,100000000,610000005578,
10431,,Spine,4,17,Image 1,9,1,100000002,610000005581,
16180,,Spine,4,12,Image 1,6,1,100000002,610000005584,
3699,,Spine,4,0,Image 1,1,1,100000003,610000005586,
6905,,Spine,4,0,Image 1,1,1,100000002,610000005588,
4614,,Spine,4,20,Image 1,5,1,100000002,610000005590,
54145,,Spine,4,0,Image 1,1,1,100000002,610000005595,
2434,,Spine,4,0,Image 1,1,1,100000003,610000005597,
24799,,Spine,4,6,Image 1,1,1,100000001,610000005600,
48094,,Spine,4,0,Image 1,1,1,100000001,610000005604,
13657,,Spine,4,1,Image 1,1,1,100000000,610000005608,
19351,,Spine,4,12,Image 1,6,1,100000002,610000005610,
6193,,Spine,4,1,Image 1,1,1,100000000,610000005612,
13070,,Spine,4,1,Image 1,1,1,100000000,610000005614,
4753,,Spine,4,15,Image 1,7,1,100000002,610000005618,
6742,,Spine,4,6,Image 1,2,1,100000002,610000005620,
44005,,Spine,4,1,Image 1,1,1,100000000,610000005623,
2710,,Spine,4,6,Image 1,1,1,100000001,610000005626,
15365,,Spine,4,0,Image 1,1,1,100000003,610000005629,
5916,,Spine,4,0,Image 1,1,1,100000002,610000005633,
45689,,Spine,4,1,Image 1,1,1,100000000,610000005638,
29771,,Spine,4,14,Image 1,6,1,100000002,610000005642,
7899,,Spine,4,0,Image 1,1,1,100000002,610000005645,
116460,,Spine,4,0,Image 1,1,1,100000002,610000005649,
56589,,Spine,4,0,Image 1,1,1,100000002,610000005651,
28095,,Spine,4,6,Image 1,1,1,100000001,610000005654,
35499,,Spine,4,1,Image 1,1,1,100000000,610000005658,
92923,,Spine,4,6,Image 1,1,1,100000001,610000005661,
15475,,Spine,4,3,Image 1,1,1,100000002,610000005664,
1467,,Spine,4,0,Image 1,1,1,100000003,610000005672,
12907,,Spine,4,0,Image 1,1,1,100000002,610000005681,
20440,,Spine,4,2,Image 1,1,1,100000001,610000005684,
21751,,Spine,4,1,Image 1,1,1,100000000,610000005693,
29537,,Spine,4,1,Image 1,1,1,100000000,610000005697,
101302,,Spine,4,3,Image 1,1,1,100000004,610000005701,
41725,,Spine,4,0,Image 1,1,1,100000001,610000005706,
32564,,Spine,4,0,Image 1,1,1,100000002,610000005709,
17878,,Spine,4,1,Image 1,1,1,100000000,610000005712,
19243,,Spine,4,3,Image 1,1,1,100000002,610000005715,
31127,,Spine,4,14,Image 1,6,1,100000002,610000005719,
15224,,Spine,4,6,Image 1,2,1,100000000,610000005729,
39173,,Spine,4,3,Image 1,1,1,100000004,610000005731,
10464,,Spine,4,16,Image 1,6,1,100000002,610000005737,
102322,,Spine,4,0,Image 1,1,1,100000002,610000005768,
6080,,Spine,4,2,Image 1,2,1,100000000,610000005779,
6809,,Spine,4,2,Image 1,2,1,100000000,610000005780,
43432,,Spine,4,0,Image 1,1,1,100000000,610000005781,
14912,,Spine,4,0,Image 1,1,1,100000000,610000005785,
10117,,Spine,4,1,Image 1,2,1,100000000,610000005788,
24824,,Spine,4,1,Image 1,2,1,100000000,610000005789,
35271,,Spine,4,0,Image 1,1,1,100000000,610000005790,
1686,,Spine,4,4,Image 1,3,1,100000000,610000005793,
595,,Spine,4,2,Image 1,2,1,100000000,610000005794,
13203,,Spine,4,6,Image 1,2,1,100000000,610000005795,
6518,,Spine,4,6,Image 1,3,1,100000000,610000005796,
4429,,Spine,4,6,Image 1,3,1,100000000,610000005797,
1432,,Spine,4,3,Image 1,4,1,100000000,610000005798,
17621,,Spine,4,0,Image 1,1,1,100000000,610000005799,
3896,,Spine,4,0,Image 1,1,1,100000000,610000005800,
5923,,Spine,4,0,Image 1,1,1,100000000,610000005801,
7749,,Spine,4,5,Image 1,3,1,100000001,610000005802,
3259,,Spine,4,5,Image 1,2,1,100000001,610000005803,
3505,,Spine,4,5,Image 1,2,1,100000001,610000005804,
7314,,Spine,4,3,Image 1,2,1,100000001,610000005805,
18799,,Spine,4,4,Image 1,1,1,100000001,610000005812,
7361,,Spine,4,5,Image 1,2,1,100000001,610000005813,
3724,,Spine,4,5,Image 1,2,1,100000001,610000005814,
2462,,Spine,4,5,Image 1,3,1,100000001,610000005815,
1822,,Spine,4,2,Image 1,2,1,100000001,610000005816,
1930,,Spine,4,2,Image 1,2,1,100000001,610000005817,
4198,,Spine,4,3,Image 1,2,1,100000001,610000005824,
2347,,Spine,4,3,Image 1,2,1,100000001,610000005825,
3667,,Spine,4,2,Image 1,2,1,100000001,610000005826,
8439,,Spine,4,2,Image 1,2,1,100000001,610000005827,
5530,,Spine,4,4,Image 1,2,1,100000001,610000005829,
1847,,Spine,4,8,Image 1,4,1,100000001,610000005830,
1588,,Spine,4,8,Image 1,4,1,100000001,610000005831,
2877,,Spine,4,6,Image 1,3,1,100000001,610000005832,
5128,,Spine,4,5,Image 1,3,1,100000001,610000005833,
5794,,Spine,4,23,Image 1,6,1,100000002,610000005843,
2032,,Spine,4,22,Image 1,6,1,100000002,610000005844,
4876,,Spine,4,22,Image 1,6,1,100000002,610000005845,
1987,,Spine,4,21,Image 1,6,1,100000002,610000005846,
9355,,Spine,4,21,Image 1,5,1,100000002,610000005847,
4291,,Spine,4,20,Image 1,5,1,100000002,610000005848,
3523,,Spine,4,16,Image 1,5,1,100000002,610000005849,
2069,,Spine,4,16,Image 1,6,1,100000002,610000005850,
4871,,Spine,4,17,Image 1,6,1,100000002,610000005851,
6182,,Spine,4,17,Image 1,6,1,100000002,610000005852,
4831,,Spine,4,17,Image 1,6,1,100000002,610000005853,
6751,,Spine,4,16,Image 1,6,1,100000002,610000005854,
14587,,Spine,4,14,Image 1,5,1,100000002,610000005855,
8167,,Spine,4,13,Image 1,5,1,100000002,610000005856,
17688,,Spine,4,16,Image 1,7,1,100000002,610000005857,
4296,,Spine,4,15,Image 1,7,1,100000002,610000005858,
2370,,Spine,4,13,Image 1,6,1,100000002,610000005859,
1455,,Spine,4,15,Image 1,7,1,100000002,610000005860,
2934,,Spine,4,15,Image 1,8,1,100000002,610000005861,
8799,,Spine,4,11,Image 1,5,1,100000002,610000005862,
15576,,Spine,4,11,Image 1,5,1,100000002,610000005863,
14323,,Spine,4,10,Image 1,5,1,100000002,610000005864,
3045,,Spine,4,10,Image 1,5,1,100000002,610000005865,
6804,,Spine,4,9,Image 1,4,1,100000002,610000005866,
7248,,Spine,4,12,Image 1,6,1,100000002,610000005867,
23574,,Spine,4,7,Image 1,3,1,100000002,610000005868,
26397,,Spine,4,7,Image 1,3,1,100000002,610000005869,
29769,,Spine,4,7,Image 1,2,1,100000002,610000005870,
5803,,Spine,4,6,Image 1,2,1,100000002,610000005871,
9064,,Spine,4,5,Image 1,2,1,100000002,610000005872,
16210,,Spine,4,3,Image 1,1,1,100000002,610000005873,
3532,,Spine,4,3,Image 1,1,1,100000002,610000005874,
32513,,Spine,4,2,Image 1,2,1,100000002,610000005875,
34139,,Spine,4,1,Image 1,1,1,100000002,610000005876,
32407,,Spine,4,0,Image 1,1,1,100000002,610000005883,
6979,,Spine,4,7,Image 1,2,1,100000003,610000005886,
6976,,Spine,4,7,Image 1,2,1,100000003,610000005887,
1400,,Spine,4,7,Image 1,3,1,100000003,610000005888,
1548,,Spine,4,7,Image 1,3,1,100000003,610000005889,
9813,,Spine,4,6,Image 1,2,1,100000003,610000005890,
9223,,Spine,4,6,Image 1,2,1,100000003,610000005891,
11175,,Spine,4,4,Image 1,2,1,100000003,610000005892,
4493,,Spine,4,3,Image 1,2,1,100000003,610000005893,
4943,,Spine,4,0,Image 1,1,1,100000003,610000005894,
5281,,Spine,4,0,Image 1,1,1,100000004,610000005902,
12174,,Spine,4,5,Image 1,2,1,100000004,610000005903,
12182,,Spine,4,5,Image 1,2,1,100000004,610000005904,
584,,Spine,4,6,Image 1,4,1,100000004,610000005905,
