
Intensity Inside Ch=2 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Inside,Intensity Mean Inside,Intensity Mean minus Std Inside,Intensity Mean plus Std Inside,Unit,Channel,Collection,Image,Time,ID,
-11.357,2.876,2.83585,0.507936,5.16377,,2,Intensity Inside,Image 1,1,,
-10.803,2.876,2.83406,0.500857,5.16726,,2,Intensity Inside,Image 1,1,,
-10.249,2.876,2.8367,0.48927,5.18413,,2,Intensity Inside,Image 1,1,,
-9.695,2.876,2.85403,0.482273,5.22579,,2,Intensity Inside,Image 1,1,,
-9.141,2.876,2.85856,0.51981,5.19731,,2,Intensity Inside,Image 1,1,,
-8.587,2.876,2.86643,0.54785,5.18501,,2,Intensity Inside,Image 1,1,,
-8.033,2.876,2.88325,0.545941,5.22055,,2,Intensity Inside,Image 1,1,,
-7.479,2.876,2.89647,0.55872,5.23421,,2,Intensity Inside,Image 1,1,,
-6.925,2.876,2.90782,0.581247,5.23439,,2,Intensity Inside,Image 1,1,,
-6.371,2.876,2.92286,0.571943,5.27377,,2,Intensity Inside,Image 1,1,,
-5.817,2.876,2.93911,0.533924,5.34429,,2,Intensity Inside,Image 1,1,,
-5.263,2.876,2.94584,0.518656,5.37302,,2,Intensity Inside,Image 1,1,,
-4.709,2.876,2.94918,0.470491,5.42788,,2,Intensity Inside,Image 1,1,,
-4.155,2.876,2.957,0.377689,5.53632,,2,Intensity Inside,Image 1,1,,
-3.601,2.876,2.95916,0.28601,5.63232,,2,Intensity Inside,Image 1,1,,
-3.047,2.876,2.95048,0.218569,5.68238,,2,Intensity Inside,Image 1,1,,
-2.493,2.876,2.93139,0.270509,5.59228,,2,Intensity Inside,Image 1,1,,
-1.939,2.876,2.90859,0.340552,5.47662,,2,Intensity Inside,Image 1,1,,
-1.385,2.876,2.8639,0.33841,5.38938,,2,Intensity Inside,Image 1,1,,
-0.831,2.876,2.77265,0.283563,5.26174,,2,Intensity Inside,Image 1,1,,
-0.277,2.876,2.65432,0.180182,5.12846,,2,Intensity Inside,Image 1,1,,
