
Spine Part Max Diameter Head
 ==================== 
Spine Part Max Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.543955,µm,Spine,Spine Part Max Diameter,7,4,1,100000000,610000005300,
0.833333,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000005306,
0.735809,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000005310,
0.416667,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005314,
0.725911,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005321,
0.966424,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005330,
0.944617,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005335,
0.832376,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005339,
0.788332,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005344,
0.50416,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000005347,
0.966424,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005355,
0.416667,µm,Spine,Spine Part Max Diameter,8,4,1,100000000,610000005358,
0.730559,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000005364,
0.721084,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005366,
0.966424,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005374,
0.54479,µm,Spine,Spine Part Max Diameter,6,3,1,100000002,610000005377,
0.696174,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000005379,
0.618753,µm,Spine,Spine Part Max Diameter,10,1,1,100000002,610000005382,
0.966424,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005389,
0.915201,µm,Spine,Spine Part Max Diameter,2,2,1,100000000,610000005392,
1.52295,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000005397,
0.645556,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000005400,
0.60299,µm,Spine,Spine Part Max Diameter,6,3,1,100000000,610000005403,
0.893448,µm,Spine,Spine Part Max Diameter,14,3,1,100000002,610000005408,
0.416667,µm,Spine,Spine Part Max Diameter,11,6,1,100000001,610000005410,
1.0927,µm,Spine,Spine Part Max Diameter,3,1,1,100000001,610000005414,
0.540365,µm,Spine,Spine Part Max Diameter,8,1,1,100000002,610000005416,
0.681704,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000005418,
1.34448,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005422,
0.540365,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005424,
1.54616,µm,Spine,Spine Part Max Diameter,3,1,1,100000001,610000005428,
0.751029,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005434,
1.25919,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000005438,
1.19768,µm,Spine,Spine Part Max Diameter,3,1,1,100000001,610000005442,
0.833333,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000005444,
0.810581,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000005450,
0.796828,µm,Spine,Spine Part Max Diameter,4,2,1,100000002,610000005453,
0.712529,µm,Spine,Spine Part Max Diameter,13,2,1,100000002,610000005456,
0.424856,µm,Spine,Spine Part Max Diameter,4,2,1,100000002,610000005462,
1.54616,µm,Spine,Spine Part Max Diameter,3,1,1,100000001,610000005466,
1.04167,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000005473,
0.572917,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005479,
1.03476,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005482,
0.833333,µm,Spine,Spine Part Max Diameter,6,4,1,100000001,610000005492,
0.58345,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005496,
0.906797,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000005507,
1.90355,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005510,
1.01673,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005532,
0.809856,µm,Spine,Spine Part Max Diameter,10,3,1,100000000,610000005553,
0.878344,µm,Spine,Spine Part Max Diameter,10,3,1,100000000,610000005554,
0.890601,µm,Spine,Spine Part Max Diameter,9,3,1,100000000,610000005555,
0.673622,µm,Spine,Spine Part Max Diameter,8,4,1,100000000,610000005556,
0.998459,µm,Spine,Spine Part Max Diameter,6,3,1,100000000,610000005557,
