
Segment Center Intensity Median Ch=4 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.00195312,,Segment,4,3,Image 1,3,1,100000002,510000000148,
0.00195312,,Segment,4,2,Image 1,2,1,100000002,510000000163,
1.00195,,Segment,4,1,Image 1,1,1,100000002,510000000196,
0.00195312,,Segment,4,0,Image 1,1,1,100000002,510000000247,
0.00195312,,Segment,4,4,Image 1,2,1,100000001,510000000361,
0.00195312,,Segment,4,3,Image 1,1,1,100000001,510000000376,
1.00195,,Segment,4,2,Image 1,1,1,100000001,510000000411,
0.00195312,,Segment,4,1,Image 1,1,1,100000001,510000000460,
0.00195312,,Segment,4,0,Image 1,1,1,100000001,510000000489,
0.00195312,,Segment,4,13,Image 1,5,1,100000000,510000000691,
0.000976562,,Segment,4,12,Image 1,4,1,100000000,510000000694,
0.00195312,,Segment,4,11,Image 1,3,1,100000000,510000000721,
0.00390625,,Segment,4,10,Image 1,3,1,100000000,510000000747,
0.00195312,,Segment,4,9,Image 1,3,1,100000000,510000000763,
0.00195312,,Segment,4,8,Image 1,3,1,100000000,510000000765,
0.501953,,Segment,4,7,Image 1,3,1,100000000,510000000776,
3.00391,,Segment,4,6,Image 1,2,1,100000000,510000000781,
0.501953,,Segment,4,5,Image 1,2,1,100000000,510000000784,
0.00195312,,Segment,4,4,Image 1,2,1,100000000,510000000792,
0.000976562,,Segment,4,3,Image 1,2,1,100000000,510000000798,
0.00195312,,Segment,4,1,Image 1,1,1,100000000,510000000811,
0.00195312,,Segment,4,5,Image 1,3,1,100000002,510000000907,
0.00390625,,Segment,4,4,Image 1,2,1,100000002,510000000995,
1.00195,,Segment,4,3,Image 1,1,1,100000002,510000001022,
1.00195,,Segment,4,2,Image 1,1,1,100000002,510000001050,
0.00195312,,Segment,4,1,Image 1,1,1,100000002,510000001057,
0.000976562,,Segment,4,0,Image 1,1,1,100000002,510000001079,
0.00390625,,Segment,4,14,Image 1,6,1,100000000,510000001110,
0.00195312,,Segment,4,13,Image 1,6,1,100000000,510000001149,
0.00195312,,Segment,4,12,Image 1,5,1,100000000,510000001177,
0.00390625,,Segment,4,11,Image 1,5,1,100000000,510000001194,
1.00195,,Segment,4,10,Image 1,5,1,100000000,510000001215,
0.501953,,Segment,4,9,Image 1,4,1,100000000,510000001226,
0.00195312,,Segment,4,8,Image 1,4,1,100000000,510000001250,
1.00195,,Segment,4,7,Image 1,3,1,100000000,510000001255,
1.00391,,Segment,4,6,Image 1,3,1,100000000,510000001268,
1.00195,,Segment,4,14,Image 1,7,1,100000000,510000001272,
0.00195312,,Segment,4,7,Image 1,3,1,100000001,510000001296,
0.00195312,,Segment,4,6,Image 1,3,1,100000001,510000001344,
0.0625,,Segment,4,5,Image 1,2,1,100000001,510000001416,
0.00195312,,Segment,4,4,Image 1,1,1,100000001,510000001442,
0.000976562,,Segment,4,3,Image 1,1,1,100000001,510000001454,
0.00195312,,Segment,4,2,Image 1,1,1,100000001,510000001465,
0.000976562,,Segment,4,1,Image 1,1,1,100000001,510000001506,
0,,Segment,4,0,Image 1,1,1,100000001,510000001510,
0.501953,,Segment,4,6,Image 1,3,1,100000002,510000001527,
0.00195312,,Segment,4,5,Image 1,2,1,100000002,510000001541,
0.00195312,,Segment,4,4,Image 1,5,1,100000001,510000001613,
0.00195312,,Segment,4,3,Image 1,4,1,100000001,510000001684,
0.00195312,,Segment,4,2,Image 1,3,1,100000001,510000001707,
0.000976562,,Segment,4,1,Image 1,2,1,100000001,510000001765,
0.00195312,,Segment,4,0,Image 1,1,1,100000001,510000001810,
0.00195312,,Segment,4,2,Image 1,3,1,100000000,510000001850,
0.00195312,,Segment,4,1,Image 1,2,1,100000000,510000001859,
0.00195312,,Segment,4,0,Image 1,1,1,100000000,510000001894,
0.000976562,,Segment,4,5,Image 1,5,1,100000001,510000001948,
0.00195312,,Segment,4,4,Image 1,4,1,100000001,510000001956,
0.000976562,,Segment,4,6,Image 1,5,1,100000002,510000001980,
