
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,1/10µm,Segment,3,3,1,100000002,510000000148,
0,1/10µm,Segment,2,2,1,100000002,510000000163,
7.47835,1/10µm,Segment,1,1,1,100000002,510000000196,
1.68393,1/10µm,Segment,0,1,1,100000002,510000000247,
0,1/10µm,Segment,4,2,1,100000001,510000000361,
0,1/10µm,Segment,3,1,1,100000001,510000000376,
3.73007,1/10µm,Segment,2,1,1,100000001,510000000411,
0.951151,1/10µm,Segment,1,1,1,100000001,510000000460,
0,1/10µm,Segment,0,1,1,100000001,510000000489,
0.778291,1/10µm,Segment,13,5,1,100000000,510000000691,
0,1/10µm,Segment,12,4,1,100000000,510000000694,
0,1/10µm,Segment,11,3,1,100000000,510000000721,
0,1/10µm,Segment,10,3,1,100000000,510000000747,
2.22416,1/10µm,Segment,9,3,1,100000000,510000000763,
25.7923,1/10µm,Segment,8,3,1,100000000,510000000765,
7.02671,1/10µm,Segment,7,3,1,100000000,510000000776,
0,1/10µm,Segment,6,2,1,100000000,510000000781,
0,1/10µm,Segment,5,2,1,100000000,510000000784,
0,1/10µm,Segment,4,2,1,100000000,510000000792,
0,1/10µm,Segment,3,2,1,100000000,510000000798,
14.3972,1/10µm,Segment,1,1,1,100000000,510000000811,
0,1/10µm,Segment,5,3,1,100000002,510000000907,
0.993016,1/10µm,Segment,4,2,1,100000002,510000000995,
3.35168,1/10µm,Segment,3,1,1,100000002,510000001022,
3.54546,1/10µm,Segment,2,1,1,100000002,510000001050,
0,1/10µm,Segment,1,1,1,100000002,510000001057,
0,1/10µm,Segment,0,1,1,100000002,510000001079,
4.54361,1/10µm,Segment,14,6,1,100000000,510000001110,
2.22761,1/10µm,Segment,13,6,1,100000000,510000001149,
2.93497,1/10µm,Segment,12,5,1,100000000,510000001177,
0,1/10µm,Segment,11,5,1,100000000,510000001194,
9.06836,1/10µm,Segment,10,5,1,100000000,510000001215,
3.39653,1/10µm,Segment,9,4,1,100000000,510000001226,
0,1/10µm,Segment,8,4,1,100000000,510000001250,
0,1/10µm,Segment,7,3,1,100000000,510000001255,
0,1/10µm,Segment,6,3,1,100000000,510000001268,
0,1/10µm,Segment,14,7,1,100000000,510000001272,
3.12859,1/10µm,Segment,7,3,1,100000001,510000001296,
1.77237,1/10µm,Segment,6,3,1,100000001,510000001344,
0,1/10µm,Segment,5,2,1,100000001,510000001416,
0,1/10µm,Segment,4,1,1,100000001,510000001442,
0,1/10µm,Segment,3,1,1,100000001,510000001454,
0,1/10µm,Segment,2,1,1,100000001,510000001465,
11.5306,1/10µm,Segment,1,1,1,100000001,510000001506,
0,1/10µm,Segment,0,1,1,100000001,510000001510,
2.16867,1/10µm,Segment,6,3,1,100000002,510000001527,
2.73775,1/10µm,Segment,5,2,1,100000002,510000001541,
0,1/10µm,Segment,4,5,1,100000001,510000001613,
0.587985,1/10µm,Segment,3,4,1,100000001,510000001684,
3.6086,1/10µm,Segment,2,3,1,100000001,510000001707,
0,1/10µm,Segment,1,2,1,100000001,510000001765,
1.93118,1/10µm,Segment,0,1,1,100000001,510000001810,
0,1/10µm,Segment,2,3,1,100000000,510000001850,
4.04111,1/10µm,Segment,1,2,1,100000000,510000001859,
5.47232,1/10µm,Segment,0,1,1,100000000,510000001894,
0,1/10µm,Segment,5,5,1,100000001,510000001948,
0,1/10µm,Segment,4,4,1,100000001,510000001956,
3.30956,1/10µm,Segment,6,5,1,100000002,510000001980,
0,1/10µm,Segment,5,4,1,100000002,510000002011,
3.09872,1/10µm,Segment,4,4,1,100000002,510000002054,
2.11745,1/10µm,Segment,3,4,1,100000002,510000002111,
0,1/10µm,Segment,2,3,1,100000002,510000002136,
0,1/10µm,Segment,1,2,1,100000002,510000002152,
0,1/10µm,Segment,0,1,1,100000002,510000002192,
0,1/10µm,Segment,5,5,1,100000002,510000002227,
0,1/10µm,Segment,6,4,1,100000002,510000002230,
0,1/10µm,Segment,5,2,1,100000002,510000002241,
3.1317,1/10µm,Segment,4,1,1,100000002,510000002275,
0,1/10µm,Segment,1,2,1,100000000,510000002309,
0,1/10µm,Segment,0,1,1,100000000,510000002316,
0,1/10µm,Segment,4,5,1,100000002,510000002391,
0,1/10µm,Segment,1,2,1,100000002,510000002426,
0,1/10µm,Segment,6,2,1,100000002,510000002431,
0,1/10µm,Segment,7,2,1,100000001,510000002452,
0,1/10µm,Segment,6,2,1,100000001,510000002488,
1.73572,1/10µm,Segment,7,4,1,100000001,510000002513,
1.48701,1/10µm,Segment,12,5,1,100000000,510000002539,
1.2666,1/10µm,Segment,11,4,1,100000000,510000002572,
3.43696,1/10µm,Segment,7,3,1,100000001,510000002638,
6.59485,1/10µm,Segment,6,2,1,100000001,510000002652,
0,1/10µm,Segment,5,1,1,100000001,510000002746,
1.94943,1/10µm,Segment,7,2,1,100000001,510000002837,
0,1/10µm,Segment,7,3,1,100000001,510000002851,
0,1/10µm,Segment,3,2,1,100000001,510000002890,
5.14861,1/10µm,Segment,6,4,1,100000001,510000002906,
0,1/10µm,Segment,5,3,1,100000001,510000002946,
0,1/10µm,Segment,4,2,1,100000001,510000002963,
0,1/10µm,Segment,2,2,1,100000001,510000002980,
0,1/10µm,Segment,6,3,1,100000001,510000002985,
2.88093,1/10µm,Segment,3,2,1,100000003,510000003041,
0,1/10µm,Segment,2,2,1,100000003,510000003051,
0,1/10µm,Segment,1,2,1,100000003,510000003073,
1.2168,1/10µm,Segment,0,1,1,100000003,510000003188,
0.966866,1/10µm,Segment,2,2,1,100000003,510000003252,
0,1/10µm,Segment,1,1,1,100000003,510000003273,
