
Spine Part Min Diameter Head
 ==================== 
Spine Part Min Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,Spine Part Min Diameter,6,4,1,100000002,610000002023,
0.887531,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002031,
0.1625,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000002036,
0.1625,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002041,
0.787725,µm,Spine,Spine Part Min Diameter,1,1,1,100000004,610000002044,
0.756076,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002051,
0.1625,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000002055,
0.190884,µm,Spine,Spine Part Min Diameter,8,5,1,100000002,610000002061,
0.427797,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000002064,
0.756076,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002069,
0.564575,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002072,
0.168875,µm,Spine,Spine Part Min Diameter,1,2,1,100000003,610000002074,
0.212918,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002077,
0.325,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000002080,
0.242262,µm,Spine,Spine Part Min Diameter,8,5,1,100000002,610000002083,
0.353099,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002086,
0.935212,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002091,
0.586734,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002095,
0.574617,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002099,
0.438297,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002102,
0.322513,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000002105,
0.479828,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002107,
0.606874,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002109,
0.24632,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000002111,
0.4948,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002113,
0.610314,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002118,
0.231055,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002120,
0.60144,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002123,
0.515112,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002126,
0.437562,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002129,
0.824946,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002132,
0.205911,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002134,
0.600683,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002139,
0.737319,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002145,
0.597734,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002148,
0.603668,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002151,
0.301992,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002155,
0.242876,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000002158,
0.935212,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002160,
0.773485,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002163,
0.60144,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002168,
0.53101,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002180,
0.432539,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002186,
0.219316,µm,Spine,Spine Part Min Diameter,3,2,1,100000001,610000002188,
0.213281,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002189,
0.178951,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002190,
0.170982,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002191,
0.326755,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002192,
0.527443,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002193,
0.473417,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002194,
0.385007,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000002195,
0.213458,µm,Spine,Spine Part Min Diameter,7,5,1,100000002,610000002196,
0.333159,µm,Spine,Spine Part Min Diameter,4,3,1,100000002,610000002197,
0.251336,µm,Spine,Spine Part Min Diameter,3,2,1,100000002,610000002198,
0.357988,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002199,
0.1625,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000002200,
0.342718,µm,Spine,Spine Part Min Diameter,2,3,1,100000002,610000002201,
0.293851,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002202,
0.382532,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002203,
0.348788,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002204,
0.525448,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002205,
0.2746,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002206,
0.264062,µm,Spine,Spine Part Min Diameter,3,2,1,100000004,610000002217,
0.28021,µm,Spine,Spine Part Min Diameter,1,2,1,100000004,610000002218,
0.469789,µm,Spine,Spine Part Min Diameter,1,1,1,100000004,610000002219,
