
Intensity Outside Ch=1 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Outside,Intensity Mean Outside,Intensity Mean minus Std Outside,Intensity Mean plus Std Outside,Unit,Channel,Collection,Image,Time,ID,
0.2755,3.10726,4.03154,-5.05057,13.1137,,1,Intensity Outside,Image 1,1,,
0.8265,3.10726,3.37401,-3.43506,10.1831,,1,Intensity Outside,Image 1,1,,
1.3775,3.10726,2.96495,-2.34946,8.27937,,1,Intensity Outside,Image 1,1,,
1.9285,3.10726,2.76345,-1.93279,7.45969,,1,Intensity Outside,Image 1,1,,
2.4795,3.10726,2.67294,-1.82693,7.17281,,1,Intensity Outside,Image 1,1,,
3.0305,3.10726,2.61869,-1.69132,6.92871,,1,Intensity Outside,Image 1,1,,
3.5815,3.10726,2.57757,-1.60407,6.75922,,1,Intensity Outside,Image 1,1,,
4.1325,3.10726,2.57978,-1.79808,6.95764,,1,Intensity Outside,Image 1,1,,
4.6835,3.10726,2.61388,-1.95913,7.18688,,1,Intensity Outside,Image 1,1,,
5.2345,3.10726,2.65405,-2.07206,7.38015,,1,Intensity Outside,Image 1,1,,
5.7855,3.10726,2.70452,-2.25664,7.66567,,1,Intensity Outside,Image 1,1,,
6.3365,3.10726,2.75804,-2.50396,8.02003,,1,Intensity Outside,Image 1,1,,
6.8875,3.10726,2.81218,-2.69451,8.31888,,1,Intensity Outside,Image 1,1,,
7.4385,3.10726,2.86594,-2.85858,8.59046,,1,Intensity Outside,Image 1,1,,
7.9895,3.10726,2.91771,-2.99727,8.83269,,1,Intensity Outside,Image 1,1,,
8.5405,3.10726,2.98715,-3.08521,9.0595,,1,Intensity Outside,Image 1,1,,
9.0915,3.10726,3.06859,-3.27278,9.40995,,1,Intensity Outside,Image 1,1,,
9.6425,3.10726,3.13141,-3.50138,9.7642,,1,Intensity Outside,Image 1,1,,
10.1935,3.10726,3.14304,-3.56965,9.85574,,1,Intensity Outside,Image 1,1,,
10.7445,3.10726,3.1204,-3.4993,9.74009,,1,Intensity Outside,Image 1,1,,
11.2955,3.10726,3.10078,-3.50852,9.71009,,1,Intensity Outside,Image 1,1,,
11.8465,3.10726,3.08266,-3.46221,9.62753,,1,Intensity Outside,Image 1,1,,
12.3975,3.10726,3.10759,-3.58565,9.80083,,1,Intensity Outside,Image 1,1,,
12.9485,3.10726,3.14855,-3.77615,10.0733,,1,Intensity Outside,Image 1,1,,
