
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.940028,µm^2,Segment,7,2,1,100000007,510000000800,
1.16926,µm^2,Segment,6,2,1,100000007,510000000811,
3.43586,µm^2,Segment,5,2,1,100000007,510000000868,
3.58691,µm^2,Segment,4,1,1,100000007,510000000911,
0.328585,µm^2,Segment,3,1,1,100000007,510000000915,
0.587518,µm^2,Segment,2,1,1,100000007,510000000921,
1.28974,µm^2,Segment,1,1,1,100000007,510000000934,
0.7129,µm^2,Segment,0,1,1,100000007,510000000950,
0.924079,µm^2,Segment,7,3,1,100000007,510000000959,
1.17369,µm^2,Segment,6,3,1,100000007,510000000967,
0.739721,µm^2,Segment,9,1,1,100000007,510000000973,
2.90109,µm^2,Segment,8,1,1,100000007,510000000999,
0.450231,µm^2,Segment,7,1,1,100000007,510000001004,
3.91862,µm^2,Segment,6,1,1,100000007,510000001059,
2.26357,µm^2,Segment,5,1,1,100000007,510000001081,
0.603381,µm^2,Segment,9,2,1,100000007,510000001083,
0.878106,µm^2,Segment,8,2,1,100000007,510000001093,
0.305511,µm^2,Segment,7,2,1,100000007,510000001095,
0.64035,µm^2,Segment,6,2,1,100000007,510000001102,
1.06194,µm^2,Segment,0,1,1,100000006,510000001127,
2.90743,µm^2,Segment,0,1,1,100000006,510000001173,
1.82389,µm^2,Segment,4,2,1,100000007,510000001200,
1.94282,µm^2,Segment,3,2,1,100000005,510000001220,
1.3063,µm^2,Segment,2,1,1,100000005,510000001231,
0.422849,µm^2,Segment,1,1,1,100000005,510000001235,
0.420502,µm^2,Segment,0,1,1,100000005,510000001245,
1.11358,µm^2,Segment,0,1,1,100000005,510000001283,
0.0862778,µm^2,Segment,0,1,1,100000006,510000001290,
0.367271,µm^2,Segment,1,2,1,100000007,510000001299,
0.460427,µm^2,Segment,0,1,1,100000007,510000001325,
0.740267,µm^2,Segment,2,2,1,100000007,510000001339,
0.507344,µm^2,Segment,1,2,1,100000004,510000001346,
1.74727,µm^2,Segment,0,1,1,100000004,510000001370,
0.39762,µm^2,Segment,3,2,1,100000007,510000001374,
0.917736,µm^2,Segment,3,1,1,100000005,510000001383,
1.48771,µm^2,Segment,1,1,1,100000004,510000001395,
0.387642,µm^2,Segment,0,1,1,100000007,510000001405,
1.24962,µm^2,Segment,2,2,1,100000005,510000001429,
0.806254,µm^2,Segment,1,2,1,100000007,510000001435,
0.439763,µm^2,Segment,1,1,1,100000007,510000001437,
0.742662,µm^2,Segment,1,2,1,100000005,510000001442,
0.372732,µm^2,Segment,0,1,1,100000007,510000001476,
0.652416,µm^2,Segment,0,1,1,100000005,510000001499,
0.137991,µm^2,Segment,0,1,1,100000004,510000001514,
