
Segment Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
50.8605,,Segment,1,7,Image 1,2,1,100000007,510000000800,
50.3579,,Segment,1,6,Image 1,2,1,100000007,510000000811,
1.05797,,Segment,1,5,Image 1,2,1,100000007,510000000868,
5.03639,,Segment,1,4,Image 1,1,1,100000007,510000000911,
2.16243,,Segment,1,3,Image 1,1,1,100000007,510000000915,
12.9341,,Segment,1,2,Image 1,1,1,100000007,510000000921,
11.8271,,Segment,1,1,Image 1,1,1,100000007,510000000934,
0.989882,,Segment,1,0,Image 1,1,1,100000007,510000000950,
53.0363,,Segment,1,7,Image 1,3,1,100000007,510000000959,
56.1654,,Segment,1,6,Image 1,3,1,100000007,510000000967,
0.887617,,Segment,1,9,Image 1,1,1,100000007,510000000973,
4.13621,,Segment,1,8,Image 1,1,1,100000007,510000000999,
1.55921,,Segment,1,7,Image 1,1,1,100000007,510000001004,
1.37194,,Segment,1,6,Image 1,1,1,100000007,510000001059,
1.35893,,Segment,1,5,Image 1,1,1,100000007,510000001081,
0.869881,,Segment,1,9,Image 1,2,1,100000007,510000001083,
0.984955,,Segment,1,8,Image 1,2,1,100000007,510000001093,
1.35926,,Segment,1,7,Image 1,2,1,100000007,510000001095,
3.84482,,Segment,1,6,Image 1,2,1,100000007,510000001102,
40.2503,,Segment,1,0,Image 1,1,1,100000006,510000001127,
6.16628,,Segment,1,0,Image 1,1,1,100000006,510000001173,
23.305,,Segment,1,4,Image 1,2,1,100000007,510000001200,
1.0565,,Segment,1,3,Image 1,2,1,100000005,510000001220,
2.07918,,Segment,1,2,Image 1,1,1,100000005,510000001231,
1.00719,,Segment,1,1,Image 1,1,1,100000005,510000001235,
1.35617,,Segment,1,0,Image 1,1,1,100000005,510000001245,
1.9142,,Segment,1,0,Image 1,1,1,100000005,510000001283,
0.739985,,Segment,1,0,Image 1,1,1,100000006,510000001290,
1.39269,,Segment,1,1,Image 1,2,1,100000007,510000001299,
2.78782,,Segment,1,0,Image 1,1,1,100000007,510000001325,
22.2491,,Segment,1,2,Image 1,2,1,100000007,510000001339,
0.901681,,Segment,1,1,Image 1,2,1,100000004,510000001346,
0.87582,,Segment,1,0,Image 1,1,1,100000004,510000001370,
2.18062,,Segment,1,3,Image 1,2,1,100000007,510000001374,
0.982003,,Segment,1,3,Image 1,1,1,100000005,510000001383,
0.864187,,Segment,1,1,Image 1,1,1,100000004,510000001395,
0.980399,,Segment,1,0,Image 1,1,1,100000007,510000001405,
1.29062,,Segment,1,2,Image 1,2,1,100000005,510000001429,
3.39647,,Segment,1,1,Image 1,2,1,100000007,510000001435,
1.42603,,Segment,1,1,Image 1,1,1,100000007,510000001437,
1.48551,,Segment,1,1,Image 1,2,1,100000005,510000001442,
1.00056,,Segment,1,0,Image 1,1,1,100000007,510000001476,
0.926547,,Segment,1,0,Image 1,1,1,100000005,510000001499,
1.02,,Segment,1,0,Image 1,1,1,100000004,510000001514,
