
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-10.803,38.6389,µm^3,Cumulative Volume Inside,Image 1,1,,
-10.249,153.167,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.695,389.597,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.141,763.57,µm^3,Cumulative Volume Inside,Image 1,1,,
-8.587,1278.42,µm^3,Cumulative Volume Inside,Image 1,1,,
-8.033,1946.64,µm^3,Cumulative Volume Inside,Image 1,1,,
-7.479,2784.53,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.925,3814.35,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.371,5067.51,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.817,6605.36,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.263,8466.51,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.709,10499.6,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.155,12747.4,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.601,15257,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.047,18063.9,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.493,21180.6,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.939,24599.7,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.385,28426.6,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.831,32771.8,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.277,37608.3,µm^3,Cumulative Volume Inside,Image 1,1,,
