
Segment Center Intensity Sum Ch=1 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2289,,Segment,1,2,Image 1,2,1,100000000,510000000119,
1114,,Segment,1,1,Image 1,1,1,100000000,510000000150,
1249,,Segment,1,0,Image 1,1,1,100000000,510000000180,
1389,,Segment,1,4,Image 1,3,1,100000000,510000000203,
2877,,Segment,1,3,Image 1,2,1,100000000,510000000246,
888,,Segment,1,2,Image 1,2,1,100000000,510000000254,
225,,Segment,1,1,Image 1,2,1,100000000,510000000292,
452,,Segment,1,0,Image 1,1,1,100000000,510000000308,
800,,Segment,1,4,Image 1,3,1,100000000,510000000369,
1104,,Segment,1,2,Image 1,2,1,100000000,510000000394,
2836,,Segment,1,1,Image 1,2,1,100000000,510000000452,
521,,Segment,1,0,Image 1,1,1,100000000,510000000470,
1520,,Segment,1,8,Image 1,2,1,100000000,510000000504,
406,,Segment,1,7,Image 1,2,1,100000000,510000000509,
951,,Segment,1,6,Image 1,2,1,100000000,510000000526,
1351,,Segment,1,5,Image 1,2,1,100000000,510000000547,
2726,,Segment,1,4,Image 1,2,1,100000000,510000000592,
575,,Segment,1,3,Image 1,3,1,100000000,510000000649,
366,,Segment,1,6,Image 1,3,1,100000000,510000000659,
493,,Segment,1,8,Image 1,3,1,100000000,510000000674,
234,,Segment,1,7,Image 1,3,1,100000000,510000000677,
1322,,Segment,1,4,Image 1,4,1,100000000,510000000721,
680,,Segment,1,3,Image 1,3,1,100000000,510000000725,
242,,Segment,1,2,Image 1,3,1,100000000,510000000733,
223,,Segment,1,5,Image 1,3,1,100000000,510000000737,
310,,Segment,1,6,Image 1,2,1,100000001,510000000762,
839,,Segment,1,5,Image 1,1,1,100000001,510000000777,
1417,,Segment,1,4,Image 1,1,1,100000001,510000000793,
702,,Segment,1,3,Image 1,1,1,100000001,510000000807,
1460,,Segment,1,2,Image 1,1,1,100000001,510000000829,
321,,Segment,1,1,Image 1,1,1,100000001,510000000832,
2941,,Segment,1,0,Image 1,1,1,100000001,510000000884,
849,,Segment,1,1,Image 1,1,1,100000000,510000000947,
188,,Segment,1,2,Image 1,3,1,100000000,510000000956,
948,,Segment,1,4,Image 1,2,1,100000000,510000000969,
1304,,Segment,1,4,Image 1,3,1,100000000,510000000995,
448,,Segment,1,3,Image 1,3,1,100000000,510000001004,
1860,,Segment,1,0,Image 1,1,1,100000000,510000001066,
508,,Segment,1,4,Image 1,2,1,100000001,510000001085,
877,,Segment,1,5,Image 1,6,1,100000000,510000001100,
613,,Segment,1,4,Image 1,5,1,100000000,510000001115,
1222,,Segment,1,3,Image 1,4,1,100000000,510000001136,
452,,Segment,1,5,Image 1,5,1,100000000,510000001146,
1214,,Segment,1,4,Image 1,1,1,100000000,510000001159,
2201,,Segment,1,3,Image 1,1,1,100000000,510000001182,
259,,Segment,1,2,Image 1,1,1,100000000,510000001189,
705,,Segment,1,4,Image 1,2,1,100000000,510000001197,
490,,Segment,1,6,Image 1,1,1,100000001,510000001211,
2258,,Segment,1,3,Image 1,2,1,100000001,510000001275,
250,,Segment,1,2,Image 1,1,1,100000001,510000001280,
919,,Segment,1,1,Image 1,1,1,100000001,510000001292,
829,,Segment,1,0,Image 1,1,1,100000001,510000001310,
287,,Segment,1,3,Image 1,2,1,100000000,510000001314,
261,,Segment,1,4,Image 1,4,1,100000000,510000001319,
790,,Segment,1,6,Image 1,3,1,100000001,510000001325,
252,,Segment,1,5,Image 1,2,1,100000001,510000001327,
480,,Segment,1,6,Image 1,2,1,100000001,510000001331,
564,,Segment,1,2,Image 1,3,1,100000001,510000001344,
1603,,Segment,1,1,Image 1,2,1,100000001,510000001373,
376,,Segment,1,0,Image 1,1,1,100000001,510000001376,
640,,Segment,1,4,Image 1,3,1,100000001,510000001409,
475,,Segment,1,3,Image 1,2,1,100000001,510000001417,
397,,Segment,1,4,Image 1,2,1,100000001,510000001425,
334,,Segment,1,3,Image 1,3,1,100000001,510000001429,
1184,,Segment,1,2,Image 1,2,1,100000001,510000001446,
235,,Segment,1,3,Image 1,2,1,100000001,510000001449,
364,,Segment,1,3,Image 1,2,1,100000001,510000001458,
1143,,Segment,1,2,Image 1,1,1,100000001,510000001480,
505,,Segment,1,1,Image 1,1,1,100000001,510000001484,
375,,Segment,1,1,Image 1,2,1,100000000,510000001499,
1722,,Segment,1,3,Image 1,3,1,100000001,510000001527,
758,,Segment,1,2,Image 1,2,1,100000001,510000001536,
1237,,Segment,1,2,Image 1,2,1,100000001,510000001556,
313,,Segment,1,0,Image 1,1,1,100000000,510000001572,
1706,,Segment,1,4,Image 1,2,1,100000001,510000001598,
772,,Segment,1,3,Image 1,1,1,100000001,510000001615,
444,,Segment,1,4,Image 1,1,1,100000001,510000001622,
161,,Segment,1,1,Image 1,2,1,100000001,510000001624,
144,,Segment,1,4,Image 1,3,1,100000001,510000001629,
402,,Segment,1,3,Image 1,2,1,100000001,510000001631,
452,,Segment,1,4,Image 1,2,1,100000001,510000001636,
369,,Segment,1,3,Image 1,1,1,100000001,510000001643,
1115,,Segment,1,1,Image 1,1,1,100000000,510000001661,
1393,,Segment,1,0,Image 1,1,1,100000001,510000001684,
241,,Segment,1,0,Image 1,1,1,100000000,510000001696,
2873,,Segment,1,0,Image 1,1,1,100000001,510000001723,
277,,Segment,1,2,Image 1,2,1,100000001,510000001734,
240,,Segment,1,1,Image 1,2,1,100000001,510000001737,
429,,Segment,1,0,Image 1,1,1,100000001,510000001747,
174,,Segment,1,0,Image 1,1,1,100000001,510000001765,
207,,Segment,1,2,Image 1,2,1,100000001,510000001768,
678,,Segment,1,0,Image 1,1,1,100000001,510000001787,
52,,Segment,1,3,Image 1,2,1,100000000,510000001790,
189,,Segment,1,2,Image 1,3,1,100000001,510000001795,
