
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
667,,Segment,5,2,Image 1,2,1,100000000,510000000119,
200,,Segment,5,1,Image 1,1,1,100000000,510000000150,
406,,Segment,5,0,Image 1,1,1,100000000,510000000180,
472,,Segment,5,4,Image 1,3,1,100000000,510000000203,
888,,Segment,5,3,Image 1,2,1,100000000,510000000246,
286,,Segment,5,2,Image 1,2,1,100000000,510000000254,
196,,Segment,5,1,Image 1,2,1,100000000,510000000292,
170,,Segment,5,0,Image 1,1,1,100000000,510000000308,
471,,Segment,5,4,Image 1,3,1,100000000,510000000369,
413,,Segment,5,2,Image 1,2,1,100000000,510000000394,
827,,Segment,5,1,Image 1,2,1,100000000,510000000452,
575,,Segment,5,0,Image 1,1,1,100000000,510000000470,
488,,Segment,5,8,Image 1,2,1,100000000,510000000504,
172,,Segment,5,7,Image 1,2,1,100000000,510000000509,
202,,Segment,5,6,Image 1,2,1,100000000,510000000526,
435,,Segment,5,5,Image 1,2,1,100000000,510000000547,
724,,Segment,5,4,Image 1,2,1,100000000,510000000592,
216,,Segment,5,3,Image 1,3,1,100000000,510000000649,
67,,Segment,5,6,Image 1,3,1,100000000,510000000659,
196,,Segment,5,8,Image 1,3,1,100000000,510000000674,
186,,Segment,5,7,Image 1,3,1,100000000,510000000677,
655,,Segment,5,4,Image 1,4,1,100000000,510000000721,
269,,Segment,5,3,Image 1,3,1,100000000,510000000725,
159,,Segment,5,2,Image 1,3,1,100000000,510000000733,
140,,Segment,5,5,Image 1,3,1,100000000,510000000737,
222,,Segment,5,6,Image 1,2,1,100000001,510000000762,
506,,Segment,5,5,Image 1,1,1,100000001,510000000777,
657,,Segment,5,4,Image 1,1,1,100000001,510000000793,
248,,Segment,5,3,Image 1,1,1,100000001,510000000807,
561,,Segment,5,2,Image 1,1,1,100000001,510000000829,
251,,Segment,5,1,Image 1,1,1,100000001,510000000832,
878,,Segment,5,0,Image 1,1,1,100000001,510000000884,
322,,Segment,5,1,Image 1,1,1,100000000,510000000947,
149,,Segment,5,2,Image 1,3,1,100000000,510000000956,
566,,Segment,5,4,Image 1,2,1,100000000,510000000969,
553,,Segment,5,4,Image 1,3,1,100000000,510000000995,
205,,Segment,5,3,Image 1,3,1,100000000,510000001004,
880,,Segment,5,0,Image 1,1,1,100000000,510000001066,
128,,Segment,5,4,Image 1,2,1,100000001,510000001085,
182,,Segment,5,5,Image 1,6,1,100000000,510000001100,
153,,Segment,5,4,Image 1,5,1,100000000,510000001115,
363,,Segment,5,3,Image 1,4,1,100000000,510000001136,
123,,Segment,5,5,Image 1,5,1,100000000,510000001146,
244,,Segment,5,4,Image 1,1,1,100000000,510000001159,
500,,Segment,5,3,Image 1,1,1,100000000,510000001182,
90,,Segment,5,2,Image 1,1,1,100000000,510000001189,
187,,Segment,5,4,Image 1,2,1,100000000,510000001197,
137,,Segment,5,6,Image 1,1,1,100000001,510000001211,
713,,Segment,5,3,Image 1,2,1,100000001,510000001275,
217,,Segment,5,2,Image 1,1,1,100000001,510000001280,
315,,Segment,5,1,Image 1,1,1,100000001,510000001292,
289,,Segment,5,0,Image 1,1,1,100000001,510000001310,
137,,Segment,5,3,Image 1,2,1,100000000,510000001314,
268,,Segment,5,4,Image 1,4,1,100000000,510000001319,
258,,Segment,5,6,Image 1,3,1,100000001,510000001325,
128,,Segment,5,5,Image 1,2,1,100000001,510000001327,
401,,Segment,5,6,Image 1,2,1,100000001,510000001331,
115,,Segment,5,2,Image 1,3,1,100000001,510000001344,
774,,Segment,5,1,Image 1,2,1,100000001,510000001373,
499,,Segment,5,0,Image 1,1,1,100000001,510000001376,
321,,Segment,5,4,Image 1,3,1,100000001,510000001409,
145,,Segment,5,3,Image 1,2,1,100000001,510000001417,
277,,Segment,5,4,Image 1,2,1,100000001,510000001425,
132,,Segment,5,3,Image 1,3,1,100000001,510000001429,
447,,Segment,5,2,Image 1,2,1,100000001,510000001446,
125,,Segment,5,3,Image 1,2,1,100000001,510000001449,
264,,Segment,5,3,Image 1,2,1,100000001,510000001458,
305,,Segment,5,2,Image 1,1,1,100000001,510000001480,
491,,Segment,5,1,Image 1,1,1,100000001,510000001484,
166,,Segment,5,1,Image 1,2,1,100000000,510000001499,
477,,Segment,5,3,Image 1,3,1,100000001,510000001527,
260,,Segment,5,2,Image 1,2,1,100000001,510000001536,
545,,Segment,5,2,Image 1,2,1,100000001,510000001556,
125,,Segment,5,0,Image 1,1,1,100000000,510000001572,
532,,Segment,5,4,Image 1,2,1,100000001,510000001598,
362,,Segment,5,3,Image 1,1,1,100000001,510000001615,
284,,Segment,5,4,Image 1,1,1,100000001,510000001622,
180,,Segment,5,1,Image 1,2,1,100000001,510000001624,
91,,Segment,5,4,Image 1,3,1,100000001,510000001629,
151,,Segment,5,3,Image 1,2,1,100000001,510000001631,
239,,Segment,5,4,Image 1,2,1,100000001,510000001636,
119,,Segment,5,3,Image 1,1,1,100000001,510000001643,
541,,Segment,5,1,Image 1,1,1,100000000,510000001661,
468,,Segment,5,0,Image 1,1,1,100000001,510000001684,
109,,Segment,5,0,Image 1,1,1,100000000,510000001696,
906,,Segment,5,0,Image 1,1,1,100000001,510000001723,
131,,Segment,5,2,Image 1,2,1,100000001,510000001734,
130,,Segment,5,1,Image 1,2,1,100000001,510000001737,
455,,Segment,5,0,Image 1,1,1,100000001,510000001747,
20,,Segment,5,0,Image 1,1,1,100000001,510000001765,
34,,Segment,5,2,Image 1,2,1,100000001,510000001768,
294,,Segment,5,0,Image 1,1,1,100000001,510000001787,
8,,Segment,5,3,Image 1,2,1,100000000,510000001790,
82,,Segment,5,2,Image 1,3,1,100000001,510000001795,
