
Spine Attachment Pt Position X
 ==================== 
Spine Attachment Pt Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1127.88,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000001959,
1058.53,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000002033,
1127.71,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000002079,
1067.37,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000002168,
1094.99,µm,Spine,Spine Attachment Pt Position,4,1,1,100000001,610000002218,
1072.55,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000002226,
1124.59,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000002235,
1156.81,µm,Spine,Spine Attachment Pt Position,5,5,1,100000000,610000002244,
1125.95,µm,Spine,Spine Attachment Pt Position,3,2,1,100000000,610000002264,
1075.67,µm,Spine,Spine Attachment Pt Position,2,1,1,100000001,610000002330,
1077.63,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000002333,
1073.32,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000002349,
1077.3,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000002358,
1076.54,µm,Spine,Spine Attachment Pt Position,2,1,1,100000001,610000002370,
1083.92,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000002399,
1077.86,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002464,
1124.56,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000002464,
1091.18,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000002465,
1120.85,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000002465,
1120.09,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000002466,
1098.88,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000002466,
1096.14,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000002467,
1118.54,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000002467,
1118.03,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000002468,
1150.47,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000002469,
1059.13,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000002469,
1151.36,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000002470,
1074.46,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000002471,
1159.05,µm,Spine,Spine Attachment Pt Position,8,2,1,,610000002471,
1156.18,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000002472,
1076.59,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000002472,
1152.39,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000002473,
1076.46,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000002473,
1076.47,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000002474,
1151.01,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000002474,
1076.83,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000002475,
1153.94,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000002476,
1082.98,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000002476,
1076.85,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002477,
1077.34,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002478,
