
Spine Intensity StdDev Ch=4 Img=1
 ==================== 
Spine Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
48.1176,,Spine,4,0,Image 1,1,1,100000000,610000001959,
39.2533,,Spine,4,3,Image 1,2,1,100000001,610000001982,
54.8412,,Spine,4,3,Image 1,3,1,100000000,610000002000,
55.1395,,Spine,4,3,Image 1,3,1,100000000,610000002017,
35.7329,,Spine,4,3,Image 1,2,1,100000001,610000002033,
46.3955,,Spine,4,0,Image 1,1,1,100000000,610000002050,
44.1259,,Spine,4,0,Image 1,1,1,100000000,610000002065,
50.6038,,Spine,4,0,Image 1,1,1,100000000,610000002079,
31.6895,,Spine,4,5,Image 1,2,1,100000000,610000002099,
32.4127,,Spine,4,5,Image 1,2,1,100000000,610000002115,
34.308,,Spine,4,5,Image 1,2,1,100000000,610000002130,
34.0326,,Spine,4,5,Image 1,2,1,100000000,610000002145,
33.4112,,Spine,4,5,Image 1,2,1,100000000,610000002159,
31.8476,,Spine,4,1,Image 1,1,1,100000001,610000002168,
62.8073,,Spine,4,0,Image 1,1,1,100000001,610000002177,
63.0272,,Spine,4,0,Image 1,1,1,100000001,610000002185,
48.9897,,Spine,4,4,Image 1,1,1,100000001,610000002194,
47.8863,,Spine,4,4,Image 1,1,1,100000001,610000002202,
46.2563,,Spine,4,4,Image 1,1,1,100000001,610000002210,
49.8156,,Spine,4,4,Image 1,1,1,100000001,610000002218,
50.2174,,Spine,4,0,Image 1,1,1,100000001,610000002226,
45.2401,,Spine,4,0,Image 1,1,1,100000000,610000002232,
36.6663,,Spine,4,0,Image 1,1,1,100000000,610000002235,
32.3465,,Spine,4,5,Image 1,5,1,100000000,610000002241,
31.5254,,Spine,4,5,Image 1,5,1,100000000,610000002244,
64.4773,,Spine,4,0,Image 1,1,1,100000001,610000002260,
41.2049,,Spine,4,3,Image 1,2,1,100000000,610000002264,
43.9382,,Spine,4,0,Image 1,1,1,100000001,610000002272,
65.1975,,Spine,4,0,Image 1,1,1,100000001,610000002283,
34.48,,Spine,4,3,Image 1,2,1,100000001,610000002295,
34.7917,,Spine,4,3,Image 1,2,1,100000001,610000002304,
34.9071,,Spine,4,3,Image 1,2,1,100000001,610000002312,
32.3815,,Spine,4,3,Image 1,2,1,100000001,610000002318,
53.7046,,Spine,4,4,Image 1,3,1,100000000,610000002326,
24.8023,,Spine,4,2,Image 1,1,1,100000001,610000002330,
64.612,,Spine,4,0,Image 1,1,1,100000001,610000002333,
26.1395,,Spine,4,0,Image 1,1,1,100000001,610000002338,
26.8453,,Spine,4,0,Image 1,1,1,100000000,610000002342,
20.619,,Spine,4,0,Image 1,1,1,100000001,610000002345,
38.0822,,Spine,4,0,Image 1,1,1,100000001,610000002349,
28.3417,,Spine,4,0,Image 1,1,1,100000000,610000002355,
35.7396,,Spine,4,0,Image 1,1,1,100000001,610000002358,
17.7295,,Spine,4,0,Image 1,1,1,100000001,610000002360,
33.1135,,Spine,4,0,Image 1,1,1,100000000,610000002363,
28.1172,,Spine,4,0,Image 1,1,1,100000000,610000002365,
24.6796,,Spine,4,0,Image 1,1,1,100000000,610000002367,
34.0509,,Spine,4,2,Image 1,1,1,100000001,610000002370,
32.5206,,Spine,4,4,Image 1,2,1,100000000,610000002373,
33.9,,Spine,4,0,Image 1,1,1,100000000,610000002376,
34.6742,,Spine,4,0,Image 1,1,1,100000000,610000002381,
34.9086,,Spine,4,0,Image 1,1,1,100000000,610000002387,
35.8535,,Spine,4,0,Image 1,1,1,100000001,610000002389,
29.9436,,Spine,4,0,Image 1,1,1,100000000,610000002393,
40.1474,,Spine,4,2,Image 1,2,1,100000001,610000002399,
29.3219,,Spine,4,0,Image 1,1,1,100000000,610000002401,
29.957,,Spine,4,0,Image 1,1,1,100000001,610000002404,
51.4011,,Spine,4,4,Image 1,3,1,100000000,610000002412,
34.4821,,Spine,4,4,Image 1,2,1,100000000,610000002426,
23.3809,,Spine,4,1,Image 1,2,1,100000000,610000002427,
63.9215,,Spine,4,4,Image 1,3,1,100000000,610000002430,
63.3537,,Spine,4,4,Image 1,3,1,100000000,610000002431,
41.13,,Spine,4,8,Image 1,2,1,100000000,610000002432,
24.6957,,Spine,4,5,Image 1,2,1,100000000,610000002433,
35.0661,,Spine,4,5,Image 1,2,1,100000000,610000002434,
50.2707,,Spine,4,4,Image 1,2,1,100000000,610000002435,
42.3401,,Spine,4,4,Image 1,4,1,100000000,610000002436,
52.9215,,Spine,4,4,Image 1,3,1,100000000,610000002437,
26.4536,,Spine,4,3,Image 1,2,1,100000000,610000002443,
22.3551,,Spine,4,3,Image 1,2,1,100000000,610000002444,
52.5047,,Spine,4,3,Image 1,3,1,100000000,610000002445,
24.9519,,Spine,4,6,Image 1,2,1,100000001,610000002446,
48.0319,,Spine,4,5,Image 1,1,1,100000001,610000002447,
50.5772,,Spine,4,2,Image 1,1,1,100000001,610000002448,
42.9072,,Spine,4,0,Image 1,1,1,100000001,610000002449,
