
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
132,,Segment,1,3,Image 1,3,1,100000002,510000000048,
124,,Segment,1,2,Image 1,3,1,100000002,510000000077,
142,,Segment,1,1,Image 1,2,1,100000002,510000000109,
127,,Segment,1,0,Image 1,1,1,100000002,510000000132,
96,,Segment,1,1,Image 1,2,1,100000002,510000000184,
109,,Segment,1,0,Image 1,1,1,100000002,510000000246,
98,,Segment,1,3,Image 1,3,1,100000002,510000000295,
60,,Segment,1,2,Image 1,2,1,100000002,510000000319,
38,,Segment,1,1,Image 1,1,1,100000002,510000000331,
134,,Segment,1,2,Image 1,3,1,100000000,510000000412,
100,,Segment,1,1,Image 1,2,1,100000000,510000000420,
136,,Segment,1,0,Image 1,1,1,100000000,510000000446,
135,,Segment,1,4,Image 1,2,1,100000001,510000000481,
116,,Segment,1,3,Image 1,1,1,100000001,510000000520,
122,,Segment,1,2,Image 1,1,1,100000001,510000000537,
172,,Segment,1,1,Image 1,1,1,100000001,510000000584,
139,,Segment,1,0,Image 1,1,1,100000001,510000000597,
95,,Segment,1,3,Image 1,2,1,100000002,510000000620,
100,,Segment,1,2,Image 1,1,1,100000002,510000000648,
98,,Segment,1,3,Image 1,2,1,100000000,510000000666,
107,,Segment,1,2,Image 1,2,1,100000001,510000000702,
85,,Segment,1,1,Image 1,1,1,100000001,510000000705,
131,,Segment,1,0,Image 1,1,1,100000001,510000000723,
105,,Segment,1,3,Image 1,3,1,100000002,510000000740,
112,,Segment,1,2,Image 1,2,1,100000002,510000000765,
161,,Segment,1,3,Image 1,3,1,100000000,510000000805,
116,,Segment,1,2,Image 1,2,1,100000000,510000000825,
96,,Segment,1,1,Image 1,2,1,100000000,510000000855,
128,,Segment,1,0,Image 1,1,1,100000000,510000000890,
90,,Segment,1,2,Image 1,3,1,100000001,510000000907,
125,,Segment,1,1,Image 1,2,1,100000001,510000000956,
162,,Segment,1,0,Image 1,1,1,100000001,510000001000,
75,,Segment,1,1,Image 1,1,1,100000003,510000001002,
103,,Segment,1,0,Image 1,1,1,100000003,510000001114,
119,,Segment,1,1,Image 1,2,1,100000003,510000001130,
122,,Segment,1,2,Image 1,2,1,100000001,510000001133,
140,,Segment,1,2,Image 1,3,1,100000003,510000001218,
127,,Segment,1,1,Image 1,2,1,100000003,510000001229,
142,,Segment,1,0,Image 1,1,1,100000003,510000001252,
153,,Segment,1,0,Image 1,1,1,100000000,510000001329,
138,,Segment,1,4,Image 1,3,1,100000003,510000001355,
155,,Segment,1,3,Image 1,2,1,100000003,510000001367,
95,,Segment,1,2,Image 1,1,1,100000003,510000001379,
85,,Segment,1,1,Image 1,1,1,100000003,510000001383,
118,,Segment,1,0,Image 1,1,1,100000003,510000001412,
111,,Segment,1,4,Image 1,3,1,100000002,510000001434,
124,,Segment,1,3,Image 1,2,1,100000002,510000001439,
67,,Segment,1,3,Image 1,4,1,100000002,510000001455,
106,,Segment,1,3,Image 1,2,1,100000001,510000001486,
107,,Segment,1,3,Image 1,3,1,100000000,510000001525,
131,,Segment,1,3,Image 1,2,1,100000000,510000001531,
161,,Segment,1,2,Image 1,3,1,100000000,510000001537,
