
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
51.9524,,Segment,1,3,Image 1,3,1,100000002,510000000048,
61.6,,Segment,1,2,Image 1,3,1,100000002,510000000077,
62.9091,,Segment,1,1,Image 1,2,1,100000002,510000000109,
37.4348,,Segment,1,0,Image 1,1,1,100000002,510000000132,
15.4167,,Segment,1,1,Image 1,2,1,100000002,510000000184,
21.92,,Segment,1,0,Image 1,1,1,100000002,510000000246,
27.2093,,Segment,1,3,Image 1,3,1,100000002,510000000295,
7.8,,Segment,1,2,Image 1,2,1,100000002,510000000319,
22.1,,Segment,1,1,Image 1,1,1,100000002,510000000331,
17.8025,,Segment,1,2,Image 1,3,1,100000000,510000000412,
53.2222,,Segment,1,1,Image 1,2,1,100000000,510000000420,
92.8077,,Segment,1,0,Image 1,1,1,100000000,510000000446,
46.8421,,Segment,1,4,Image 1,2,1,100000001,510000000481,
58.975,,Segment,1,3,Image 1,1,1,100000001,510000000520,
80,,Segment,1,2,Image 1,1,1,100000001,510000000537,
96.3958,,Segment,1,1,Image 1,1,1,100000001,510000000584,
129.167,,Segment,1,0,Image 1,1,1,100000001,510000000597,
49.9286,,Segment,1,3,Image 1,2,1,100000002,510000000620,
15.9655,,Segment,1,2,Image 1,1,1,100000002,510000000648,
42.9474,,Segment,1,3,Image 1,2,1,100000000,510000000666,
36.5,,Segment,1,2,Image 1,2,1,100000001,510000000702,
68,,Segment,1,1,Image 1,1,1,100000001,510000000705,
80.2143,,Segment,1,0,Image 1,1,1,100000001,510000000723,
53.2667,,Segment,1,3,Image 1,3,1,100000002,510000000740,
41.7692,,Segment,1,2,Image 1,2,1,100000002,510000000765,
28.439,,Segment,1,3,Image 1,3,1,100000000,510000000805,
67.4762,,Segment,1,2,Image 1,2,1,100000000,510000000825,
39.5161,,Segment,1,1,Image 1,2,1,100000000,510000000855,
49.5357,,Segment,1,0,Image 1,1,1,100000000,510000000890,
40.5,,Segment,1,2,Image 1,3,1,100000001,510000000907,
24.4,,Segment,1,1,Image 1,2,1,100000001,510000000956,
80.3333,,Segment,1,0,Image 1,1,1,100000001,510000001000,
53.3333,,Segment,1,1,Image 1,1,1,100000003,510000001002,
53.1771,,Segment,1,0,Image 1,1,1,100000003,510000001114,
101.333,,Segment,1,1,Image 1,2,1,100000003,510000001130,
86,,Segment,1,2,Image 1,2,1,100000001,510000001133,
47.0698,,Segment,1,2,Image 1,3,1,100000003,510000001218,
93,,Segment,1,1,Image 1,2,1,100000003,510000001229,
93.9375,,Segment,1,0,Image 1,1,1,100000003,510000001252,
38.6479,,Segment,1,0,Image 1,1,1,100000000,510000001329,
51.0714,,Segment,1,4,Image 1,3,1,100000003,510000001355,
112.538,,Segment,1,3,Image 1,2,1,100000003,510000001367,
68.4615,,Segment,1,2,Image 1,1,1,100000003,510000001379,
79.4,,Segment,1,1,Image 1,1,1,100000003,510000001383,
89.1875,,Segment,1,0,Image 1,1,1,100000003,510000001412,
17.4348,,Segment,1,4,Image 1,3,1,100000002,510000001434,
87,,Segment,1,3,Image 1,2,1,100000002,510000001439,
21.8824,,Segment,1,3,Image 1,4,1,100000002,510000001455,
39.625,,Segment,1,3,Image 1,2,1,100000001,510000001486,
22.25,,Segment,1,3,Image 1,3,1,100000000,510000001525,
59.5714,,Segment,1,3,Image 1,2,1,100000000,510000001531,
55.2857,,Segment,1,2,Image 1,3,1,100000000,510000001537,
50.73,,Segment,1,1,Image 1,2,1,100000001,510000001637,
34.2727,,Segment,1,0,Image 1,1,1,100000002,510000001653,
49.7143,,Segment,1,4,Image 1,2,1,100000002,510000001667,
52.4,,Segment,1,4,Image 1,1,1,100000001,510000001676,
44.8,,Segment,1,2,Image 1,2,1,100000001,510000001680,
48.1429,,Segment,1,4,Image 1,2,1,100000003,510000001735,
67.6,,Segment,1,1,Image 1,1,1,100000002,510000001739,
41.4,,Segment,1,1,Image 1,2,1,100000001,510000001763,
86.75,,Segment,1,0,Image 1,1,1,100000001,510000001790,
57.75,,Segment,1,1,Image 1,1,1,100000000,510000001797,
42.7059,,Segment,1,0,Image 1,1,1,100000002,510000001817,
42.4286,,Segment,1,4,Image 1,3,1,100000003,510000001823,
33.8,,Segment,1,3,Image 1,3,1,100000003,510000001837,
107,,Segment,1,2,Image 1,2,1,100000003,510000001840,
23.4,,Segment,1,4,Image 1,4,1,100000003,510000001844,
37.125,,Segment,1,0,Image 1,1,1,100000000,510000001853,
63.8824,,Segment,1,4,Image 1,2,1,100000003,510000001920,
70,,Segment,1,3,Image 1,1,1,100000003,510000001929,
49,,Segment,1,4,Image 1,1,1,100000003,510000001932,
56,,Segment,1,2,Image 1,2,1,100000003,510000001937,
75.4545,,Segment,1,1,Image 1,2,1,100000003,510000001947,
98.1429,,Segment,1,0,Image 1,1,1,100000002,510000001960,
57.7826,,Segment,1,3,Image 1,1,1,100000001,510000001991,
46.9231,,Segment,1,2,Image 1,1,1,100000001,510000002003,
99.1176,,Segment,1,1,Image 1,1,1,100000001,510000002053,
11.75,,Segment,1,3,Image 1,2,1,100000001,510000002056,
65.1818,,Segment,1,4,Image 1,2,1,100000003,510000002066,
