
Segment Number of Voxel Ch=1 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
446,,Segment,1,3,Image 1,3,1,100000002,510000000048,
311,,Segment,1,2,Image 1,3,1,100000002,510000000077,
532,,Segment,1,1,Image 1,2,1,100000002,510000000109,
212,,Segment,1,0,Image 1,1,1,100000002,510000000132,
156,,Segment,1,1,Image 1,2,1,100000002,510000000184,
410,,Segment,1,0,Image 1,1,1,100000002,510000000246,
336,,Segment,1,3,Image 1,3,1,100000002,510000000295,
95,,Segment,1,2,Image 1,2,1,100000002,510000000319,
127,,Segment,1,1,Image 1,1,1,100000002,510000000331,
393,,Segment,1,2,Image 1,3,1,100000000,510000000412,
95,,Segment,1,1,Image 1,2,1,100000000,510000000420,
425,,Segment,1,0,Image 1,1,1,100000000,510000000446,
210,,Segment,1,4,Image 1,2,1,100000001,510000000481,
508,,Segment,1,3,Image 1,1,1,100000001,510000000520,
475,,Segment,1,2,Image 1,1,1,100000001,510000000537,
758,,Segment,1,1,Image 1,1,1,100000001,510000000584,
231,,Segment,1,0,Image 1,1,1,100000001,510000000597,
301,,Segment,1,3,Image 1,2,1,100000002,510000000620,
144,,Segment,1,2,Image 1,1,1,100000002,510000000648,
304,,Segment,1,3,Image 1,2,1,100000000,510000000666,
711,,Segment,1,2,Image 1,2,1,100000001,510000000702,
161,,Segment,1,1,Image 1,1,1,100000001,510000000705,
323,,Segment,1,0,Image 1,1,1,100000001,510000000723,
206,,Segment,1,3,Image 1,3,1,100000002,510000000740,
350,,Segment,1,2,Image 1,2,1,100000002,510000000765,
328,,Segment,1,3,Image 1,3,1,100000000,510000000805,
240,,Segment,1,2,Image 1,2,1,100000000,510000000825,
227,,Segment,1,1,Image 1,2,1,100000000,510000000855,
206,,Segment,1,0,Image 1,1,1,100000000,510000000890,
291,,Segment,1,2,Image 1,3,1,100000001,510000000907,
448,,Segment,1,1,Image 1,2,1,100000001,510000000956,
465,,Segment,1,0,Image 1,1,1,100000001,510000001000,
173,,Segment,1,1,Image 1,1,1,100000003,510000001002,
1127,,Segment,1,0,Image 1,1,1,100000003,510000001114,
80,,Segment,1,1,Image 1,2,1,100000003,510000001130,
162,,Segment,1,2,Image 1,2,1,100000001,510000001133,
587,,Segment,1,2,Image 1,3,1,100000003,510000001218,
272,,Segment,1,1,Image 1,2,1,100000003,510000001229,
332,,Segment,1,0,Image 1,1,1,100000003,510000001252,
567,,Segment,1,0,Image 1,1,1,100000000,510000001329,
100,,Segment,1,4,Image 1,3,1,100000003,510000001355,
359,,Segment,1,3,Image 1,2,1,100000003,510000001367,
434,,Segment,1,2,Image 1,1,1,100000003,510000001379,
414,,Segment,1,1,Image 1,1,1,100000003,510000001383,
709,,Segment,1,0,Image 1,1,1,100000003,510000001412,
344,,Segment,1,4,Image 1,3,1,100000002,510000001434,
180,,Segment,1,3,Image 1,2,1,100000002,510000001439,
348,,Segment,1,3,Image 1,4,1,100000002,510000001455,
451,,Segment,1,3,Image 1,2,1,100000001,510000001486,
251,,Segment,1,3,Image 1,3,1,100000000,510000001525,
139,,Segment,1,3,Image 1,2,1,100000000,510000001531,
159,,Segment,1,2,Image 1,3,1,100000000,510000001537,
1254,,Segment,1,1,Image 1,2,1,100000001,510000001637,
115,,Segment,1,0,Image 1,1,1,100000002,510000001653,
279,,Segment,1,4,Image 1,2,1,100000002,510000001667,
127,,Segment,1,4,Image 1,1,1,100000001,510000001676,
220,,Segment,1,2,Image 1,2,1,100000001,510000001680,
623,,Segment,1,4,Image 1,2,1,100000003,510000001735,
114,,Segment,1,1,Image 1,1,1,100000002,510000001739,
457,,Segment,1,1,Image 1,2,1,100000001,510000001763,
868,,Segment,1,0,Image 1,1,1,100000001,510000001790,
133,,Segment,1,1,Image 1,1,1,100000000,510000001797,
158,,Segment,1,0,Image 1,1,1,100000002,510000001817,
217,,Segment,1,4,Image 1,3,1,100000003,510000001823,
169,,Segment,1,3,Image 1,3,1,100000003,510000001837,
119,,Segment,1,2,Image 1,2,1,100000003,510000001840,
125,,Segment,1,4,Image 1,4,1,100000003,510000001844,
133,,Segment,1,0,Image 1,1,1,100000000,510000001853,
1439,,Segment,1,4,Image 1,2,1,100000003,510000001920,
362,,Segment,1,3,Image 1,1,1,100000003,510000001929,
180,,Segment,1,4,Image 1,1,1,100000003,510000001932,
327,,Segment,1,2,Image 1,2,1,100000003,510000001937,
420,,Segment,1,1,Image 1,2,1,100000003,510000001947,
678,,Segment,1,0,Image 1,1,1,100000002,510000001960,
388,,Segment,1,3,Image 1,1,1,100000001,510000001991,
256,,Segment,1,2,Image 1,1,1,100000001,510000002003,
611,,Segment,1,1,Image 1,1,1,100000001,510000002053,
108,,Segment,1,3,Image 1,2,1,100000001,510000002056,
218,,Segment,1,4,Image 1,2,1,100000003,510000002066,
123,,Segment,1,3,Image 1,2,1,100000003,510000002068,
236,,Segment,1,2,Image 1,1,1,100000000,510000002090,
196,,Segment,1,1,Image 1,1,1,100000000,510000002098,
530,,Segment,1,0,Image 1,1,1,100000001,510000002127,
344,,Segment,1,1,Image 1,2,1,100000001,510000002154,
156,,Segment,1,2,Image 1,2,1,100000000,510000002168,
372,,Segment,1,1,Image 1,1,1,100000001,510000002174,
305,,Segment,1,1,Image 1,1,1,100000000,510000002183,
903,,Segment,1,0,Image 1,1,1,100000000,510000002197,
45,,Segment,1,0,Image 1,1,1,100000000,510000002205,
101,,Segment,1,1,Image 1,2,1,100000000,510000002207,
156,,Segment,1,0,Image 1,1,1,100000000,510000002212,
241,,Segment,1,0,Image 1,1,1,100000000,510000002239,
174,,Segment,1,1,Image 1,2,1,100000000,510000002251,
203,,Segment,1,0,Image 1,1,1,100000000,510000002255,
216,,Segment,1,1,Image 1,1,1,100000000,510000002258,
317,,Segment,1,0,Image 1,1,1,100000001,510000002288,
49,,Segment,1,2,Image 1,2,1,100000000,510000002289,
19,,Segment,1,1,Image 1,2,1,100000002,510000002293,
40,,Segment,1,1,Image 1,1,1,100000002,510000002294,
271,,Segment,1,0,Image 1,1,1,100000002,510000002295,
108,,Segment,1,4,Image 1,3,1,100000003,510000002296,
100,,Segment,1,1,Image 1,1,1,100000003,510000002297,
