
Segment Position X
 ==================== 
Segment Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
3253.49,µm,Segment,Segment Position,3,3,1,100000002,510000000048,
3260.52,µm,Segment,Segment Position,2,3,1,100000002,510000000077,
3266.04,µm,Segment,Segment Position,1,2,1,100000002,510000000109,
3269.76,µm,Segment,Segment Position,0,1,1,100000002,510000000132,
3274.79,µm,Segment,Segment Position,1,2,1,100000002,510000000184,
3274.5,µm,Segment,Segment Position,0,1,1,100000002,510000000246,
3273.01,µm,Segment,Segment Position,3,3,1,100000002,510000000295,
3273.98,µm,Segment,Segment Position,2,2,1,100000002,510000000319,
3275.64,µm,Segment,Segment Position,1,1,1,100000002,510000000331,
3311.7,µm,Segment,Segment Position,2,3,1,100000000,510000000412,
3309.04,µm,Segment,Segment Position,1,2,1,100000000,510000000420,
3306.38,µm,Segment,Segment Position,0,1,1,100000000,510000000446,
3248.29,µm,Segment,Segment Position,4,2,1,100000001,510000000481,
3253.5,µm,Segment,Segment Position,3,1,1,100000001,510000000520,
3259.85,µm,Segment,Segment Position,2,1,1,100000001,510000000537,
3265.72,µm,Segment,Segment Position,1,1,1,100000001,510000000584,
3268.05,µm,Segment,Segment Position,0,1,1,100000001,510000000597,
3272.91,µm,Segment,Segment Position,3,2,1,100000002,510000000620,
3275.88,µm,Segment,Segment Position,2,1,1,100000002,510000000648,
3310.37,µm,Segment,Segment Position,3,2,1,100000000,510000000666,
3260.26,µm,Segment,Segment Position,2,2,1,100000001,510000000702,
3260.41,µm,Segment,Segment Position,1,1,1,100000001,510000000705,
3263.04,µm,Segment,Segment Position,0,1,1,100000001,510000000723,
3264.47,µm,Segment,Segment Position,3,3,1,100000002,510000000740,
3263.46,µm,Segment,Segment Position,2,2,1,100000002,510000000765,
3294.67,µm,Segment,Segment Position,3,3,1,100000000,510000000805,
3299.99,µm,Segment,Segment Position,2,2,1,100000000,510000000825,
3301.87,µm,Segment,Segment Position,1,2,1,100000000,510000000855,
3300.97,µm,Segment,Segment Position,0,1,1,100000000,510000000890,
3279.38,µm,Segment,Segment Position,2,3,1,100000001,510000000907,
3277.57,µm,Segment,Segment Position,1,2,1,100000001,510000000956,
3273.49,µm,Segment,Segment Position,0,1,1,100000001,510000001000,
3317.24,µm,Segment,Segment Position,1,1,1,100000003,510000001002,
3324.49,µm,Segment,Segment Position,0,1,1,100000003,510000001114,
3317.24,µm,Segment,Segment Position,1,2,1,100000003,510000001130,
3280.82,µm,Segment,Segment Position,2,2,1,100000001,510000001133,
3330.85,µm,Segment,Segment Position,2,3,1,100000003,510000001218,
3337.99,µm,Segment,Segment Position,1,2,1,100000003,510000001229,
3339.92,µm,Segment,Segment Position,0,1,1,100000003,510000001252,
3292.8,µm,Segment,Segment Position,0,1,1,100000000,510000001329,
3352.56,µm,Segment,Segment Position,4,3,1,100000003,510000001355,
3350.69,µm,Segment,Segment Position,3,2,1,100000003,510000001367,
3346.98,µm,Segment,Segment Position,2,1,1,100000003,510000001379,
3345.05,µm,Segment,Segment Position,1,1,1,100000003,510000001383,
3342.97,µm,Segment,Segment Position,0,1,1,100000003,510000001412,
3263.45,µm,Segment,Segment Position,4,3,1,100000002,510000001434,
3264.71,µm,Segment,Segment Position,3,2,1,100000002,510000001439,
3259.13,µm,Segment,Segment Position,3,4,1,100000002,510000001455,
3254.72,µm,Segment,Segment Position,3,2,1,100000001,510000001486,
3305.3,µm,Segment,Segment Position,3,3,1,100000000,510000001525,
3298.13,µm,Segment,Segment Position,3,2,1,100000000,510000001531,
3301.51,µm,Segment,Segment Position,2,3,1,100000000,510000001537,
3276.57,µm,Segment,Segment Position,1,2,1,100000001,510000001637,
3271.64,µm,Segment,Segment Position,0,1,1,100000002,510000001653,
3265.84,µm,Segment,Segment Position,4,2,1,100000002,510000001667,
3248.58,µm,Segment,Segment Position,4,1,1,100000001,510000001676,
3262.12,µm,Segment,Segment Position,2,2,1,100000001,510000001680,
