
Segment Volume
 ==================== 
Segment Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
5.33926,µm^3,Segment,3,3,1,100000002,510000000048,
3.38673,µm^3,Segment,2,3,1,100000002,510000000077,
6.29787,µm^3,Segment,1,2,1,100000002,510000000109,
2.3073,µm^3,Segment,0,1,1,100000002,510000000132,
1.72235,µm^3,Segment,1,2,1,100000002,510000000184,
5.7389,µm^3,Segment,0,1,1,100000002,510000000246,
4.22381,µm^3,Segment,3,3,1,100000002,510000000295,
0.948729,µm^3,Segment,2,2,1,100000002,510000000319,
1.52072,µm^3,Segment,1,1,1,100000002,510000000331,
4.72377,µm^3,Segment,2,3,1,100000000,510000000412,
0.959935,µm^3,Segment,1,2,1,100000000,510000000420,
4.48398,µm^3,Segment,0,1,1,100000000,510000000446,
1.86228,µm^3,Segment,4,2,1,100000001,510000000481,
6.28833,µm^3,Segment,3,1,1,100000001,510000000520,
4.64205,µm^3,Segment,2,1,1,100000001,510000000537,
8.14437,µm^3,Segment,1,1,1,100000001,510000000584,
1.65331,µm^3,Segment,0,1,1,100000001,510000000597,
3.74817,µm^3,Segment,3,2,1,100000002,510000000620,
1.54272,µm^3,Segment,2,1,1,100000002,510000000648,
3.26242,µm^3,Segment,3,2,1,100000000,510000000666,
7.61959,µm^3,Segment,2,2,1,100000001,510000000702,
1.61414,µm^3,Segment,1,1,1,100000001,510000000705,
3.75754,µm^3,Segment,0,1,1,100000001,510000000723,
2.50839,µm^3,Segment,3,3,1,100000002,510000000740,
4.10656,µm^3,Segment,2,2,1,100000002,510000000765,
3.95631,µm^3,Segment,3,3,1,100000000,510000000805,
2.73656,µm^3,Segment,2,2,1,100000000,510000000825,
2.49196,µm^3,Segment,1,2,1,100000000,510000000855,
2.55635,µm^3,Segment,0,1,1,100000000,510000000890,
2.83334,µm^3,Segment,2,3,1,100000001,510000000907,
5.08237,µm^3,Segment,1,2,1,100000001,510000000956,
6.16184,µm^3,Segment,0,1,1,100000001,510000001000,
1.09772,µm^3,Segment,1,1,1,100000003,510000001002,
14.8609,µm^3,Segment,0,1,1,100000003,510000001114,
0.718287,µm^3,Segment,1,2,1,100000003,510000001130,
1.34678,µm^3,Segment,2,2,1,100000001,510000001133,
7.88445,µm^3,Segment,2,3,1,100000003,510000001218,
3.19793,µm^3,Segment,1,2,1,100000003,510000001229,
3.97751,µm^3,Segment,0,1,1,100000003,510000001252,
