
Spine Length
 ==================== 
Spine Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
6.45631,µm,Spine,3,3,1,100000000,610000002460,
6.21166,µm,Spine,3,3,1,100000000,610000002477,
4.33268,µm,Spine,3,3,1,100000000,610000002487,
5.58062,µm,Spine,4,2,1,100000003,610000002501,
3.51301,µm,Spine,4,2,1,100000003,610000002510,
3.42704,µm,Spine,2,3,1,100000000,610000002517,
3.47895,µm,Spine,2,3,1,100000000,610000002529,
3.48939,µm,Spine,1,1,1,100000000,610000002538,
3.31232,µm,Spine,1,1,1,100000000,610000002546,
3.09972,µm,Spine,0,1,1,100000001,610000002553,
4.07043,µm,Spine,,,1,100000002,610000002567,
4.17707,µm,Spine,,,1,100000002,610000002580,
3.92486,µm,Spine,0,1,1,100000000,610000002591,
2.6474,µm,Spine,4,2,1,100000003,610000002595,
4.1579,µm,Spine,,,1,100000002,610000002606,
1.49096,µm,Spine,0,1,1,100000000,610000002610,
1.42214,µm,Spine,0,1,1,100000003,610000002613,
0.6075,µm,Spine,2,3,1,100000001,610000002615,
2.10642,µm,Spine,0,1,1,100000000,610000002619,
1.52546,µm,Spine,0,1,1,100000003,610000002622,
1.64283,µm,Spine,0,1,1,100000003,610000002626,
1.23031,µm,Spine,2,3,1,100000001,610000002629,
0.81717,µm,Spine,2,3,1,100000001,610000002631,
1.76074,µm,Spine,0,1,1,100000000,610000002635,
0.903508,µm,Spine,3,2,1,100000000,610000002654,
1.48173,µm,Spine,1,1,1,100000000,610000002655,
2.24773,µm,Spine,0,1,1,100000000,610000002656,
0.975092,µm,Spine,0,1,1,100000000,610000002657,
0.740618,µm,Spine,0,1,1,100000000,610000002658,
1.04417,µm,Spine,0,1,1,100000000,610000002659,
0.937957,µm,Spine,0,1,1,100000000,610000002660,
1.30171,µm,Spine,1,2,1,100000000,610000002661,
0.858571,µm,Spine,0,1,1,100000000,610000002662,
1.41612,µm,Spine,1,1,1,100000001,610000002663,
0.545297,µm,Spine,2,3,1,100000001,610000002670,
0.961329,µm,Spine,1,2,1,100000001,610000002671,
0.813912,µm,Spine,0,1,1,100000001,610000002672,
1.01624,µm,Spine,4,2,1,100000003,610000002675,
1.05779,µm,Spine,2,1,1,100000003,610000002676,
0.910375,µm,Spine,2,1,1,100000003,610000002677,
0.711117,µm,Spine,0,1,1,100000003,610000002678,
