
Spine Terminal Pt Intensity Center Ch=4 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
0,,Spine,4,3,Image 1,1,100000000,610000003483,
0,,Spine,4,7,Image 1,1,100000000,610000003490,
0,,Spine,4,7,Image 1,1,100000002,610000003495,
0,,Spine,4,7,Image 1,1,100000002,610000003499,
0,,Spine,4,4,Image 1,1,100000002,610000003504,
0,,Spine,4,3,Image 1,1,100000000,610000003516,
0,,Spine,4,6,Image 1,1,100000002,610000003519,
21,,Spine,4,5,Image 1,1,100000001,610000003522,
0,,Spine,4,0,Image 1,1,100000000,610000003526,
0,,Spine,4,0,Image 1,1,100000000,610000003530,
0,,Spine,4,0,Image 1,1,100000002,610000003535,
0,,Spine,4,6,Image 1,1,,610000003537,
0,,Spine,4,6,Image 1,1,100000002,610000003548,
0,,Spine,4,1,Image 1,1,100000001,610000003553,
0,,Spine,4,14,Image 1,1,100000001,610000003556,
0,,Spine,4,10,Image 1,1,100000001,610000003559,
0,,Spine,4,7,Image 1,1,100000002,610000003565,
0,,Spine,4,4,Image 1,1,100000001,610000003571,
0,,Spine,4,6,Image 1,1,,610000003584,
0,,Spine,4,12,Image 1,1,,610000003669,
0,,Spine,4,0,Image 1,1,,610000003669,
0,,Spine,4,10,Image 1,1,,610000003670,
0,,Spine,4,1,Image 1,1,,610000003670,
0,,Spine,4,2,Image 1,1,,610000003670,
0,,Spine,4,9,Image 1,1,,610000003671,
0,,Spine,4,11,Image 1,1,,610000003671,
0,,Spine,4,0,Image 1,1,,610000003671,
0,,Spine,4,9,Image 1,1,,610000003672,
0,,Spine,4,12,Image 1,1,,610000003672,
0,,Spine,4,0,Image 1,1,,610000003672,
0,,Spine,4,9,Image 1,1,,610000003673,
0,,Spine,4,0,Image 1,1,,610000003673,
0,,Spine,4,18,Image 1,1,,610000003673,
0,,Spine,4,8,Image 1,1,,610000003674,
0,,Spine,4,0,Image 1,1,,610000003674,
0,,Spine,4,18,Image 1,1,,610000003674,
0,,Spine,4,7,Image 1,1,,610000003675,
0,,Spine,4,4,Image 1,1,,610000003675,
0,,Spine,4,13,Image 1,1,,610000003675,
0,,Spine,4,4,Image 1,1,,610000003676,
0,,Spine,4,6,Image 1,1,,610000003676,
0,,Spine,4,14,Image 1,1,,610000003676,
0,,Spine,4,4,Image 1,1,,610000003677,
0,,Spine,4,3,Image 1,1,,610000003677,
0,,Spine,4,13,Image 1,1,,610000003677,
0,,Spine,4,4,Image 1,1,,610000003678,
0,,Spine,4,13,Image 1,1,,610000003678,
0,,Spine,4,0,Image 1,1,,610000003678,
0,,Spine,4,12,Image 1,1,,610000003679,
0,,Spine,4,4,Image 1,1,,610000003679,
0,,Spine,4,9,Image 1,1,,610000003680,
0,,Spine,4,0,Image 1,1,,610000003680,
87,,Spine,4,8,Image 1,1,,610000003681,
0,,Spine,4,7,Image 1,1,,610000003682,
0,,Spine,4,8,Image 1,1,,610000003682,
0,,Spine,4,7,Image 1,1,,610000003683,
0,,Spine,4,6,Image 1,1,,610000003683,
0,,Spine,4,7,Image 1,1,,610000003684,
0,,Spine,4,8,Image 1,1,,610000003684,
0,,Spine,4,10,Image 1,1,,610000003685,
0,,Spine,4,4,Image 1,1,,610000003685,
0,,Spine,4,10,Image 1,1,,610000003686,
0,,Spine,4,4,Image 1,1,,610000003686,
0,,Spine,4,6,Image 1,1,,610000003687,
0,,Spine,4,2,Image 1,1,,610000003687,
0,,Spine,4,6,Image 1,1,,610000003688,
0,,Spine,4,2,Image 1,1,,610000003688,
0,,Spine,4,6,Image 1,1,,610000003689,
0,,Spine,4,6,Image 1,1,,610000003690,
0,,Spine,4,6,Image 1,1,,610000003691,
