
Spine Center Number of Voxel Ch=2 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
4,,Spine,2,2,Image 1,3,1,100000001,610000002265,
5,,Spine,2,5,Image 1,2,1,100000000,610000002269,
3,,Spine,2,2,Image 1,2,1,100000001,610000002272,
5,,Spine,2,1,Image 1,2,1,100000002,610000002276,
4,,Spine,2,3,Image 1,2,1,100000002,610000002279,
4,,Spine,2,2,Image 1,1,1,100000000,610000002282,
4,,Spine,2,6,Image 1,4,1,100000002,610000002285,
3,,Spine,2,3,Image 1,3,1,100000001,610000002287,
6,,Spine,2,0,Image 1,1,1,100000002,610000002293,
4,,Spine,2,0,Image 1,1,1,100000001,610000002296,
4,,Spine,2,5,Image 1,2,1,100000000,610000002299,
4,,Spine,2,1,Image 1,2,1,100000002,610000002302,
5,,Spine,2,5,Image 1,2,1,100000000,610000002306,
3,,Spine,2,0,Image 1,1,1,100000001,610000002308,
5,,Spine,2,1,Image 1,2,1,100000002,610000002313,
3,,Spine,2,0,Image 1,1,1,100000002,610000002316,
3,,Spine,2,2,Image 1,3,1,100000000,610000002319,
3,,Spine,2,3,Image 1,3,1,100000001,610000002321,
6,,Spine,2,0,Image 1,1,1,100000001,610000002326,
4,,Spine,2,4,Image 1,1,1,100000000,610000002329,
3,,Spine,2,0,Image 1,1,1,100000001,610000002331,
3,,Spine,2,5,Image 1,3,1,100000002,610000002333,
3,,Spine,2,4,Image 1,1,1,100000000,610000002335,
3,,Spine,2,6,Image 1,4,1,100000002,610000002340,
4,,Spine,2,2,Image 1,3,1,100000000,610000002344,
3,,Spine,2,5,Image 1,4,1,100000002,610000002346,
4,,Spine,2,0,Image 1,1,1,100000002,610000002350,
5,,Spine,2,2,Image 1,3,1,100000000,610000002356,
4,,Spine,2,0,Image 1,1,1,100000002,610000002360,
3,,Spine,2,0,Image 1,1,1,100000000,610000002362,
3,,Spine,2,0,Image 1,1,1,100000001,610000002365,
3,,Spine,2,1,Image 1,2,1,100000002,610000002367,
3,,Spine,2,0,Image 1,1,1,100000000,610000002370,
3,,Spine,2,2,Image 1,3,1,100000000,610000002373,
3,,Spine,2,0,Image 1,1,1,100000001,610000002377,
4,,Spine,2,2,Image 1,3,1,100000000,610000002381,
3,,Spine,2,2,Image 1,3,1,100000000,610000002384,
3,,Spine,2,2,Image 1,3,1,100000000,610000002387,
3,,Spine,2,0,Image 1,1,1,100000002,610000002392,
3,,Spine,2,0,Image 1,1,1,100000001,610000002394,
3,,Spine,2,2,Image 1,3,1,100000000,610000002397,
4,,Spine,2,2,Image 1,3,1,100000000,610000002403,
3,,Spine,2,1,Image 1,1,1,100000002,610000002407,
2,,Spine,2,0,Image 1,1,1,100000001,610000002409,
2,,Spine,2,0,Image 1,1,1,100000001,610000002411,
2,,Spine,2,0,Image 1,1,1,100000001,610000002413,
3,,Spine,2,2,Image 1,3,1,100000000,610000002416,
2,,Spine,2,0,Image 1,1,1,100000001,610000002419,
4,,Spine,2,0,Image 1,1,1,100000001,610000002422,
2,,Spine,2,0,Image 1,1,1,100000001,610000002424,
3,,Spine,2,2,Image 1,3,1,100000000,610000002428,
3,,Spine,2,5,Image 1,2,1,100000000,610000002430,
2,,Spine,2,0,Image 1,1,1,100000002,610000002432,
3,,Spine,2,2,Image 1,3,1,100000000,610000002436,
2,,Spine,2,0,Image 1,1,1,100000001,610000002438,
2,,Spine,2,0,Image 1,1,1,100000001,610000002441,
2,,Spine,2,2,Image 1,3,1,100000000,610000002443,
2,,Spine,2,0,Image 1,1,1,100000001,610000002447,
3,,Spine,2,2,Image 1,3,1,100000000,610000002450,
2,,Spine,2,2,Image 1,3,1,100000000,610000002452,
2,,Spine,2,2,Image 1,3,1,100000000,610000002454,
2,,Spine,2,0,Image 1,1,1,100000002,610000002458,
2,,Spine,2,0,Image 1,1,1,100000001,610000002460,
3,,Spine,2,0,Image 1,1,1,100000001,610000002465,
2,,Spine,2,0,Image 1,1,1,100000001,610000002473,
2,,Spine,2,2,Image 1,3,1,100000000,610000002477,
2,,Spine,2,2,Image 1,3,1,100000000,610000002479,
2,,Spine,2,2,Image 1,3,1,100000000,610000002484,
2,,Spine,2,2,Image 1,3,1,100000000,610000002490,
3,,Spine,2,2,Image 1,2,1,100000001,610000002496,
2,,Spine,2,5,Image 1,2,1,100000000,610000002505,
2,,Spine,2,5,Image 1,2,1,100000000,610000002506,
2,,Spine,2,5,Image 1,2,1,100000000,610000002507,
2,,Spine,2,2,Image 1,1,1,100000000,610000002508,
2,,Spine,2,1,Image 1,2,1,100000000,610000002509,
2,,Spine,2,4,Image 1,2,1,100000000,610000002512,
2,,Spine,2,3,Image 1,2,1,100000000,610000002513,
2,,Spine,2,0,Image 1,1,1,100000000,610000002514,
2,,Spine,2,2,Image 1,3,1,100000000,610000002515,
2,,Spine,2,5,Image 1,3,1,100000001,610000002523,
2,,Spine,2,2,Image 1,2,1,100000001,610000002524,
2,,Spine,2,2,Image 1,2,1,100000001,610000002525,
2,,Spine,2,2,Image 1,1,1,100000001,610000002526,
2,,Spine,2,2,Image 1,3,1,100000001,610000002527,
2,,Spine,2,2,Image 1,2,1,100000001,610000002528,
2,,Spine,2,1,Image 1,1,1,100000001,610000002529,
2,,Spine,2,0,Image 1,1,1,100000001,610000002531,
2,,Spine,2,7,Image 1,3,1,100000002,610000002540,
2,,Spine,2,6,Image 1,4,1,100000002,610000002541,
2,,Spine,2,2,Image 1,2,1,100000002,610000002542,
2,,Spine,2,2,Image 1,1,1,100000002,610000002543,
2,,Spine,2,3,Image 1,1,1,100000002,610000002544,
2,,Spine,2,3,Image 1,2,1,100000002,610000002545,
2,,Spine,2,3,Image 1,2,1,100000002,610000002546,
2,,Spine,2,1,Image 1,2,1,100000002,610000002547,
2,,Spine,2,1,Image 1,2,1,100000002,610000002548,
2,,Spine,2,1,Image 1,2,1,100000002,610000002549,
2,,Spine,2,0,Image 1,1,1,100000002,610000002550,
