
Spine Intensity Min Ch=4 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,4,2,Image 1,3,1,100000001,610000002265,
0,,Spine,4,5,Image 1,2,1,100000000,610000002269,
0,,Spine,4,2,Image 1,2,1,100000001,610000002272,
0,,Spine,4,1,Image 1,2,1,100000002,610000002276,
0,,Spine,4,3,Image 1,2,1,100000002,610000002279,
0,,Spine,4,2,Image 1,1,1,100000000,610000002282,
0,,Spine,4,6,Image 1,4,1,100000002,610000002285,
0,,Spine,4,3,Image 1,3,1,100000001,610000002287,
0,,Spine,4,0,Image 1,1,1,100000002,610000002293,
0,,Spine,4,0,Image 1,1,1,100000001,610000002296,
0,,Spine,4,5,Image 1,2,1,100000000,610000002299,
0,,Spine,4,1,Image 1,2,1,100000002,610000002302,
0,,Spine,4,5,Image 1,2,1,100000000,610000002306,
0,,Spine,4,0,Image 1,1,1,100000001,610000002308,
0,,Spine,4,1,Image 1,2,1,100000002,610000002313,
0,,Spine,4,0,Image 1,1,1,100000002,610000002316,
0,,Spine,4,2,Image 1,3,1,100000000,610000002319,
0,,Spine,4,3,Image 1,3,1,100000001,610000002321,
0,,Spine,4,0,Image 1,1,1,100000001,610000002326,
0,,Spine,4,4,Image 1,1,1,100000000,610000002329,
0,,Spine,4,0,Image 1,1,1,100000001,610000002331,
0,,Spine,4,5,Image 1,3,1,100000002,610000002333,
0,,Spine,4,4,Image 1,1,1,100000000,610000002335,
0,,Spine,4,6,Image 1,4,1,100000002,610000002340,
0,,Spine,4,2,Image 1,3,1,100000000,610000002344,
0,,Spine,4,5,Image 1,4,1,100000002,610000002346,
0,,Spine,4,0,Image 1,1,1,100000002,610000002350,
0,,Spine,4,2,Image 1,3,1,100000000,610000002356,
0,,Spine,4,0,Image 1,1,1,100000002,610000002360,
0,,Spine,4,0,Image 1,1,1,100000000,610000002362,
0,,Spine,4,0,Image 1,1,1,100000001,610000002365,
0,,Spine,4,1,Image 1,2,1,100000002,610000002367,
0,,Spine,4,0,Image 1,1,1,100000000,610000002370,
0,,Spine,4,2,Image 1,3,1,100000000,610000002373,
0,,Spine,4,0,Image 1,1,1,100000001,610000002377,
0,,Spine,4,2,Image 1,3,1,100000000,610000002381,
0,,Spine,4,2,Image 1,3,1,100000000,610000002384,
0,,Spine,4,2,Image 1,3,1,100000000,610000002387,
0,,Spine,4,0,Image 1,1,1,100000002,610000002392,
0,,Spine,4,0,Image 1,1,1,100000001,610000002394,
0,,Spine,4,2,Image 1,3,1,100000000,610000002397,
0,,Spine,4,2,Image 1,3,1,100000000,610000002403,
0,,Spine,4,1,Image 1,1,1,100000002,610000002407,
0,,Spine,4,0,Image 1,1,1,100000001,610000002409,
0,,Spine,4,0,Image 1,1,1,100000001,610000002411,
0,,Spine,4,0,Image 1,1,1,100000001,610000002413,
0,,Spine,4,2,Image 1,3,1,100000000,610000002416,
0,,Spine,4,0,Image 1,1,1,100000001,610000002419,
0,,Spine,4,0,Image 1,1,1,100000001,610000002422,
0,,Spine,4,0,Image 1,1,1,100000001,610000002424,
0,,Spine,4,2,Image 1,3,1,100000000,610000002428,
0,,Spine,4,5,Image 1,2,1,100000000,610000002430,
0,,Spine,4,0,Image 1,1,1,100000002,610000002432,
0,,Spine,4,2,Image 1,3,1,100000000,610000002436,
0,,Spine,4,0,Image 1,1,1,100000001,610000002438,
0,,Spine,4,0,Image 1,1,1,100000001,610000002441,
0,,Spine,4,2,Image 1,3,1,100000000,610000002443,
0,,Spine,4,0,Image 1,1,1,100000001,610000002447,
0,,Spine,4,2,Image 1,3,1,100000000,610000002450,
0,,Spine,4,2,Image 1,3,1,100000000,610000002452,
0,,Spine,4,2,Image 1,3,1,100000000,610000002454,
0,,Spine,4,0,Image 1,1,1,100000002,610000002458,
0,,Spine,4,0,Image 1,1,1,100000001,610000002460,
0,,Spine,4,0,Image 1,1,1,100000001,610000002465,
0,,Spine,4,0,Image 1,1,1,100000001,610000002473,
0,,Spine,4,2,Image 1,3,1,100000000,610000002477,
0,,Spine,4,2,Image 1,3,1,100000000,610000002479,
0,,Spine,4,2,Image 1,3,1,100000000,610000002484,
0,,Spine,4,2,Image 1,3,1,100000000,610000002490,
0,,Spine,4,2,Image 1,2,1,100000001,610000002496,
0,,Spine,4,5,Image 1,2,1,100000000,610000002505,
0,,Spine,4,5,Image 1,2,1,100000000,610000002506,
0,,Spine,4,5,Image 1,2,1,100000000,610000002507,
0,,Spine,4,2,Image 1,1,1,100000000,610000002508,
0,,Spine,4,1,Image 1,2,1,100000000,610000002509,
0,,Spine,4,4,Image 1,2,1,100000000,610000002512,
0,,Spine,4,3,Image 1,2,1,100000000,610000002513,
0,,Spine,4,0,Image 1,1,1,100000000,610000002514,
0,,Spine,4,2,Image 1,3,1,100000000,610000002515,
0,,Spine,4,5,Image 1,3,1,100000001,610000002523,
0,,Spine,4,2,Image 1,2,1,100000001,610000002524,
0,,Spine,4,2,Image 1,2,1,100000001,610000002525,
0,,Spine,4,2,Image 1,1,1,100000001,610000002526,
0,,Spine,4,2,Image 1,3,1,100000001,610000002527,
0,,Spine,4,2,Image 1,2,1,100000001,610000002528,
0,,Spine,4,1,Image 1,1,1,100000001,610000002529,
0,,Spine,4,0,Image 1,1,1,100000001,610000002531,
0,,Spine,4,7,Image 1,3,1,100000002,610000002540,
0,,Spine,4,6,Image 1,4,1,100000002,610000002541,
0,,Spine,4,2,Image 1,2,1,100000002,610000002542,
0,,Spine,4,2,Image 1,1,1,100000002,610000002543,
0,,Spine,4,3,Image 1,1,1,100000002,610000002544,
0,,Spine,4,3,Image 1,2,1,100000002,610000002545,
0,,Spine,4,3,Image 1,2,1,100000002,610000002546,
0,,Spine,4,1,Image 1,2,1,100000002,610000002547,
0,,Spine,4,1,Image 1,2,1,100000002,610000002548,
0,,Spine,4,1,Image 1,2,1,100000002,610000002549,
0,,Spine,4,0,Image 1,1,1,100000002,610000002550,
0,,Spine,4,5,Image 1,3,1,100000002,610000002551,
0,,Spine,4,0,Image 1,1,1,100000002,610000002552,
