
Segment Position X
 ==================== 
Segment Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
349.913,µm,Segment,Segment Position,7,5,1,100000001,510000000018,
349.871,µm,Segment,Segment Position,6,4,1,100000001,510000000026,
350.927,µm,Segment,Segment Position,5,4,1,100000001,510000000043,
352.582,µm,Segment,Segment Position,4,3,1,100000001,510000000129,
355.066,µm,Segment,Segment Position,3,2,1,100000001,510000000141,
356.127,µm,Segment,Segment Position,2,2,1,100000001,510000000160,
357.277,µm,Segment,Segment Position,1,2,1,100000001,510000000173,
357.861,µm,Segment,Segment Position,0,1,1,100000001,510000000181,
349.367,µm,Segment,Segment Position,7,4,1,100000001,510000000201,
350.737,µm,Segment,Segment Position,7,6,1,100000001,510000000210,
350.259,µm,Segment,Segment Position,6,5,1,100000001,510000000215,
350.41,µm,Segment,Segment Position,7,5,1,100000001,510000000218,
351.423,µm,Segment,Segment Position,5,3,1,100000001,510000000235,
332.513,µm,Segment,Segment Position,25,8,1,100000000,510000000247,
333.314,µm,Segment,Segment Position,24,8,1,100000000,510000000254,
333.953,µm,Segment,Segment Position,23,8,1,100000000,510000000256,
335.189,µm,Segment,Segment Position,22,8,1,100000000,510000000284,
337.078,µm,Segment,Segment Position,21,8,1,100000000,510000000312,
338.069,µm,Segment,Segment Position,20,8,1,100000000,510000000326,
338.124,µm,Segment,Segment Position,19,7,1,100000000,510000000346,
338.392,µm,Segment,Segment Position,18,6,1,100000000,510000000368,
339.124,µm,Segment,Segment Position,17,5,1,100000000,510000000372,
339.321,µm,Segment,Segment Position,16,5,1,100000000,510000000384,
339.821,µm,Segment,Segment Position,15,5,1,100000000,510000000387,
340.063,µm,Segment,Segment Position,14,5,1,100000000,510000000391,
340.199,µm,Segment,Segment Position,13,5,1,100000000,510000000399,
340.326,µm,Segment,Segment Position,12,4,1,100000000,510000000413,
340.813,µm,Segment,Segment Position,10,4,1,100000000,510000000420,
341.071,µm,Segment,Segment Position,9,4,1,100000000,510000000441,
341.151,µm,Segment,Segment Position,8,3,1,100000000,510000000450,
340.953,µm,Segment,Segment Position,7,3,1,100000000,510000000454,
341.108,µm,Segment,Segment Position,6,2,1,100000000,510000000457,
341.241,µm,Segment,Segment Position,5,2,1,100000000,510000000460,
341.278,µm,Segment,Segment Position,4,2,1,100000000,510000000463,
341.513,µm,Segment,Segment Position,3,1,1,100000000,510000000475,
341.935,µm,Segment,Segment Position,2,1,1,100000000,510000000502,
342.845,µm,Segment,Segment Position,1,1,1,100000000,510000000513,
342.933,µm,Segment,Segment Position,0,1,1,100000000,510000000518,
332.748,µm,Segment,Segment Position,25,9,1,100000000,510000000552,
333.7,µm,Segment,Segment Position,24,9,1,100000000,510000000555,
333.777,µm,Segment,Segment Position,23,9,1,100000000,510000000562,
334.059,µm,Segment,Segment Position,23,9,1,100000000,510000000565,
335.968,µm,Segment,Segment Position,22,9,1,100000000,510000000569,
336.179,µm,Segment,Segment Position,21,9,1,100000000,510000000597,
338.606,µm,Segment,Segment Position,20,7,1,100000000,510000000602,
355.014,µm,Segment,Segment Position,7,4,1,100000001,510000000619,
355.446,µm,Segment,Segment Position,6,3,1,100000001,510000000627,
358.094,µm,Segment,Segment Position,5,3,1,100000001,510000000694,
360.666,µm,Segment,Segment Position,4,2,1,100000001,510000000701,
361.009,µm,Segment,Segment Position,2,2,1,100000001,510000000711,
359.969,µm,Segment,Segment Position,1,2,1,100000001,510000000735,
359.385,µm,Segment,Segment Position,0,1,1,100000001,510000000760,
355.88,µm,Segment,Segment Position,7,3,1,100000001,510000000781,
355.564,µm,Segment,Segment Position,6,4,1,100000001,510000000785,
362.31,µm,Segment,Segment Position,2,3,1,100000001,510000000815,
360.93,µm,Segment,Segment Position,5,2,1,100000001,510000000828,
360.995,µm,Segment,Segment Position,3,3,1,100000001,510000000833,
360.128,µm,Segment,Segment Position,4,2,1,100000001,510000000853,
359.605,µm,Segment,Segment Position,3,2,1,100000001,510000000882,
359.287,µm,Segment,Segment Position,2,2,1,100000001,510000000923,
359.091,µm,Segment,Segment Position,1,1,1,100000001,510000000930,
359.928,µm,Segment,Segment Position,4,3,1,100000001,510000000941,
353.867,µm,Segment,Segment Position,5,2,1,100000001,510000000970,
354.998,µm,Segment,Segment Position,4,2,1,100000001,510000000980,
356.389,µm,Segment,Segment Position,3,1,1,100000001,510000001000,
358.036,µm,Segment,Segment Position,2,1,1,100000001,510000001016,
360.331,µm,Segment,Segment Position,3,3,1,100000001,510000001020,
354.445,µm,Segment,Segment Position,5,3,1,100000001,510000001030,
355.212,µm,Segment,Segment Position,5,2,1,100000001,510000001038,
355.382,µm,Segment,Segment Position,4,1,1,100000001,510000001048,
354.989,µm,Segment,Segment Position,5,1,1,100000001,510000001052,
340.578,µm,Segment,Segment Position,10,5,1,100000000,510000001058,
357.035,µm,Segment,Segment Position,3,2,1,100000001,510000001066,
337.479,µm,Segment,Segment Position,20,6,1,100000000,510000001076,
337.515,µm,Segment,Segment Position,19,6,1,100000000,510000001079,
340.872,µm,Segment,Segment Position,20,6,1,100000000,510000001111,
339.922,µm,Segment,Segment Position,19,5,1,100000000,510000001115,
