
Soma Center of Image Mass X
 ==================== 
Soma Center of Image Mass X,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
343.275,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
343.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
343.201,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
343.884,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
343.893,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
359.159,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
359.136,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
359.136,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
360.145,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
359.133,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
334.992,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
335.232,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
335.215,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
335.123,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
335.145,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
336.925,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
337.128,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
337.107,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
336.726,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
336.682,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000003,
