
Spine Attachment Pt Position
 ==================== 
Spine Attachment Pt Position X,Spine Attachment Pt Position Y,Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
335.575,21668.8,1374.27,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000003284,
342.979,21662.1,1376.46,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000003418,
357.515,21648.9,1374.03,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000003419,
356.888,21648.8,1374.68,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000003301,
343.157,21662.3,1376.18,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000003310,
331.739,21657.5,1373.96,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000003418,
360.352,21653.8,1373.47,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000003423,
358.51,21648.3,1375.35,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000003426,
340.806,21654.2,1375.04,µm,Spine,Spine Attachment Pt Position,10,4,1,100000000,610000003317,
339.322,21657,1374.2,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000003423,
338.344,21657.6,1375.06,µm,Spine,Spine Attachment Pt Position,11,3,1,,610000003422,
338.701,21656.7,1375.25,µm,Spine,Spine Attachment Pt Position,11,4,1,100000000,610000003299,
338.351,21658.4,1374.5,µm,Spine,Spine Attachment Pt Position,12,4,1,,610000003421,
340.27,21653.8,1375.21,µm,Spine,Spine Attachment Pt Position,12,4,1,,610000003427,
341.725,21652.4,1375.18,µm,Spine,Spine Attachment Pt Position,13,5,1,,610000003425,
340.821,21652.8,1375.09,µm,Spine,Spine Attachment Pt Position,13,6,1,,610000003426,
340.335,21653.5,1373.23,µm,Spine,Spine Attachment Pt Position,16,6,1,,610000003428,
341.839,21660.7,1376.31,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000003419,
334.272,21672,1373.35,µm,Spine,Spine Attachment Pt Position,2,2,1,100000003,610000003287,
358.919,21648.3,1375.37,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000003314,
356.576,21648.2,1374.67,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000003420,
340.063,21650.7,1372.78,µm,Spine,Spine Attachment Pt Position,20,5,1,,610000003430,
340.932,21652,1374.21,µm,Spine,Spine Attachment Pt Position,20,6,1,,610000003429,
333.951,21647.8,1376.01,µm,Spine,Spine Attachment Pt Position,23,9,1,,610000003431,
355.733,21654.1,1375.28,µm,Spine,Spine Attachment Pt Position,3,1,1,100000001,610000003326,
329.81,21660.3,1372.89,µm,Spine,Spine Attachment Pt Position,3,1,1,100000002,610000003339,
331.344,21654,1374.11,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000003303,
356.904,21646.5,1373.46,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000003418,
356.93,21654.3,1375.59,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000003422,
360.462,21656.7,1374.98,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000003421,
332.748,21653.9,1373.46,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000003419,
341.24,21658.2,1376.07,µm,Spine,Spine Attachment Pt Position,5,2,1,100000000,610000003323,
357.864,21656.5,1372.94,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000003424,
362.32,21641.8,1376.08,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000003427,
341.491,21657.4,1376.38,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000003420,
355.712,21658.1,1372.94,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000003425,
340.883,21657.1,1374.95,µm,Spine,Spine Attachment Pt Position,8,4,1,,610000003424,
