
Spine Center Number of Voxel Ch=4 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
8,,Spine,4,0,Image 1,1,1,100000003,610000003281,
4,,Spine,4,0,Image 1,1,1,100000003,610000003284,
4,,Spine,4,2,Image 1,2,1,100000003,610000003287,
5,,Spine,4,10,Image 1,4,1,100000000,610000003291,
3,,Spine,4,6,Image 1,2,1,100000001,610000003294,
4,,Spine,4,16,Image 1,6,1,100000000,610000003297,
3,,Spine,4,11,Image 1,4,1,100000000,610000003299,
3,,Spine,4,1,Image 1,2,1,100000001,610000003301,
3,,Spine,4,3,Image 1,2,1,100000002,610000003303,
3,,Spine,4,16,Image 1,6,1,100000000,610000003306,
5,,Spine,4,1,Image 1,2,1,100000000,610000003310,
3,,Spine,4,2,Image 1,2,1,100000001,610000003314,
3,,Spine,4,10,Image 1,4,1,100000000,610000003317,
3,,Spine,4,6,Image 1,2,1,100000001,610000003320,
3,,Spine,4,5,Image 1,2,1,100000000,610000003323,
3,,Spine,4,3,Image 1,1,1,100000001,610000003326,
3,,Spine,4,1,Image 1,2,1,100000000,610000003330,
3,,Spine,4,1,Image 1,2,1,100000000,610000003333,
3,,Spine,4,3,Image 1,1,1,100000002,610000003339,
2,,Spine,4,6,Image 1,2,1,100000001,610000003341,
2,,Spine,4,6,Image 1,2,1,100000001,610000003343,
2,,Spine,4,2,Image 1,2,1,100000003,610000003358,
2,,Spine,4,23,Image 1,9,1,100000000,610000003377,
2,,Spine,4,20,Image 1,6,1,100000000,610000003378,
2,,Spine,4,20,Image 1,5,1,100000000,610000003379,
2,,Spine,4,16,Image 1,6,1,100000000,610000003380,
2,,Spine,4,12,Image 1,4,1,100000000,610000003381,
2,,Spine,4,13,Image 1,5,1,100000000,610000003382,
2,,Spine,4,13,Image 1,6,1,100000000,610000003383,
2,,Spine,4,8,Image 1,4,1,100000000,610000003384,
2,,Spine,4,12,Image 1,4,1,100000000,610000003385,
2,,Spine,4,11,Image 1,3,1,100000000,610000003386,
2,,Spine,4,10,Image 1,4,1,100000000,610000003387,
2,,Spine,4,6,Image 1,3,1,100000000,610000003388,
2,,Spine,4,2,Image 1,1,1,100000000,610000003389,
2,,Spine,4,1,Image 1,1,1,100000000,610000003390,
2,,Spine,4,2,Image 1,2,1,100000001,610000003393,
2,,Spine,4,3,Image 1,2,1,100000001,610000003394,
2,,Spine,4,1,Image 1,1,1,100000001,610000003395,
2,,Spine,4,6,Image 1,2,1,100000001,610000003397,
2,,Spine,4,1,Image 1,2,1,100000001,610000003398,
2,,Spine,4,7,Image 1,3,1,100000001,610000003401,
2,,Spine,4,5,Image 1,3,1,100000001,610000003402,
2,,Spine,4,1,Image 1,2,1,100000001,610000003403,
2,,Spine,4,3,Image 1,3,1,100000001,610000003404,
2,,Spine,4,3,Image 1,2,1,100000001,610000003405,
2,,Spine,4,1,Image 1,2,1,100000002,610000003409,
2,,Spine,4,4,Image 1,3,1,100000002,610000003410,
2,,Spine,4,1,Image 1,2,1,100000003,610000003411,
