
Spine Position
 ==================== 
Spine Position X,Spine Position Y,Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
335.355,21668.7,1374,µm,Spine,Spine Position,0,1,1,100000003,610000003281,
335.609,21668.7,1374.33,µm,Spine,Spine Position,0,1,1,100000003,610000003284,
342.979,21662.1,1376.46,µm,Spine,Spine Position,1,1,1,100000000,610000003390,
357.515,21648.9,1374.03,µm,Spine,Spine Position,1,1,1,100000001,610000003395,
356.872,21648.8,1374.58,µm,Spine,Spine Position,1,2,1,100000001,610000003301,
343.221,21662.4,1376.26,µm,Spine,Spine Position,1,2,1,100000000,610000003310,
358.51,21648.3,1375.35,µm,Spine,Spine Position,1,2,1,100000001,610000003398,
360.352,21653.8,1373.47,µm,Spine,Spine Position,1,2,1,100000001,610000003403,
331.739,21657.5,1373.96,µm,Spine,Spine Position,1,2,1,100000002,610000003409,
335,21668.7,1374.64,µm,Spine,Spine Position,1,2,1,100000003,610000003411,
339.464,21657,1374.07,µm,Spine,Spine Position,10,4,1,100000000,610000003291,
340.767,21654.2,1374.98,µm,Spine,Spine Position,10,4,1,100000000,610000003317,
339.322,21657,1374.2,µm,Spine,Spine Position,10,4,1,100000000,610000003387,
338.344,21657.6,1375.06,µm,Spine,Spine Position,11,3,1,100000000,610000003386,
338.744,21656.6,1375.17,µm,Spine,Spine Position,11,4,1,100000000,610000003299,
340.27,21653.8,1375.21,µm,Spine,Spine Position,12,4,1,100000000,610000003381,
338.351,21658.4,1374.5,µm,Spine,Spine Position,12,4,1,100000000,610000003385,
341.725,21652.4,1375.18,µm,Spine,Spine Position,13,5,1,100000000,610000003382,
340.821,21652.8,1375.09,µm,Spine,Spine Position,13,6,1,100000000,610000003383,
340.534,21653.6,1373.22,µm,Spine,Spine Position,16,6,1,100000000,610000003297,
340.436,21653.5,1373.23,µm,Spine,Spine Position,16,6,1,100000000,610000003306,
340.335,21653.5,1373.23,µm,Spine,Spine Position,16,6,1,100000000,610000003380,
341.839,21660.7,1376.31,µm,Spine,Spine Position,2,1,1,100000000,610000003389,
334.268,21671.9,1373.21,µm,Spine,Spine Position,2,2,1,100000003,610000003287,
358.909,21648.2,1375.43,µm,Spine,Spine Position,2,2,1,100000001,610000003314,
336.447,21669.4,1372.55,µm,Spine,Spine Position,2,2,1,100000003,610000003358,
356.576,21648.2,1374.67,µm,Spine,Spine Position,2,2,1,100000001,610000003393,
340.063,21650.7,1372.78,µm,Spine,Spine Position,20,5,1,100000000,610000003379,
340.932,21652,1374.21,µm,Spine,Spine Position,20,6,1,100000000,610000003378,
343.271,21663.1,1376.77,µm,Spine,Spine Position,23,9,1,100000000,610000003330,
342.825,21665.2,1376.65,µm,Spine,Spine Position,23,9,1,100000000,610000003333,
333.951,21647.8,1376.01,µm,Spine,Spine Position,23,9,1,100000000,610000003377,
355.733,21654,1375.3,µm,Spine,Spine Position,3,1,1,100000001,610000003326,
329.868,21660.3,1372.88,µm,Spine,Spine Position,3,1,1,100000002,610000003339,
331.28,21653.9,1374.06,µm,Spine,Spine Position,3,2,1,100000002,610000003303,
356.904,21646.5,1373.46,µm,Spine,Spine Position,3,2,1,100000001,610000003394,
356.93,21654.3,1375.59,µm,Spine,Spine Position,3,2,1,100000001,610000003405,
360.462,21656.7,1374.98,µm,Spine,Spine Position,3,3,1,100000001,610000003404,
332.748,21653.9,1373.46,µm,Spine,Spine Position,4,3,1,100000002,610000003410,
341.319,21658.1,1376.03,µm,Spine,Spine Position,5,2,1,100000000,610000003323,
357.864,21656.5,1372.94,µm,Spine,Spine Position,5,3,1,100000001,610000003402,
357.934,21651.1,1374.74,µm,Spine,Spine Position,6,2,1,100000001,610000003294,
358.174,21648.7,1374.85,µm,Spine,Spine Position,6,2,1,100000001,610000003320,
358.938,21651.9,1374.35,µm,Spine,Spine Position,6,2,1,100000001,610000003341,
358.158,21649.6,1374.15,µm,Spine,Spine Position,6,2,1,100000001,610000003343,
362.32,21641.8,1376.08,µm,Spine,Spine Position,6,2,1,100000001,610000003397,
341.491,21657.4,1376.38,µm,Spine,Spine Position,6,3,1,100000000,610000003388,
355.712,21658.1,1372.94,µm,Spine,Spine Position,7,3,1,100000001,610000003401,
340.883,21657.1,1374.95,µm,Spine,Spine Position,8,4,1,100000000,610000003384,
