
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
21.5196,°,Segment,4,3,1,100000001,510000000008,
21.0701,°,Segment,3,2,1,100000001,510000000040,
16.1713,°,Segment,2,1,1,100000001,510000000068,
3.87853,°,Segment,1,1,1,100000001,510000000101,
0,°,Segment,0,1,1,100000001,510000000143,
50.2135,°,Segment,4,2,1,100000001,510000000166,
21.0373,°,Segment,3,3,1,100000001,510000000174,
86.6649,°,Segment,2,2,1,100000001,510000000191,
9.28777,°,Segment,4,2,1,100000001,510000000198,
68.2198,°,Segment,3,2,1,100000001,510000000200,
67.5754,°,Segment,4,3,1,100000001,510000000203,
70.387,°,Segment,3,1,1,100000001,510000000215,
84.3473,°,Segment,1,2,1,100000001,510000000220,
12.9927,°,Segment,6,2,1,100000001,510000000224,
9.17267,°,Segment,5,2,1,100000001,510000000235,
8.45089,°,Segment,4,2,1,100000001,510000000278,
17.6672,°,Segment,3,1,1,100000001,510000000295,
11.6007,°,Segment,1,1,1,100000001,510000000309,
0,°,Segment,0,1,1,100000001,510000000341,
57.3693,°,Segment,6,3,1,100000001,510000000359,
95.4913,°,Segment,5,3,1,100000001,510000000363,
13.3023,°,Segment,3,3,1,100000002,510000000397,
6.66035,°,Segment,2,2,1,100000002,510000000415,
5.97094,°,Segment,1,1,1,100000002,510000000434,
0,°,Segment,0,1,1,100000002,510000000479,
39.3908,°,Segment,4,3,1,100000002,510000000525,
77.771,°,Segment,3,2,1,100000002,510000000538,
78.5467,°,Segment,1,2,1,100000002,510000000571,
81.084,°,Segment,2,1,1,100000002,510000000574,
52.3361,°,Segment,3,2,1,100000001,510000000646,
68.9956,°,Segment,4,1,1,100000001,510000000648,
48.1512,°,Segment,2,2,1,100000001,510000000650,
69.1328,°,Segment,1,2,1,100000001,510000000652,
19.8283,°,Segment,4,1,1,100000002,510000000676,
38.1015,°,Segment,3,1,1,100000002,510000000693,
2.23493,°,Segment,2,1,1,100000002,510000000704,
25.9876,°,Segment,1,1,1,100000002,510000000724,
0,°,Segment,0,1,1,100000002,510000000778,
