
Segment Center Intensity Min Ch=2 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
7,,Segment,2,4,Image 1,3,1,100000001,510000000008,
31,,Segment,2,3,Image 1,2,1,100000001,510000000040,
39,,Segment,2,2,Image 1,1,1,100000001,510000000068,
31,,Segment,2,1,Image 1,1,1,100000001,510000000101,
0,,Segment,2,0,Image 1,1,1,100000001,510000000143,
18,,Segment,2,4,Image 1,2,1,100000001,510000000166,
16,,Segment,2,3,Image 1,3,1,100000001,510000000174,
34,,Segment,2,2,Image 1,2,1,100000001,510000000191,
27,,Segment,2,4,Image 1,2,1,100000001,510000000198,
38,,Segment,2,3,Image 1,2,1,100000001,510000000200,
14,,Segment,2,4,Image 1,3,1,100000001,510000000203,
39,,Segment,2,3,Image 1,1,1,100000001,510000000215,
16,,Segment,2,1,Image 1,2,1,100000001,510000000220,
22,,Segment,2,6,Image 1,2,1,100000001,510000000224,
27,,Segment,2,5,Image 1,2,1,100000001,510000000235,
1,,Segment,2,4,Image 1,2,1,100000001,510000000278,
41,,Segment,2,3,Image 1,1,1,100000001,510000000295,
48,,Segment,2,1,Image 1,1,1,100000001,510000000309,
4,,Segment,2,0,Image 1,1,1,100000001,510000000341,
11,,Segment,2,6,Image 1,3,1,100000001,510000000359,
22,,Segment,2,5,Image 1,3,1,100000001,510000000363,
12,,Segment,2,3,Image 1,3,1,100000002,510000000397,
29,,Segment,2,2,Image 1,2,1,100000002,510000000415,
37,,Segment,2,1,Image 1,1,1,100000002,510000000434,
0,,Segment,2,0,Image 1,1,1,100000002,510000000479,
15,,Segment,2,4,Image 1,3,1,100000002,510000000525,
23,,Segment,2,3,Image 1,2,1,100000002,510000000538,
11,,Segment,2,1,Image 1,2,1,100000002,510000000571,
30,,Segment,2,2,Image 1,1,1,100000002,510000000574,
35,,Segment,2,3,Image 1,2,1,100000001,510000000646,
20,,Segment,2,4,Image 1,1,1,100000001,510000000648,
18,,Segment,2,2,Image 1,2,1,100000001,510000000650,
39,,Segment,2,1,Image 1,2,1,100000001,510000000652,
11,,Segment,2,4,Image 1,1,1,100000002,510000000676,
24,,Segment,2,3,Image 1,1,1,100000002,510000000693,
33,,Segment,2,2,Image 1,1,1,100000002,510000000704,
25,,Segment,2,1,Image 1,1,1,100000002,510000000724,
0,,Segment,2,0,Image 1,1,1,100000002,510000000778,
33,,Segment,2,4,Image 1,2,1,100000002,510000000815,
31,,Segment,2,3,Image 1,2,1,100000002,510000000845,
11,,Segment,2,2,Image 1,2,1,100000002,510000000852,
9,,Segment,2,1,Image 1,2,1,100000002,510000000862,
12,,Segment,2,4,Image 1,2,1,100000000,510000000875,
28,,Segment,2,3,Image 1,1,1,100000000,510000000891,
35,,Segment,2,2,Image 1,1,1,100000000,510000000918,
69,,Segment,2,1,Image 1,1,1,100000000,510000000924,
9,,Segment,2,0,Image 1,1,1,100000000,510000000969,
6,,Segment,2,4,Image 1,1,1,100000000,510000001132,
8,,Segment,2,3,Image 1,2,1,100000000,510000001138,
19,,Segment,2,3,Image 1,2,1,100000000,510000001148,
13,,Segment,2,4,Image 1,2,1,100000000,510000001151,
27,,Segment,2,3,Image 1,2,1,100000000,510000001159,
44,,Segment,2,2,Image 1,2,1,100000000,510000001162,
23,,Segment,2,4,Image 1,3,1,100000000,510000001164,
18,,Segment,2,3,Image 1,3,1,100000000,510000001166,
59,,Segment,2,1,Image 1,2,1,100000000,510000001180,
57,,Segment,2,2,Image 1,2,1,100000000,510000001184,
8,,Segment,2,4,Image 1,4,1,100000002,510000001199,
10,,Segment,2,3,Image 1,3,1,100000002,510000001258,
