
Segment Intensity Mean Ch=2 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
58.6614,,Segment,2,4,Image 1,3,1,100000001,510000000008,
46.1162,,Segment,2,3,Image 1,2,1,100000001,510000000040,
77.3154,,Segment,2,2,Image 1,1,1,100000001,510000000068,
58.2664,,Segment,2,1,Image 1,1,1,100000001,510000000101,
39.5482,,Segment,2,0,Image 1,1,1,100000001,510000000143,
49.7414,,Segment,2,4,Image 1,2,1,100000001,510000000166,
39.2966,,Segment,2,3,Image 1,3,1,100000001,510000000174,
56.27,,Segment,2,2,Image 1,2,1,100000001,510000000191,
47.4153,,Segment,2,4,Image 1,2,1,100000001,510000000198,
36.3642,,Segment,2,3,Image 1,2,1,100000001,510000000200,
24.0163,,Segment,2,4,Image 1,3,1,100000001,510000000203,
75.8937,,Segment,2,3,Image 1,1,1,100000001,510000000215,
32.5106,,Segment,2,1,Image 1,2,1,100000001,510000000220,
36.0899,,Segment,2,6,Image 1,2,1,100000001,510000000224,
39.6326,,Segment,2,5,Image 1,2,1,100000001,510000000235,
29.2763,,Segment,2,4,Image 1,2,1,100000001,510000000278,
55.0677,,Segment,2,3,Image 1,1,1,100000001,510000000295,
61.4178,,Segment,2,1,Image 1,1,1,100000001,510000000309,
40.6765,,Segment,2,0,Image 1,1,1,100000001,510000000341,
28.6275,,Segment,2,6,Image 1,3,1,100000001,510000000359,
37.5909,,Segment,2,5,Image 1,3,1,100000001,510000000363,
32.9205,,Segment,2,3,Image 1,3,1,100000002,510000000397,
49.6746,,Segment,2,2,Image 1,2,1,100000002,510000000415,
49.1769,,Segment,2,1,Image 1,1,1,100000002,510000000434,
52.5643,,Segment,2,0,Image 1,1,1,100000002,510000000479,
29.4431,,Segment,2,4,Image 1,3,1,100000002,510000000525,
39.7344,,Segment,2,3,Image 1,2,1,100000002,510000000538,
42.8968,,Segment,2,1,Image 1,2,1,100000002,510000000571,
36.7872,,Segment,2,2,Image 1,1,1,100000002,510000000574,
63.7912,,Segment,2,3,Image 1,2,1,100000001,510000000646,
30.375,,Segment,2,4,Image 1,1,1,100000001,510000000648,
63.3061,,Segment,2,2,Image 1,2,1,100000001,510000000650,
40.6822,,Segment,2,1,Image 1,2,1,100000001,510000000652,
38.0937,,Segment,2,4,Image 1,1,1,100000002,510000000676,
44.0422,,Segment,2,3,Image 1,1,1,100000002,510000000693,
58.5885,,Segment,2,2,Image 1,1,1,100000002,510000000704,
39.9683,,Segment,2,1,Image 1,1,1,100000002,510000000724,
54.6333,,Segment,2,0,Image 1,1,1,100000002,510000000778,
41.8875,,Segment,2,4,Image 1,2,1,100000002,510000000815,
62.5606,,Segment,2,3,Image 1,2,1,100000002,510000000845,
47.9409,,Segment,2,2,Image 1,2,1,100000002,510000000852,
28.2548,,Segment,2,1,Image 1,2,1,100000002,510000000862,
28.5183,,Segment,2,4,Image 1,2,1,100000000,510000000875,
45.7232,,Segment,2,3,Image 1,1,1,100000000,510000000891,
60.4539,,Segment,2,2,Image 1,1,1,100000000,510000000918,
80.5187,,Segment,2,1,Image 1,1,1,100000000,510000000924,
89.1783,,Segment,2,0,Image 1,1,1,100000000,510000000969,
49.1178,,Segment,2,4,Image 1,1,1,100000000,510000001132,
42.0248,,Segment,2,3,Image 1,2,1,100000000,510000001138,
63.5424,,Segment,2,3,Image 1,2,1,100000000,510000001148,
22.4554,,Segment,2,4,Image 1,2,1,100000000,510000001151,
47.4853,,Segment,2,3,Image 1,2,1,100000000,510000001159,
70.6646,,Segment,2,2,Image 1,2,1,100000000,510000001162,
22.973,,Segment,2,4,Image 1,3,1,100000000,510000001164,
43.967,,Segment,2,3,Image 1,3,1,100000000,510000001166,
68.4802,,Segment,2,1,Image 1,2,1,100000000,510000001180,
75.7202,,Segment,2,2,Image 1,2,1,100000000,510000001184,
20.5862,,Segment,2,4,Image 1,4,1,100000002,510000001199,
23.4396,,Segment,2,3,Image 1,3,1,100000002,510000001258,
30.9923,,Segment,2,2,Image 1,2,1,100000002,510000001267,
66.7518,,Segment,2,1,Image 1,1,1,100000002,510000001274,
90.8148,,Segment,2,0,Image 1,1,1,100000002,510000001278,
23.7396,,Segment,2,4,Image 1,3,1,100000002,510000001291,
32.4121,,Segment,2,3,Image 1,2,1,100000002,510000001301,
37.3878,,Segment,2,7,Image 1,4,1,100000002,510000001347,
39.6819,,Segment,2,6,Image 1,3,1,100000002,510000001394,
22.9762,,Segment,2,5,Image 1,3,1,100000002,510000001401,
45.2667,,Segment,2,4,Image 1,2,1,100000002,510000001405,
55.2527,,Segment,2,2,Image 1,1,1,100000002,510000001416,
44.059,,Segment,2,7,Image 1,3,1,100000002,510000001426,
35,,Segment,2,6,Image 1,4,1,100000002,510000001428,
40.4509,,Segment,2,6,Image 1,2,1,100000000,510000001461,
49.2302,,Segment,2,5,Image 1,1,1,100000000,510000001464,
61.7023,,Segment,2,4,Image 1,1,1,100000000,510000001482,
48.5062,,Segment,2,3,Image 1,1,1,100000000,510000001509,
39.8719,,Segment,2,2,Image 1,1,1,100000000,510000001530,
35.5395,,Segment,2,1,Image 1,1,1,100000000,510000001548,
71.563,,Segment,2,0,Image 1,1,1,100000000,510000001580,
47.5934,,Segment,2,5,Image 1,2,1,100000000,510000001606,
43.5524,,Segment,2,4,Image 1,2,1,100000000,510000001634,
27.0638,,Segment,2,6,Image 1,1,1,100000000,510000001637,
47.0649,,Segment,2,3,Image 1,2,1,100000000,510000001650,
41.474,,Segment,2,2,Image 1,2,1,100000000,510000001659,
49.2318,,Segment,2,4,Image 1,3,1,100000001,510000001672,
36.0886,,Segment,2,3,Image 1,3,1,100000001,510000001720,
25.0236,,Segment,2,2,Image 1,2,1,100000001,510000001731,
40.0768,,Segment,2,1,Image 1,2,1,100000001,510000001770,
79.4956,,Segment,2,0,Image 1,1,1,100000001,510000001780,
38.7206,,Segment,2,4,Image 1,4,1,100000001,510000001790,
31.8581,,Segment,2,3,Image 1,2,1,100000001,510000001804,
30.7605,,Segment,2,5,Image 1,3,1,100000002,510000001819,
26.7515,,Segment,2,4,Image 1,3,1,100000002,510000001830,
47.904,,Segment,2,3,Image 1,3,1,100000002,510000001848,
51.4932,,Segment,2,2,Image 1,3,1,100000002,510000001851,
57.933,,Segment,2,1,Image 1,2,1,100000002,510000001869,
28.75,,Segment,2,5,Image 1,4,1,100000002,510000001878,
