
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.324674,0.243506,0.324674,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002862,
0.306678,0.290842,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002864,
0.243506,0.892855,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002869,
0.184603,0.275212,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002877,
0.405319,0.3778,0.37854,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002880,
0.586449,0.267158,0.399304,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002893,
0.192468,0.352189,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002902,
0.162337,0.344547,0.425297,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002911,
0.276022,0.165288,0.194044,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002914,
0.336266,0.213385,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002926,
0.370283,0.205458,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002928,
0.321818,0.324909,0.355806,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002943,
0.586449,0.399304,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002947,
0.697094,0.518688,0.799161,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002950,
0.309369,0.183128,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002958,
0.334821,0.162337,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002962,
0.381141,0.385396,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002966,
0.344547,0.344547,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002968,
0.41864,0.497101,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002971,
0.244278,0.347146,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002974,
0.280179,0.374477,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002978,
0.342037,0.227984,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002984,
0.386462,0.377407,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002986,
0.376411,0.260214,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002988,
0.353254,0.495924,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002990,
0.346574,0.45549,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002993,
0.396077,0.263712,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003002,
0.363212,0.429154,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003006,
0.321818,0.341538,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003010,
0.495614,0.402493,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003039,
0.324921,0.324921,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003044,
0.428578,0.428578,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003049,
0.392276,0.392787,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003052,
0.313117,0.39483,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003053,
0.234685,0.234685,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003054,
0.358276,0.358276,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003055,
0.402208,0.402208,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003067,
0.386462,0.499318,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003068,
0.343626,0.343626,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003073,
0.207093,0.207093,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003078,
0.438786,0.446427,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003089,
0.439883,0.439883,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003090,
