
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15,,Segment,3,4,Image 1,4,1,100000003,510000002875,
36,,Segment,3,3,Image 1,3,1,100000003,510000002910,
29,,Segment,3,2,Image 1,2,1,100000003,510000002938,
32,,Segment,3,1,Image 1,2,1,100000003,510000002969,
63,,Segment,3,0,Image 1,1,1,100000003,510000003036,
56,,Segment,3,6,Image 1,4,1,100000003,510000003101,
8,,Segment,3,5,Image 1,3,1,100000003,510000003108,
5,,Segment,3,4,Image 1,3,1,100000003,510000003112,
5,,Segment,3,5,Image 1,4,1,100000003,510000003116,
4,,Segment,3,6,Image 1,3,1,100000003,510000003119,
4,,Segment,3,3,Image 1,2,1,100000003,510000003122,
8,,Segment,3,2,Image 1,3,1,100000003,510000003129,
7,,Segment,3,1,Image 1,1,1,100000003,510000003135,
10,,Segment,3,12,Image 1,7,1,100000005,510000003144,
9,,Segment,3,11,Image 1,6,1,100000005,510000003152,
13,,Segment,3,10,Image 1,6,1,100000005,510000003164,
4,,Segment,3,8,Image 1,5,1,100000005,510000003168,
36,,Segment,3,7,Image 1,4,1,100000005,510000003203,
35,,Segment,3,6,Image 1,4,1,100000005,510000003237,
37,,Segment,3,5,Image 1,4,1,100000005,510000003273,
42,,Segment,3,4,Image 1,3,1,100000005,510000003314,
14,,Segment,3,3,Image 1,3,1,100000005,510000003327,
5,,Segment,3,2,Image 1,2,1,100000005,510000003331,
10,,Segment,3,1,Image 1,2,1,100000005,510000003340,
15,,Segment,3,0,Image 1,1,1,100000005,510000003354,
18,,Segment,3,10,Image 1,6,1,100000005,510000003375,
9,,Segment,3,9,Image 1,5,1,100000005,510000003383,
14,,Segment,3,8,Image 1,4,1,100000005,510000003396,
5,,Segment,3,12,Image 1,6,1,100000005,510000003400,
47,,Segment,3,9,Image 1,5,1,100000005,510000003446,
9,,Segment,3,11,Image 1,7,1,100000005,510000003454,
6,,Segment,3,10,Image 1,5,1,100000005,510000003459,
3,,Segment,3,9,Image 1,4,1,100000005,510000003461,
4,,Segment,3,10,Image 1,7,1,100000005,510000003464,
14,,Segment,3,7,Image 1,5,1,100000005,510000003477,
13,,Segment,3,6,Image 1,5,1,100000005,510000003489,
26,,Segment,3,15,Image 1,6,1,100000005,510000003528,
4,,Segment,3,14,Image 1,5,1,100000005,510000003531,
14,,Segment,3,13,Image 1,5,1,100000005,510000003544,
10,,Segment,3,12,Image 1,5,1,100000005,510000003553,
22,,Segment,3,11,Image 1,5,1,100000005,510000003574,
9,,Segment,3,10,Image 1,5,1,100000005,510000003582,
11,,Segment,3,9,Image 1,4,1,100000005,510000003592,
10,,Segment,3,8,Image 1,4,1,100000005,510000003601,
24,,Segment,3,7,Image 1,4,1,100000005,510000003624,
3,,Segment,3,6,Image 1,3,1,100000005,510000003626,
10,,Segment,3,5,Image 1,3,1,100000005,510000003635,
15,,Segment,3,4,Image 1,2,1,100000005,510000003649,
10,,Segment,3,15,Image 1,6,1,100000005,510000003659,
11,,Segment,3,11,Image 1,6,1,100000005,510000003669,
33,,Segment,3,10,Image 1,5,1,100000005,510000003701,
15,,Segment,3,9,Image 1,5,1,100000005,510000003715,
4,,Segment,3,15,Image 1,5,1,100000005,510000003718,
8,,Segment,3,14,Image 1,6,1,100000005,510000003725,
6,,Segment,3,13,Image 1,7,1,100000005,510000003730,
17,,Segment,3,12,Image 1,6,1,100000005,510000003746,
5,,Segment,3,11,Image 1,5,1,100000005,510000003750,
17,,Segment,3,13,Image 1,6,1,100000005,510000003766,
17,,Segment,3,12,Image 1,7,1,100000005,510000003783,
5,,Segment,3,11,Image 1,7,1,100000005,510000003787,
6,,Segment,3,10,Image 1,6,1,100000005,510000003792,
4,,Segment,3,11,Image 1,6,1,100000005,510000003795,
3,,Segment,3,11,Image 1,6,1,100000005,510000003798,
6,,Segment,3,10,Image 1,4,1,100000005,510000003803,
7,,Segment,3,8,Image 1,5,1,100000005,510000003809,
5,,Segment,3,5,Image 1,3,1,100000005,510000003813,
7,,Segment,3,7,Image 1,3,1,100000005,510000003819,
7,,Segment,3,4,Image 1,4,1,100000005,510000003825,
5,,Segment,3,3,Image 1,3,1,100000005,510000003829,
14,,Segment,3,2,Image 1,2,1,100000005,510000003842,
17,,Segment,3,1,Image 1,1,1,100000005,510000003858,
5,,Segment,3,3,Image 1,2,1,100000005,510000003862,
4,,Segment,3,6,Image 1,3,1,100000005,510000003865,
7,,Segment,3,5,Image 1,2,1,100000005,510000003871,
3,,Segment,3,6,Image 1,4,1,100000005,510000003874,
4,,Segment,3,6,Image 1,2,1,100000005,510000003877,
5,,Segment,3,5,Image 1,1,1,100000005,510000003881,
6,,Segment,3,3,Image 1,1,1,100000005,510000003887,
5,,Segment,3,5,Image 1,2,1,100000005,510000003892,
6,,Segment,3,4,Image 1,2,1,100000005,510000003897,
8,,Segment,3,4,Image 1,3,1,100000005,510000003904,
5,,Segment,3,3,Image 1,2,1,100000005,510000003908,
10,,Segment,3,4,Image 1,4,1,100000005,510000003917,
4,,Segment,3,3,Image 1,4,1,100000005,510000003920,
4,,Segment,3,2,Image 1,3,1,100000005,510000003923,
5,,Segment,3,3,Image 1,3,1,100000005,510000003927,
21,,Segment,3,0,Image 1,1,1,100000004,510000003965,
57,,Segment,3,10,Image 1,2,1,100000004,510000004030,
10,,Segment,3,9,Image 1,2,1,100000004,510000004039,
10,,Segment,3,7,Image 1,2,1,100000004,510000004049,
30,,Segment,3,6,Image 1,2,1,100000004,510000004078,
19,,Segment,3,5,Image 1,2,1,100000004,510000004096,
9,,Segment,3,4,Image 1,2,1,100000004,510000004104,
15,,Segment,3,3,Image 1,2,1,100000004,510000004120,
12,,Segment,3,2,Image 1,1,1,100000004,510000004131,
8,,Segment,3,1,Image 1,1,1,100000004,510000004138,
2,,Segment,3,0,Image 1,1,1,100000004,510000004141,
8,,Segment,3,11,Image 1,4,1,100000004,510000004165,
5,,Segment,3,10,Image 1,3,1,100000004,510000004169,
4,,Segment,3,9,Image 1,3,1,100000004,510000004172,
40,,Segment,3,8,Image 1,3,1,100000004,510000004211,
14,,Segment,3,11,Image 1,3,1,100000004,510000004224,
18,,Segment,3,10,Image 1,3,1,100000004,510000004241,
7,,Segment,3,10,Image 1,4,1,100000004,510000004247,
9,,Segment,3,7,Image 1,3,1,100000004,510000004255,
6,,Segment,3,9,Image 1,3,1,100000004,510000004261,
11,,Segment,3,6,Image 1,3,1,100000004,510000004271,
5,,Segment,3,6,Image 1,3,1,100000004,510000004275,
4,,Segment,3,5,Image 1,3,1,100000004,510000004278,
9,,Segment,3,4,Image 1,3,1,100000004,510000004288,
78,,Segment,3,3,Image 1,1,1,100000003,510000004365,
5,,Segment,3,2,Image 1,1,1,100000003,510000004369,
44,,Segment,3,1,Image 1,1,1,100000003,510000004412,
14,,Segment,3,0,Image 1,1,1,100000003,510000004430,
30,,Segment,3,2,Image 1,2,1,100000004,510000004477,
7,,Segment,3,1,Image 1,1,1,100000004,510000004483,
8,,Segment,3,0,Image 1,1,1,100000004,510000004513,
16,,Segment,3,2,Image 1,1,1,100000004,510000004528,
5,,Segment,3,3,Image 1,2,1,100000003,510000004532,
18,,Segment,3,4,Image 1,3,1,100000003,510000004549,
12,,Segment,3,3,Image 1,3,1,100000003,510000004560,
22,,Segment,3,2,Image 1,2,1,100000003,510000004581,
7,,Segment,3,1,Image 1,2,1,100000003,510000004587,
9,,Segment,3,4,Image 1,4,1,100000003,510000004595,
3,,Segment,3,4,Image 1,2,1,100000004,510000004597,
5,,Segment,3,3,Image 1,1,1,100000004,510000004601,
3,,Segment,3,2,Image 1,2,1,100000003,510000004604,
6,,Segment,3,3,Image 1,2,1,100000003,510000004609,
26,,Segment,3,1,Image 1,2,1,100000004,510000004634,
4,,Segment,3,2,Image 1,3,1,100000003,510000004637,
23,,Segment,3,0,Image 1,1,1,100000003,510000004664,
21,,Segment,3,0,Image 1,1,1,100000003,510000004707,
13,,Segment,3,1,Image 1,2,1,100000004,510000004738,
6,,Segment,3,3,Image 1,2,1,100000004,510000004743,
21,,Segment,3,0,Image 1,1,1,100000004,510000004772,
3,,Segment,3,3,Image 1,3,1,100000004,510000004774,
4,,Segment,3,0,Image 1,1,1,100000003,510000004866,
2,,Segment,3,1,Image 1,2,1,100000004,510000004955,
2,,Segment,3,1,Image 1,1,1,100000004,510000004958,
2,,Segment,3,8,Image 1,2,1,100000004,510000004960,
2,,Segment,3,9,Image 1,4,1,100000004,510000004961,
2,,Segment,3,4,Image 1,1,1,100000004,510000004962,
2,,Segment,3,2,Image 1,2,1,100000004,510000004963,
2,,Segment,3,9,Image 1,6,1,100000005,510000004964,
2,,Segment,3,3,Image 1,2,1,100000005,510000004966,
2,,Segment,3,13,Image 1,6,1,100000005,510000004967,
2,,Segment,3,12,Image 1,8,1,100000005,510000004968,
2,,Segment,3,4,Image 1,3,1,100000005,510000004969,
2,,Segment,3,2,Image 1,1,1,100000005,510000004970,
2,,Segment,3,4,Image 1,1,1,100000005,510000004971,
