
Segment Intensity Mean Ch=3 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
27.7885,,Segment,3,5,Image 1,3,1,100000000,510000000123,
31.5065,,Segment,3,4,Image 1,2,1,100000000,510000000139,
36.8557,,Segment,3,3,Image 1,1,1,100000000,510000000166,
36.0123,,Segment,3,2,Image 1,1,1,100000000,510000000195,
52.3201,,Segment,3,1,Image 1,1,1,100000000,510000000204,
38.4988,,Segment,3,0,Image 1,1,1,100000000,510000000248,
30.7553,,Segment,3,7,Image 1,3,1,100000000,510000000264,
21.9416,,Segment,3,6,Image 1,2,1,100000000,510000000293,
28,,Segment,3,5,Image 1,2,1,100000000,510000000317,
26.7728,,Segment,3,4,Image 1,1,1,100000000,510000000338,
31.8952,,Segment,3,7,Image 1,2,1,100000000,510000000345,
28.8581,,Segment,3,6,Image 1,3,1,100000000,510000000374,
26.135,,Segment,3,6,Image 1,1,1,100000000,510000000415,
21.9521,,Segment,3,5,Image 1,1,1,100000000,510000000418,
33.3575,,Segment,3,6,Image 1,2,1,100000000,510000000427,
27.414,,Segment,3,5,Image 1,2,1,100000000,510000000435,
38.2705,,Segment,3,3,Image 1,2,1,100000000,510000000441,
62.2212,,Segment,3,2,Image 1,2,1,100000000,510000000446,
47.4452,,Segment,3,1,Image 1,2,1,100000000,510000000455,
31.5187,,Segment,3,1,Image 1,1,1,100000000,510000000588,
37.3185,,Segment,3,0,Image 1,1,1,100000000,510000000628,
37.7926,,Segment,3,1,Image 1,2,1,100000000,510000000642,
81.8182,,Segment,3,0,Image 1,1,1,100000000,510000000654,
