
Segment Intensity Median Ch=5 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.0625,,Segment,5,5,Image 1,3,1,100000000,510000000123,
0,,Segment,5,4,Image 1,2,1,100000000,510000000139,
0,,Segment,5,3,Image 1,1,1,100000000,510000000166,
0,,Segment,5,2,Image 1,1,1,100000000,510000000195,
0,,Segment,5,1,Image 1,1,1,100000000,510000000204,
0.015625,,Segment,5,0,Image 1,1,1,100000000,510000000248,
0.03125,,Segment,5,7,Image 1,3,1,100000000,510000000264,
0,,Segment,5,6,Image 1,2,1,100000000,510000000293,
0,,Segment,5,5,Image 1,2,1,100000000,510000000317,
0,,Segment,5,4,Image 1,1,1,100000000,510000000338,
0.03125,,Segment,5,7,Image 1,2,1,100000000,510000000345,
0,,Segment,5,6,Image 1,3,1,100000000,510000000374,
0.03125,,Segment,5,6,Image 1,1,1,100000000,510000000415,
0.03125,,Segment,5,5,Image 1,1,1,100000000,510000000418,
0.03125,,Segment,5,6,Image 1,2,1,100000000,510000000427,
0.0625,,Segment,5,5,Image 1,2,1,100000000,510000000435,
0.03125,,Segment,5,3,Image 1,2,1,100000000,510000000441,
0,,Segment,5,2,Image 1,2,1,100000000,510000000446,
0,,Segment,5,1,Image 1,2,1,100000000,510000000455,
0.03125,,Segment,5,1,Image 1,1,1,100000000,510000000588,
0.0625,,Segment,5,0,Image 1,1,1,100000000,510000000628,
0,,Segment,5,1,Image 1,2,1,100000000,510000000642,
0,,Segment,5,0,Image 1,1,1,100000000,510000000654,
