
Spine Attachment Pt Position
 ==================== 
Spine Attachment Pt Position X,Spine Attachment Pt Position Y,Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-181.017,21637.2,1374.47,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000001454,
-182.305,21638.1,1374.28,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000003039,
-184.037,21637.8,1374.08,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000003589,
-183.968,21637.9,1374.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000003619,
-182.088,21637.7,1374.31,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000004090,
-180.444,21636.6,1374.58,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000004162,
-184.721,21637.7,1373.98,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000004351,
-184.256,21637.7,1374.07,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000004366,
-180.747,21636.9,1374.54,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000004387,
-184.185,21637.8,1374.07,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000004390,
-191.62,21637.2,1372.33,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000002924,
-192.039,21636.6,1373,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000002948,
-188.36,21636.4,1373.25,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000003077,
-188.293,21636.4,1373.24,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000003560,
-188.974,21636.2,1373.29,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000003919,
-190.73,21636.1,1373.32,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000004196,
-189.591,21635.8,1373.4,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000004254,
-190.971,21636.3,1373.31,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000004271,
-191.966,21636.6,1373.06,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000004343,
-185.794,21637.5,1373.59,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000004354,
-185.962,21637.5,1373.53,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000004373,
-186.743,21637.1,1373.34,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000004383,
-186.807,21636.5,1373.21,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000004385,
-186.122,21637.5,1373.48,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004419,
-186.435,21637.5,1373.42,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004420,
-179.781,21636.8,1375.39,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000003521,
-176.453,21633.8,1374.26,µm,Spine,Spine Attachment Pt Position,3,1,1,100000000,610000004371,
-176.705,21633.3,1374,µm,Spine,Spine Attachment Pt Position,4,2,1,100000000,610000004030,
