
Spine Center Intensity Min Ch=3 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,3,1,Image 1,2,1,100000000,610000000707,
0,,Spine,3,1,Image 1,1,1,100000000,610000000727,
0,,Spine,3,5,Image 1,3,1,100000000,610000000744,
1,,Spine,3,6,Image 1,2,1,100000000,610000000765,
0,,Spine,3,5,Image 1,2,1,100000000,610000000793,
1,,Spine,3,5,Image 1,3,1,100000000,610000000820,
0,,Spine,3,7,Image 1,3,1,100000000,610000000846,
0,,Spine,3,1,Image 1,1,1,100000000,610000000866,
0,,Spine,3,1,Image 1,2,1,100000000,610000000883,
0,,Spine,3,0,Image 1,1,1,100000000,610000000904,
0,,Spine,3,1,Image 1,2,1,100000000,610000000919,
0,,Spine,3,6,Image 1,3,1,100000000,610000000936,
1,,Spine,3,5,Image 1,3,1,100000000,610000000955,
1,,Spine,3,6,Image 1,2,1,100000000,610000000961,
0,,Spine,3,1,Image 1,1,1,100000000,610000000977,
1,,Spine,3,5,Image 1,3,1,100000000,610000000992,
2,,Spine,3,5,Image 1,2,1,100000000,610000001008,
1,,Spine,3,0,Image 1,1,1,100000000,610000001023,
0,,Spine,3,1,Image 1,1,1,100000000,610000001040,
0,,Spine,3,7,Image 1,3,1,100000000,610000001060,
0,,Spine,3,5,Image 1,3,1,100000000,610000001074,
0,,Spine,3,5,Image 1,2,1,100000000,610000001104,
0,,Spine,3,1,Image 1,1,1,100000000,610000001131,
0,,Spine,3,6,Image 1,3,1,100000000,610000001147,
0,,Spine,3,1,Image 1,1,1,100000000,610000001165,
1,,Spine,3,1,Image 1,1,1,100000000,610000001192,
0,,Spine,3,1,Image 1,1,1,100000000,610000001209,
0,,Spine,3,5,Image 1,2,1,100000000,610000001230,
0,,Spine,3,6,Image 1,3,1,100000000,610000001247,
0,,Spine,3,6,Image 1,3,1,100000000,610000001259,
0,,Spine,3,6,Image 1,3,1,100000000,610000001278,
0,,Spine,3,6,Image 1,2,1,100000000,610000001294,
0,,Spine,3,6,Image 1,2,1,100000000,610000001320,
2,,Spine,3,1,Image 1,1,1,100000000,610000001341,
0,,Spine,3,0,Image 1,1,1,100000000,610000001357,
0,,Spine,3,6,Image 1,3,1,100000000,610000001372,
0,,Spine,3,6,Image 1,2,1,100000000,610000001394,
0,,Spine,3,0,Image 1,1,1,100000000,610000001412,
1,,Spine,3,0,Image 1,1,1,100000000,610000001428,
0,,Spine,3,6,Image 1,3,1,100000000,610000001441,
1,,Spine,3,0,Image 1,1,1,100000000,610000001454,
0,,Spine,3,5,Image 1,3,1,100000000,610000001473,
0,,Spine,3,1,Image 1,1,1,100000000,610000001498,
4,,Spine,3,5,Image 1,3,1,100000000,610000001503,
0,,Spine,3,1,Image 1,1,1,100000000,610000001514,
1,,Spine,3,6,Image 1,2,1,100000000,610000001539,
2,,Spine,3,1,Image 1,1,1,100000000,610000001553,
0,,Spine,3,6,Image 1,2,1,100000000,610000001573,
1,,Spine,3,1,Image 1,1,1,100000000,610000001597,
0,,Spine,3,5,Image 1,3,1,100000000,610000001608,
0,,Spine,3,0,Image 1,1,1,100000000,610000001622,
1,,Spine,3,5,Image 1,3,1,100000000,610000001645,
0,,Spine,3,5,Image 1,3,1,100000000,610000001662,
2,,Spine,3,6,Image 1,2,1,100000000,610000001677,
0,,Spine,3,5,Image 1,3,1,100000000,610000001693,
0,,Spine,3,0,Image 1,1,1,100000000,610000001708,
0,,Spine,3,5,Image 1,3,1,100000000,610000001718,
1,,Spine,3,0,Image 1,1,1,100000000,610000001743,
1,,Spine,3,5,Image 1,3,1,100000000,610000001763,
0,,Spine,3,0,Image 1,1,1,100000000,610000001774,
0,,Spine,3,1,Image 1,1,1,100000000,610000001795,
1,,Spine,3,5,Image 1,3,1,100000000,610000001801,
0,,Spine,3,5,Image 1,3,1,100000000,610000001816,
0,,Spine,3,5,Image 1,3,1,100000000,610000001830,
0,,Spine,3,5,Image 1,3,1,100000000,610000001845,
0,,Spine,3,1,Image 1,1,1,100000000,610000001867,
0,,Spine,3,1,Image 1,1,1,100000000,610000001888,
0,,Spine,3,5,Image 1,3,1,100000000,610000001903,
0,,Spine,3,1,Image 1,1,1,100000000,610000001924,
0,,Spine,3,6,Image 1,1,1,100000000,610000001942,
1,,Spine,3,1,Image 1,1,1,100000000,610000001960,
0,,Spine,3,1,Image 1,1,1,100000000,610000001984,
1,,Spine,3,1,Image 1,1,1,100000000,610000002006,
1,,Spine,3,1,Image 1,1,1,100000000,610000002024,
1,,Spine,3,0,Image 1,1,1,100000000,610000002045,
