
Intensity Inside Ch=3 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Inside,Intensity Mean Inside,Intensity Mean minus Std Inside,Intensity Mean plus Std Inside,Unit,Channel,Collection,Image,Time,ID,
-1.428,5.27441,5.4461,-10.0804,20.9726,,3,Intensity Inside,Image 1,1,,
-1.292,5.27441,5.81318,-10.6371,22.2635,,3,Intensity Inside,Image 1,1,,
-1.156,5.27441,6.44877,-11.594,24.4916,,3,Intensity Inside,Image 1,1,,
-1.02,5.27441,6.97844,-12.6094,26.5663,,3,Intensity Inside,Image 1,1,,
-0.884,5.27441,7.31184,-13.3689,27.9926,,3,Intensity Inside,Image 1,1,,
-0.748,5.27441,7.36151,-13.8254,28.5484,,3,Intensity Inside,Image 1,1,,
-0.612,5.27441,7.03593,-13.7553,27.8272,,3,Intensity Inside,Image 1,1,,
-0.476,5.27441,6.25746,-13.2582,25.7731,,3,Intensity Inside,Image 1,1,,
-0.34,5.27441,5.23331,-12.3093,22.7759,,3,Intensity Inside,Image 1,1,,
-0.204,5.27441,4.04873,-10.8938,18.9912,,3,Intensity Inside,Image 1,1,,
-0.068,5.27441,2.64995,-8.91518,14.2151,,3,Intensity Inside,Image 1,1,,
