
Segment Center Intensity Mean Ch=3 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
31.7143,,Segment,3,6,Image 1,2,1,100000001,510000000046,
43.8919,,Segment,3,5,Image 1,2,1,100000001,510000000082,
47.6667,,Segment,3,4,Image 1,1,1,100000001,510000000084,
90,,Segment,3,3,Image 1,1,1,100000001,510000000088,
55,,Segment,3,2,Image 1,1,1,100000001,510000000098,
84,,Segment,3,1,Image 1,1,1,100000001,510000000109,
28.6,,Segment,3,0,Image 1,1,1,100000001,510000000137,
47.6154,,Segment,3,5,Image 1,1,1,100000001,510000000174,
32.9091,,Segment,3,3,Image 1,2,1,100000001,510000000184,
68.4286,,Segment,3,4,Image 1,2,1,100000001,510000000204,
56,,Segment,3,2,Image 1,2,1,100000001,510000000218,
44,,Segment,3,1,Image 1,2,1,100000001,510000000222,
36.2857,,Segment,3,7,Image 1,3,1,100000002,510000000235,
56.7386,,Segment,3,6,Image 1,3,1,100000002,510000000322,
50.7931,,Segment,3,5,Image 1,3,1,100000002,510000000350,
33.3,,Segment,3,4,Image 1,3,1,100000002,510000000369,
59.5714,,Segment,3,3,Image 1,3,1,100000002,510000000382,
64,,Segment,3,2,Image 1,3,1,100000002,510000000386,
17.875,,Segment,3,1,Image 1,2,1,100000002,510000000409,
69.25,,Segment,3,0,Image 1,1,1,100000002,510000000418,
46,,Segment,3,7,Image 1,4,1,100000002,510000000442,
40.7826,,Segment,3,6,Image 1,4,1,100000002,510000000464,
16.9,,Segment,3,8,Image 1,6,1,100000002,510000000473,
28,,Segment,3,7,Image 1,6,1,100000002,510000000477,
33.5,,Segment,3,6,Image 1,5,1,100000002,510000000480,
44.3,,Segment,3,5,Image 1,5,1,100000002,510000000489,
36.3333,,Segment,3,4,Image 1,4,1,100000002,510000000494,
71,,Segment,3,7,Image 1,5,1,100000002,510000000500,
15,,Segment,3,6,Image 1,6,1,100000002,510000000502,
23.75,,Segment,3,5,Image 1,4,1,100000002,510000000506,
22.6667,,Segment,3,3,Image 1,4,1,100000002,510000000517,
30.3333,,Segment,3,2,Image 1,2,1,100000002,510000000519,
41,,Segment,3,6,Image 1,1,1,100000000,510000000524,
40.1905,,Segment,3,5,Image 1,1,1,100000000,510000000544,
49.3226,,Segment,3,4,Image 1,1,1,100000000,510000000574,
60,,Segment,3,3,Image 1,1,1,100000000,510000000578,
81.3333,,Segment,3,2,Image 1,1,1,100000000,510000000583,
79.5,,Segment,3,1,Image 1,1,1,100000000,510000000588,
72.75,,Segment,3,0,Image 1,1,1,100000000,510000000597,
54.4667,,Segment,3,1,Image 1,2,1,100000000,510000000671,
48.4,,Segment,3,0,Image 1,1,1,100000000,510000000690,
45.46,,Segment,3,3,Image 1,1,1,100000002,510000000740,
40.7576,,Segment,3,2,Image 1,1,1,100000002,510000000772,
43.6667,,Segment,3,1,Image 1,1,1,100000002,510000000774,
37.3333,,Segment,3,0,Image 1,1,1,100000002,510000000790,
11.5,,Segment,3,3,Image 1,3,1,100000002,510000000794,
23.825,,Segment,3,2,Image 1,2,1,100000002,510000000833,
32.8,,Segment,3,1,Image 1,1,1,100000002,510000000837,
17.8,,Segment,3,3,Image 1,2,1,100000002,510000000841,
23.2857,,Segment,3,3,Image 1,2,1,100000002,510000000847,
22.6667,,Segment,3,6,Image 1,2,1,100000000,510000000850,
25.3333,,Segment,3,3,Image 1,3,1,100000002,510000000855,
30.3478,,Segment,3,2,Image 1,2,1,100000002,510000000877,
27.5882,,Segment,3,5,Image 1,2,1,100000000,510000000893,
16.6667,,Segment,3,3,Image 1,2,1,100000002,510000000895,
32.0938,,Segment,3,0,Image 1,1,1,100000001,510000000931,
41.2667,,Segment,3,1,Image 1,2,1,100000002,510000000972,
59,,Segment,3,0,Image 1,1,1,100000000,510000001008,
39.5333,,Segment,3,4,Image 1,2,1,100000000,510000001031,
25.6,,Segment,3,2,Image 1,1,1,100000002,510000001035,
38.625,,Segment,3,3,Image 1,2,1,100000000,510000001042,
44.9167,,Segment,3,2,Image 1,2,1,100000000,510000001053,
86.5455,,Segment,3,1,Image 1,2,1,100000001,510000001085,
71.4,,Segment,3,0,Image 1,1,1,100000001,510000001093,
44.125,,Segment,3,1,Image 1,2,1,100000000,510000001100,
62.56,,Segment,3,0,Image 1,1,1,100000000,510000001132,
65.6667,,Segment,3,0,Image 1,1,1,100000001,510000001142,
60.0769,,Segment,3,0,Image 1,1,1,100000000,510000001259,
65.25,,Segment,3,2,Image 1,1,1,100000001,510000001277,
45,,Segment,3,1,Image 1,1,1,100000001,510000001280,
80.6667,,Segment,3,2,Image 1,2,1,100000001,510000001289,
49,,Segment,3,0,Image 1,1,1,100000001,510000001293,
19.3333,,Segment,3,0,Image 1,1,1,100000001,510000001300,
65.6,,Segment,3,0,Image 1,1,1,100000001,510000001326,
146.5,,Segment,3,0,Image 1,1,1,100000000,510000001375,
90,,Segment,3,1,Image 1,1,1,100000000,510000001392,
16,,Segment,3,6,Image 1,3,1,100000001,510000001395,
37,,Segment,3,5,Image 1,4,1,100000002,510000001399,
26.5,,Segment,3,8,Image 1,7,1,100000002,510000001400,
